checkpoint_name,train_mode,n_mem_tokens,num_samples,num_recovered_texts,avg_loss,avg_accuracy,overall_accuracy,avg_bleu,avg_bleu1,avg_bleu2,avg_bleu3,avg_bleu4,avg_rougeL,metric_source,checkpoint_path
gpt2_to_llama8b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260422_215848,converter_only,16,1000,1000,2.480129,0.465664,0.465664,0.032705,0.327927,0.066655,0.016584,0.006658,0.139320,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260422_215848
gpt2_to_llama8b_to_qwen1.5b_converter_only_mem32_len128_100000samples_20260410_023217,converter_only,32,1000,1000,1.933523,0.553148,0.553148,0.066491,0.392593,0.110268,0.042710,0.020446,0.210999,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen1.5b_converter_only_mem32_len128_100000samples_20260410_023217
gpt2_to_llama8b_to_qwen1.5b_converter_only_mem8_len128_100000samples_20260416_191626,converter_only,8,1000,1000,2.733783,0.438047,0.438047,0.026271,0.307152,0.054266,0.013492,0.004842,0.145030,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen1.5b_converter_only_mem8_len128_100000samples_20260416_191626
gpt2_to_llama8b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260422_221224,encoder_converter,16,1000,1000,2.007010,0.539125,0.539125,0.081112,0.416665,0.133788,0.050957,0.023180,0.243390,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260422_221224
gpt2_to_llama8b_to_qwen1.5b_encoder_converter_mem32_len128_100000samples_20260410_023217,encoder_converter,32,1000,1000,1.654971,0.609055,0.609055,0.134908,0.456302,0.184983,0.093995,0.052231,0.292184,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen1.5b_encoder_converter_mem32_len128_100000samples_20260410_023217
gpt2_to_llama8b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260416_192649,encoder_converter,8,1000,1000,2.514053,0.465492,0.465492,0.037542,0.337277,0.073099,0.019111,0.007435,0.154257,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260416_192649
gpt2_to_llama8b_to_qwen3b_converter_only_mem16_len128_100000samples_20260422_223159,converter_only,16,1000,1000,2.713887,0.444047,0.444047,0.021049,0.282919,0.047046,0.009550,0.003957,0.137235,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen3b_converter_only_mem16_len128_100000samples_20260422_223159
gpt2_to_llama8b_to_qwen3b_converter_only_mem32_len128_100000samples_20260520_064851,converter_only,32,1000,1000,2.658184,0.449703,0.449703,0.019990,0.267527,0.046548,0.009685,0.002907,0.133521,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen3b_converter_only_mem32_len128_100000samples_20260520_064851
gpt2_to_llama8b_to_qwen3b_converter_only_mem8_len128_100000samples_20260416_194340,converter_only,8,1000,1000,2.661504,0.448398,0.448398,0.025562,0.282263,0.050173,0.013372,0.004899,0.140173,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen3b_converter_only_mem8_len128_100000samples_20260416_194340
gpt2_to_llama8b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260422_224807,encoder_converter,16,1000,1000,2.160920,0.513781,0.513781,0.063202,0.370710,0.100017,0.038850,0.018357,0.209695,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260422_224807
gpt2_to_llama8b_to_qwen3b_encoder_converter_mem32_len128_100000samples_20260520_070549,encoder_converter,32,1000,1000,1.148459,0.712391,0.712391,0.266190,0.557564,0.314096,0.210806,0.148965,0.451077,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen3b_encoder_converter_mem32_len128_100000samples_20260520_070549
gpt2_to_llama8b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260416_195841,encoder_converter,8,1000,1000,2.320172,0.489672,0.489672,0.057712,0.347639,0.093767,0.036343,0.018724,0.192380,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260416_195841
gpt2_to_llama8b_to_qwen7b_converter_only_mem16_len128_100000samples_20260422_231145,converter_only,16,1000,1000,0.813246,0.789133,0.789133,0.397582,0.685631,0.452394,0.333826,0.259913,0.602748,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen7b_converter_only_mem16_len128_100000samples_20260422_231145
gpt2_to_llama8b_to_qwen7b_converter_only_mem32_len128_100000samples_20260410_032202,converter_only,32,1000,1000,0.382627,0.900031,0.900031,0.667549,0.824517,0.699692,0.623161,0.566335,0.797617,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen7b_converter_only_mem32_len128_100000samples_20260410_032202
gpt2_to_llama8b_to_qwen7b_converter_only_mem8_len128_100000samples_20260416_202227,converter_only,8,1000,1000,1.397557,0.653477,0.653477,0.170572,0.540024,0.232595,0.122387,0.072568,0.387845,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen7b_converter_only_mem8_len128_100000samples_20260416_202227
gpt2_to_llama8b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260422_233357,encoder_converter,16,1000,1000,0.744990,0.805078,0.805078,0.455569,0.722066,0.504852,0.392964,0.318454,0.656066,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260422_233357
gpt2_to_llama8b_to_qwen7b_encoder_converter_mem32_len128_100000samples_20260410_032202,encoder_converter,32,1000,1000,0.353465,0.909633,0.909633,0.697491,0.832377,0.723898,0.659084,0.609978,0.803608,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen7b_encoder_converter_mem32_len128_100000samples_20260410_032202
gpt2_to_llama8b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260416_204405,encoder_converter,8,1000,1000,1.326148,0.666727,0.666727,0.200134,0.556865,0.257980,0.144888,0.094012,0.402796,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama8b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260416_204405
gpt2_to_mistral7b_to_llama1b_converter_only_mem16_len128_100000samples_20260423_005758,converter_only,16,1000,1000,1.151035,0.721672,0.721672,0.316826,0.642482,0.374632,0.252620,0.183825,0.540215,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama1b_converter_only_mem16_len128_100000samples_20260423_005758
gpt2_to_mistral7b_to_llama1b_converter_only_mem32_len128_100000samples_20260410_042946,converter_only,32,1000,1000,0.557891,0.870258,0.870258,0.660221,0.802635,0.684826,0.620454,0.572046,0.766189,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama1b_converter_only_mem32_len128_100000samples_20260410_042946
gpt2_to_mistral7b_to_llama1b_converter_only_mem8_len128_100000samples_20260416_220645,converter_only,8,1000,1000,1.754117,0.595984,0.595984,0.141749,0.505452,0.203400,0.097151,0.052621,0.350892,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama1b_converter_only_mem8_len128_100000samples_20260416_220645
gpt2_to_mistral7b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260423_011037,encoder_converter,16,1000,1000,0.953111,0.758844,0.758844,0.370589,0.683701,0.428488,0.305279,0.229772,0.593003,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260423_011037
gpt2_to_mistral7b_to_llama1b_encoder_converter_mem32_len128_100000samples_20260410_042946,encoder_converter,32,1000,1000,0.374303,0.905852,0.905852,0.713912,0.846660,0.740460,0.675817,0.623944,0.824385,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama1b_encoder_converter_mem32_len128_100000samples_20260410_042946
gpt2_to_mistral7b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260416_221912,encoder_converter,8,1000,1000,1.644672,0.613062,0.613062,0.151016,0.523580,0.217999,0.102082,0.056680,0.359996,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260416_221912
gpt2_to_mistral7b_to_llama3b_converter_only_mem16_len128_100000samples_20260423_012736,converter_only,16,1000,1000,0.877104,0.791961,0.791961,0.443710,0.717141,0.489468,0.380813,0.311380,0.626850,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama3b_converter_only_mem16_len128_100000samples_20260423_012736
gpt2_to_mistral7b_to_llama3b_converter_only_mem32_len128_100000samples_20260410_045016,converter_only,32,1000,1000,0.392737,0.910852,0.910852,0.769882,0.856529,0.785930,0.744262,0.710368,0.828743,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama3b_converter_only_mem32_len128_100000samples_20260410_045016
gpt2_to_mistral7b_to_llama3b_converter_only_mem8_len128_100000samples_20260416_223608,converter_only,8,1000,1000,1.340904,0.676516,0.676516,0.240096,0.583482,0.296332,0.179809,0.120310,0.447829,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama3b_converter_only_mem8_len128_100000samples_20260416_223608
gpt2_to_mistral7b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260423_014417,encoder_converter,16,1000,1000,0.683961,0.827055,0.827055,0.495630,0.768523,0.547554,0.430700,0.352524,0.697930,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260423_014417
gpt2_to_mistral7b_to_llama3b_encoder_converter_mem32_len128_100000samples_20260410_045016,encoder_converter,32,1000,1000,0.239584,0.940734,0.940734,0.802089,0.892620,0.822005,0.775154,0.735338,0.877088,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama3b_encoder_converter_mem32_len128_100000samples_20260410_045016
gpt2_to_mistral7b_to_llama3b_encoder_converter_mem8_len128_100000samples_20260416_225229,encoder_converter,8,1000,1000,1.222875,0.695320,0.695320,0.244911,0.612073,0.309022,0.184473,0.120788,0.465282,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama3b_encoder_converter_mem8_len128_100000samples_20260416_225229
gpt2_to_mistral7b_to_llama8b_converter_only_mem16_len128_100000samples_20260423_020723,converter_only,16,1000,1000,0.973484,0.753523,0.753523,0.318135,0.640180,0.375474,0.254358,0.184495,0.547217,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama8b_converter_only_mem16_len128_100000samples_20260423_020723
gpt2_to_mistral7b_to_llama8b_converter_only_mem32_len128_100000samples_20260410_051627,converter_only,32,1000,1000,0.312362,0.928453,0.928453,0.798583,0.866735,0.808808,0.777031,0.752973,0.840538,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama8b_converter_only_mem32_len128_100000samples_20260410_051627
gpt2_to_mistral7b_to_llama8b_converter_only_mem8_len128_100000samples_20260416_231447,converter_only,8,1000,1000,1.345328,0.669531,0.669531,0.196605,0.559535,0.262849,0.142612,0.087856,0.419510,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama8b_converter_only_mem8_len128_100000samples_20260416_231447
gpt2_to_mistral7b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260423_023034,encoder_converter,16,1000,1000,0.548884,0.852000,0.852000,0.508116,0.766739,0.557168,0.444900,0.368726,0.696477,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260423_023034
gpt2_to_mistral7b_to_llama8b_encoder_converter_mem32_len128_100000samples_20260410_051627,encoder_converter,32,1000,1000,0.207471,0.947195,0.947195,0.813664,0.902330,0.830532,0.787190,0.753094,0.883490,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama8b_encoder_converter_mem32_len128_100000samples_20260410_051627
gpt2_to_mistral7b_to_llama8b_encoder_converter_mem8_len128_100000samples_20260416_233754,encoder_converter,8,1000,1000,1.154748,0.708023,0.708023,0.218973,0.597173,0.281567,0.160667,0.103091,0.447834,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_llama8b_encoder_converter_mem8_len128_100000samples_20260416_233754
gpt2_to_mistral7b_to_mistral7binstruct_converter_only_mem16_len128_100000samples_20260423_050516,converter_only,16,1000,1000,0.173307,0.950086,0.950086,0.808568,0.921474,0.830369,0.776274,0.735401,0.898026,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_mistral7binstruct_converter_only_mem16_len128_100000samples_20260423_050516
gpt2_to_mistral7b_to_mistral7binstruct_converter_only_mem32_len128_100000samples_20260410_071835,converter_only,32,1000,1000,0.037354,0.989734,0.989734,0.960108,0.980526,0.965775,0.953591,0.942119,0.977232,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_mistral7binstruct_converter_only_mem32_len128_100000samples_20260410_071835
gpt2_to_mistral7b_to_mistral7binstruct_converter_only_mem8_len128_100000samples_20260417_020858,converter_only,8,1000,1000,0.531180,0.846688,0.846688,0.484854,0.771109,0.539880,0.417179,0.337963,0.685024,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_mistral7binstruct_converter_only_mem8_len128_100000samples_20260417_020858
gpt2_to_mistral7b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260423_052908,encoder_converter,16,1000,1000,0.169333,0.951227,0.951227,0.808622,0.922400,0.831891,0.776046,0.732550,0.902596,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260423_052908
gpt2_to_mistral7b_to_mistral7binstruct_encoder_converter_mem32_len128_100000samples_20260410_071835,encoder_converter,32,1000,1000,0.038182,0.989453,0.989453,0.954644,0.979811,0.960332,0.946786,0.934362,0.975661,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_mistral7binstruct_encoder_converter_mem32_len128_100000samples_20260410_071835
gpt2_to_mistral7b_to_mistral7binstruct_encoder_converter_mem8_len128_100000samples_20260417_023220,encoder_converter,8,1000,1000,0.524418,0.849406,0.849406,0.494078,0.781271,0.548299,0.424760,0.344813,0.701459,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_mistral7binstruct_encoder_converter_mem8_len128_100000samples_20260417_023220
gpt2_to_mistral7b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260423_030040,converter_only,16,1000,1000,2.218971,0.500391,0.500391,0.043887,0.364108,0.083894,0.024248,0.009144,0.177470,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260423_030040
gpt2_to_mistral7b_to_qwen1.5b_converter_only_mem32_len128_100000samples_20260410_055238,converter_only,32,1000,1000,1.336609,0.670852,0.670852,0.174662,0.506640,0.224313,0.125402,0.079386,0.399328,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen1.5b_converter_only_mem32_len128_100000samples_20260410_055238
gpt2_to_mistral7b_to_qwen1.5b_converter_only_mem8_len128_100000samples_20260417_000729,converter_only,8,1000,1000,2.743330,0.437898,0.437898,0.029624,0.301381,0.057332,0.015275,0.005900,0.133234,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen1.5b_converter_only_mem8_len128_100000samples_20260417_000729
gpt2_to_mistral7b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260423_031412,encoder_converter,16,1000,1000,1.968473,0.544023,0.544023,0.078228,0.419721,0.123924,0.049597,0.021513,0.230223,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260423_031412
gpt2_to_mistral7b_to_qwen1.5b_encoder_converter_mem32_len128_100000samples_20260410_055238,encoder_converter,32,1000,1000,0.942195,0.759453,0.759453,0.330465,0.637582,0.390967,0.270222,0.197253,0.573389,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen1.5b_encoder_converter_mem32_len128_100000samples_20260410_055238
gpt2_to_mistral7b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260417_002017,encoder_converter,8,1000,1000,2.592893,0.458195,0.458195,0.032088,0.332975,0.066948,0.017505,0.006103,0.152934,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260417_002017
gpt2_to_mistral7b_to_qwen3b_converter_only_mem16_len128_100000samples_20260423_033408,converter_only,16,1000,1000,2.652617,0.449641,0.449641,0.021672,0.277912,0.050387,0.010062,0.003739,0.140859,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen3b_converter_only_mem16_len128_100000samples_20260423_033408
gpt2_to_mistral7b_to_qwen3b_converter_only_mem32_len128_100000samples_20260520_073043,converter_only,32,1000,1000,1.464406,0.636844,0.636844,0.137660,0.462798,0.185960,0.097033,0.055905,0.355248,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen3b_converter_only_mem32_len128_100000samples_20260520_073043
gpt2_to_mistral7b_to_qwen3b_converter_only_mem8_len128_100000samples_20260417_003925,converter_only,8,1000,1000,2.665955,0.448742,0.448742,0.028383,0.307095,0.055659,0.014012,0.005561,0.152073,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen3b_converter_only_mem8_len128_100000samples_20260417_003925
gpt2_to_mistral7b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260423_035011,encoder_converter,16,1000,1000,1.897754,0.553023,0.553023,0.077017,0.404200,0.125758,0.049454,0.022178,0.248941,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260423_035011
gpt2_to_mistral7b_to_qwen3b_encoder_converter_mem32_len128_100000samples_20260520_074741,encoder_converter,32,1000,1000,1.034129,0.735914,0.735914,0.315345,0.618714,0.375745,0.256898,0.184851,0.551474,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen3b_encoder_converter_mem32_len128_100000samples_20260520_074741
gpt2_to_mistral7b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260417_005528,encoder_converter,8,1000,1000,2.446279,0.477547,0.477547,0.045278,0.339757,0.080604,0.026255,0.010935,0.168632,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260417_005528
gpt2_to_mistral7b_to_qwen7b_converter_only_mem16_len128_100000samples_20260423_041356,converter_only,16,1000,1000,1.027291,0.742602,0.742602,0.308179,0.628358,0.366489,0.247919,0.180568,0.531658,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen7b_converter_only_mem16_len128_100000samples_20260423_041356
gpt2_to_mistral7b_to_qwen7b_converter_only_mem32_len128_100000samples_20260410_064525,converter_only,32,1000,1000,0.431677,0.893930,0.893930,0.695827,0.823819,0.718054,0.659874,0.612139,0.786686,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen7b_converter_only_mem32_len128_100000samples_20260410_064525
gpt2_to_mistral7b_to_qwen7b_converter_only_mem8_len128_100000samples_20260417_011855,converter_only,8,1000,1000,1.531609,0.628383,0.628383,0.158300,0.516775,0.215590,0.111869,0.065117,0.359868,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen7b_converter_only_mem8_len128_100000samples_20260417_011855
gpt2_to_mistral7b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260423_043608,encoder_converter,16,1000,1000,0.861244,0.774180,0.774180,0.356227,0.680895,0.418322,0.289197,0.216745,0.590320,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260423_043608
gpt2_to_mistral7b_to_qwen7b_encoder_converter_mem32_len128_100000samples_20260410_064525,encoder_converter,32,1000,1000,0.291495,0.924594,0.924594,0.756033,0.875551,0.781142,0.722363,0.674448,0.859330,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen7b_encoder_converter_mem32_len128_100000samples_20260410_064525
gpt2_to_mistral7b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260417_014028,encoder_converter,8,1000,1000,1.449230,0.643312,0.643312,0.195103,0.536537,0.247442,0.140564,0.090623,0.388114,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_mistral7b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260417_014028
gpt2_to_qwen1.5b_to_llama1b_converter_only_mem16_len128_100000samples_20260423_060023,converter_only,16,1000,1000,0.967197,0.753672,0.753672,0.355484,0.681015,0.414287,0.290693,0.217756,0.583648,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_qwen1.5b_to_llama1b_converter_only_mem16_len128_100000samples_20260423_060023
gpt2_to_qwen1.5b_to_llama1b_converter_only_mem32_len128_100000samples_20260410_075330,converter_only,32,1000,1000,0.444676,0.888094,0.888094,0.661554,0.814923,0.690998,0.619355,0.563420,0.786661,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_qwen1.5b_to_llama1b_converter_only_mem32_len128_100000samples_20260410_075330
gpt2_to_qwen1.5b_to_llama1b_converter_only_mem8_len128_100000samples_20260417_030324,converter_only,8,1000,1000,1.610613,0.618945,0.618945,0.180104,0.533351,0.239741,0.125214,0.078991,0.397585,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_qwen1.5b_to_llama1b_converter_only_mem8_len128_100000samples_20260417_030324
