checkpoint_name,train_mode,n_mem_tokens,num_samples,num_recovered_texts,avg_loss,avg_accuracy,overall_accuracy,avg_bleu,avg_bleu1,avg_bleu2,avg_bleu3,avg_bleu4,avg_rougeL,metric_source,checkpoint_path
gpt2_to_llama3b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260416_081932,encoder_converter,8,1000,1000,1.468621,0.646828,0.646828,0.199720,0.547239,0.258100,0.146588,0.093540,0.426759,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260416_081932
gpt2_to_llama3b_to_llama3b_converter_only_mem16_len128_100000samples_20260422_152243,converter_only,16,1000,1000,0.326390,0.915281,0.915281,0.706648,0.872257,0.739661,0.661284,0.604588,0.833815,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_llama3b_converter_only_mem16_len128_100000samples_20260422_152243
gpt2_to_llama3b_to_llama3b_converter_only_mem32_len128_100000samples_20260409_221133,converter_only,32,1000,1000,0.169285,0.960203,0.960203,0.863566,0.923594,0.875800,0.844983,0.818217,0.908771,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_llama3b_converter_only_mem32_len128_100000samples_20260409_221133
gpt2_to_llama3b_to_llama3b_converter_only_mem8_len128_100000samples_20260416_083658,converter_only,8,1000,1000,0.746894,0.801148,0.801148,0.384158,0.729316,0.452399,0.311456,0.228763,0.609023,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_llama3b_converter_only_mem8_len128_100000samples_20260416_083658
gpt2_to_llama3b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260422_153922,encoder_converter,16,1000,1000,0.311742,0.920047,0.920047,0.738512,0.878654,0.764896,0.699241,0.647939,0.846936,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260422_153922
gpt2_to_llama3b_to_llama3b_encoder_converter_mem32_len128_100000samples_20260409_221133,encoder_converter,32,1000,1000,0.168484,0.960398,0.960398,0.869414,0.924595,0.882030,0.852121,0.826160,0.912757,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_llama3b_encoder_converter_mem32_len128_100000samples_20260409_221133
gpt2_to_llama3b_to_llama3b_encoder_converter_mem8_len128_100000samples_20260416_085343,encoder_converter,8,1000,1000,0.733945,0.804539,0.804539,0.407400,0.734158,0.470158,0.337513,0.256107,0.617878,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_llama3b_encoder_converter_mem8_len128_100000samples_20260416_085343
gpt2_to_llama3b_to_llama8b_converter_only_mem16_len128_100000samples_20260422_160227,converter_only,16,1000,1000,0.335175,0.910766,0.910766,0.678490,0.857311,0.711984,0.629976,0.570086,0.813049,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_llama8b_converter_only_mem16_len128_100000samples_20260422_160227
gpt2_to_llama3b_to_llama8b_converter_only_mem32_len128_100000samples_20260409_223804,converter_only,32,1000,1000,0.172400,0.957273,0.957273,0.848097,0.918604,0.862023,0.826940,0.797438,0.901572,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_llama8b_converter_only_mem32_len128_100000samples_20260409_223804
gpt2_to_llama3b_to_llama8b_converter_only_mem8_len128_100000samples_20260416_091645,converter_only,8,1000,1000,0.743095,0.798508,0.798508,0.378211,0.701016,0.436724,0.308010,0.234948,0.589336,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_llama8b_converter_only_mem8_len128_100000samples_20260416_091645
gpt2_to_llama3b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260422_162545,encoder_converter,16,1000,1000,0.335983,0.910797,0.910797,0.704216,0.863267,0.736399,0.659814,0.601361,0.828820,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260422_162545
gpt2_to_llama3b_to_llama8b_encoder_converter_mem32_len128_100000samples_20260409_223804,encoder_converter,32,1000,1000,0.177165,0.956313,0.956313,0.851612,0.914838,0.863737,0.831998,0.804977,0.899147,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_llama8b_encoder_converter_mem32_len128_100000samples_20260409_223804
gpt2_to_llama3b_to_llama8b_encoder_converter_mem8_len128_100000samples_20260416_094032,encoder_converter,8,1000,1000,0.744242,0.798719,0.798719,0.395954,0.710068,0.455751,0.327967,0.248230,0.605054,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_llama8b_encoder_converter_mem8_len128_100000samples_20260416_094032
gpt2_to_llama3b_to_mistral7binstruct_converter_only_mem16_len128_100000samples_20260422_190051,converter_only,16,1000,1000,0.322703,0.906312,0.906312,0.624144,0.812719,0.665322,0.574660,0.505417,0.779606,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_mistral7binstruct_converter_only_mem16_len128_100000samples_20260422_190051
gpt2_to_llama3b_to_mistral7binstruct_converter_only_mem32_len128_100000samples_20260410_003547,converter_only,32,1000,1000,0.118606,0.966070,0.966070,0.843570,0.932654,0.863632,0.818426,0.780237,0.921497,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama3b_to_mistral7binstruct_converter_only_mem32_len128_100000samples_20260410_003547
