sigma,n_examples,loss,accuracy,relative_accuracy
0.0,384,5.512504305690527,0.19769287109375,1.0
0.01,384,5.512127413103978,0.1982421875,1.0027786353812904
0.02,384,5.511587845782439,0.19832356770833334,1.0031902850674077
0.05,384,5.510824841757615,0.19793701171875,1.0012349490583514
0.1,384,5.5092692747712135,0.19846598307291666,1.0039106720181126
0.2,384,5.503983978182077,0.19834391276041666,1.003293197488937
0.4,384,5.4871380807211,0.19970703125,1.0101883297313985
0.8,384,5.4370935292293625,0.20194498697916666,1.0215086960996191
