sigma,n_examples,loss,accuracy,relative_accuracy
0.0,384,2.957226410508156,0.44580078125,1.0
0.01,384,2.956929632462561,0.4455973307291667,0.9995436290617014
0.02,384,2.956793088155488,0.4458414713541667,1.0000912741876598
0.05,384,2.9569001177636287,0.4453938802083333,0.9990872581234027
0.1,384,2.957113079726696,0.4451904296875,0.9986308871851041
0.2,384,2.957556899792204,0.4449869791666667,0.9981745162468054
0.4,384,2.958425061622014,0.4447428385416667,0.997626871120847
0.8,384,2.947554204147309,0.4448038736979167,0.9977637824023367
