mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,0.027654458986091868,0.99285888671875,1.0
gaussian,0.2,384,0.41403553636822227,0.8887939453125,0.8951865740456139
gaussian,0.3,384,1.3965106466785073,0.6728922526041666,0.6777320136882441
gaussian,0.35,384,1.94016174847881,0.5703328450520834,0.5744349501034816
gaussian,0.4,384,2.4010637970641255,0.493408203125,0.49695702956906623
gaussian,0.45,384,2.7379097904389105,0.4413859049479167,0.4445605622835598
gaussian,0.5,384,2.9519576663151383,0.4122517903645833,0.41521690129300626
gaussian,0.6,384,3.116832547200223,0.3942464192708333,0.3970820270076433
gaussian,0.7,384,3.121143809830149,0.3969319661458333,0.39978688961291775
gaussian,0.8,384,3.0961777791380882,0.4041544596354167,0.40706133071043626
gaussian,1.0,384,3.064125635350744,0.4120890299479167,0.41505297022602
gaussian,1.2,384,3.0578353867555657,0.41412353515625,0.4171021085633491
