mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,0.6496195767540485,0.82855224609375,1.0
gaussian,0.2,384,1.150508849726369,0.7123209635416666,0.8597176181706568
gaussian,0.3,384,1.7385836313478649,0.5937703450520834,0.7166359729895642
gaussian,0.35,384,2.0351485569650927,0.5415852864583334,0.6536525475751995
gaussian,0.4,384,2.2907195948064327,0.5015869140625,0.605377532228361
gaussian,0.45,384,2.4941943933566413,0.4732666015625,0.5711970534069981
gaussian,0.5,384,2.6402257891992726,0.4556477864583333,0.5499324739103745
gaussian,0.6,384,2.7996954952056208,0.4377237955729167,0.5282995702885206
gaussian,0.7,384,2.8577549308538437,0.4336140950520833,0.5233394720687539
gaussian,0.8,384,2.877343094907701,0.4323933919270833,0.521866175567833
gaussian,1.0,384,2.8920302152012787,0.4321492513020833,0.5215715162676489
gaussian,1.2,384,2.9017036367828646,0.43194580078125,0.5213259668508288
