mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,0.002161524089814293,0.9996337890625,1.0
gaussian,0.2,384,0.012068360023590685,0.9971516927083334,0.9975169943420036
gaussian,0.3,384,0.06671557887299666,0.9831746419270834,0.9835348231367281
gaussian,0.35,384,0.15049195332054902,0.96112060546875,0.9614727072902675
gaussian,0.4,384,0.3146283184566225,0.9206136067708334,0.9209508690519803
gaussian,0.45,384,0.6010852083563805,0.8530069986979166,0.8533194936296657
gaussian,0.5,384,1.0353405167503904,0.759521484375,0.7597997313469288
gaussian,0.55,384,1.5984311524468164,0.6465047200520834,0.6467415638865145
gaussian,0.6,384,2.2226522816345096,0.53607177734375,0.5362681646110636
gaussian,0.65,384,2.8435774659737945,0.4353434244791667,0.43550291040827127
gaussian,0.7,384,3.343513666341702,0.3659464518229167,0.3660805145113364
gaussian,0.75,384,3.629825066154202,0.3338216145833333,0.3339439084951357
gaussian,0.8,384,3.729838960493604,0.3260498046875,0.32616925143485165
gaussian,1.0,384,3.6803794062385955,0.3374430338541667,0.33756665445516343
gaussian,1.2,384,3.630562893425425,0.3453776041666667,0.3455041315585949
zero,nan,384,4.245789689943194,0.27947998046875,0.27958236658932717
random,nan,384,4.975275075063109,0.24202473958333334,0.24211340416005211
shuffle,nan,384,1.9084277213446512,0.7262776692708334,0.7265437375340905
