mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,0.3271607572387438,0.90203857421875,1.0
gaussian,0.2,384,1.7884756169902782,0.6068115234375,0.6727112795182353
gaussian,0.3,384,2.923454973536233,0.46185302734375,0.5120102848636578
gaussian,0.35,384,3.249469753044347,0.4232381184895833,0.469201795340235
gaussian,0.4,384,3.4301431818554797,0.4001668294270833,0.44362496334889595
gaussian,0.45,384,3.506791850241522,0.3845621744791667,0.4263256422401155
gaussian,0.5,384,3.520572617650032,0.3785196940104167,0.41962694814714574
gaussian,0.6,384,3.4519667256002626,0.3784586588541667,0.41955928457044905
gaussian,0.7,384,3.3480028519406915,0.3835652669270833,0.4252204704874033
gaussian,0.8,384,3.260177235119045,0.39166259765625,0.43419717166249405
gaussian,1.0,384,3.1588948319355645,0.4037882486979167,0.4476396688995647
gaussian,1.2,384,3.1130746056636176,0.40985107421875,0.4543609175181
