mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,0.20025375692057423,0.95318603515625,1.0
gaussian,0.2,384,0.2183565032076634,0.9485677083333334,0.9951548526178737
gaussian,0.3,384,0.2566890609305119,0.9397379557291666,0.9858914430855265
gaussian,0.35,384,0.30156702037978295,0.9298299153645834,0.9754967876886299
gaussian,0.4,384,0.37808931833327125,0.9133097330729166,0.9581652472732706
gaussian,0.45,384,0.5097002838544237,0.88348388671875,0.9268745597746046
gaussian,0.5,384,0.7097673009848222,0.8362223307291666,0.8772918400887921
gaussian,0.6,384,1.3723832852362345,0.6898600260416666,0.7237412221724189
gaussian,0.7,384,2.164395518756161,0.53448486328125,0.5607350963693412
gaussian,0.8,384,2.6761502331743636,0.4556477864583333,0.4780260826876694
gaussian,1.0,384,2.996129955165088,0.4181111653645833,0.43864592004439606
gaussian,1.2,384,3.075813558573524,0.4093221028645833,0.42942519903523935
