sigma,n_examples,loss,accuracy,relative_accuracy
0.0,384,3.4572436176240444,0.381103515625,1.0
0.01,384,3.4574877427270017,0.3810221354166667,0.9997864616698698
0.02,384,3.4575605283801756,0.3810831705729167,0.9999466154174674
0.05,384,3.4570123245939612,0.3807779947916667,0.999145846679479
0.1,384,3.4574601569523415,0.3805338541666667,0.9985052316890882
0.2,384,3.4529539132490754,0.3808390299479167,0.9993060004270767
0.4,384,3.424702536625167,0.3842366536458333,1.008221225710015
0.8,384,3.2646668441593647,0.4011027018229167,1.052477044629511
