pair,encoder,source,target,n_samples,n_anchors,rel_direction_l1_to_target,rel_direction_rmse_to_target,rel_magnitude_l1_to_target,rel_magnitude_rmse_to_target,memory_target_norm_gap,anchor_direction_js_to_target,target_direction_subspace_residual,capacity_normalized_direction_rmse,diagnostic_rel_direction_z2_mean,diagnostic_rel_magnitude_z_abs_mean,diagnostic_target_direction_std_mean,diagnostic_target_direction_std_min,diagnostic_target_magnitude_std_mean,diagnostic_target_magnitude_std_min,target_text_nll,source_native_nll,target_minus_source_nll,source_hidden_size,target_hidden_size,abs_log_hidden_ratio,prior_same_model_family,prior_cross_model_family,prior_target_param_b,prior_source_param_b,prior_log_param_ratio_target_over_source,prior_param_tier_jump
gpt2:llama1b->llama3b,gpt2,llama1b,llama3b,128,512,0.1546903771813959,0.1621782740112394,3.258440190926194,3.2596081532537937,3.102797500556335,0.031247402119333856,0.015287618174625095,0.020196335693040614,5.847892940044403,31.468310564756393,0.06417271494865417,0.04600384086370468,0.10354672372341156,0.10354671627283096,3.0276303105056286,0.2879994116810849,2.7396308988245437,2048,3072,0.40546510810653674,1.0,0.0,3.0,1.0,1.098612288001443,2.0
gpt2:llama1b->llama8b,gpt2,llama1b,llama8b,128,512,0.023265850642928854,0.02828203786339145,3.308384945616126,3.3458901830017567,3.7477160145062953,0.004977284366759704,0.7253635367378592,0.003400196314311397,1.063234486617148,4.128253817558289,0.047761958092451096,2.7864276858080572e-11,0.8014005422592163,0.8014005422592163,2.9135442646220326,0.28728276312176604,2.6262615015002666,2048,4096,0.6931471805575039,1.0,0.0,8.0,1.0,2.0794415408048357,2.0
gpt2:llama1b->mistral7b,gpt2,llama1b,mistral7b,128,512,0.036848281451966614,0.04191031027585268,3.1781300976872444,3.1825330201536417,4.9653506083996035,0.0052974961581639946,0.5807462325319648,0.00503864973308939,0.739606776740402,28.4949109852314,0.04879947751760483,0.04660823941230774,0.1115332543849945,0.11153324693441391,2.5233965599909425,0.28852461438509636,2.234871945605846,2048,4096,0.6931471805575039,0.0,1.0,7.0,1.0,1.9459101481981704,2.0
gpt2:llama1b->qwen1.5b,gpt2,llama1b,qwen1.5b,128,512,0.08987816795706749,0.09678946831263602,3.2440525367856026,3.2461350858211517,3.1426692936802283,0.01809321899781935,0.04176911027752794,0.013192081307352953,2.2924855146557093,34.139543890953064,0.06148760765790939,0.04903706535696983,0.09502331912517548,0.09502331167459488,2.9349014153704047,0.29260058554064017,2.6423008298297646,2048,1536,0.2876820724501533,0.0,1.0,1.5,1.0,0.405465107774831,1.0
gpt2:llama1b->qwen3b,gpt2,llama1b,qwen3b,128,512,0.06472283732728101,0.07120894867694005,3.244644161313772,3.246570197865367,3.0668027999345213,0.013296312768943608,0.07740879734046757,0.009339345193006577,1.5172281675040722,34.68109706044197,0.05605114996433258,0.04735105484724045,0.09355656802654266,0.09355656057596207,2.806918393820524,0.2858681448196876,2.5210502490008366,2048,2048,0.0,0.0,1.0,3.0,1.0,1.098612288001443,2.0
gpt2:llama1b->qwen7b,gpt2,llama1b,qwen7b,128,512,0.019615124401752837,0.024610839143861085,3.2439336255192757,3.249287137761712,3.346829851565417,0.0054615944100078195,0.7243548962287605,0.0030071032690499352,0.20799957239069045,19.531746044754982,0.05401451885700226,0.05000661313533783,0.16608518362045288,0.1660851687192917,2.7019879138097167,0.2931436177168507,2.408844296092866,2048,3584,0.55961578793333,0.0,1.0,7.0,1.0,1.9459101481981704,2.0
gpt2:llama3b->llama1b,gpt2,llama3b,llama1b,128,512,0.13172603189013898,0.13891357800457627,3.662292690947652,3.66347074508667,3.817935384460725,0.0243567161669489,0.01709830826439429,0.018219084554474185,4.135790115222335,38.03686064481735,0.06511299312114716,0.04729097709059715,0.0962827205657959,0.0962827205657959,3.2864207942038774,0.24862251406739233,3.037798280136485,3072,2048,0.4054651081065368,1.0,0.0,1.0,3.0,-1.098612288001443,1.0
gpt2:llama3b->llama8b,gpt2,llama3b,llama8b,128,512,0.0156709014045191,0.019721767748706043,3.710870884358883,3.7400176748633385,4.305733593646437,0.0035383647264097817,0.7539847088046372,0.0023710413773844795,1.786570006981492,4.630482021719217,0.047761958092451096,2.7864276858080572e-11,0.8014005422592163,0.8014005422592163,2.9135442646220326,0.25074529129778966,2.662798973324243,3072,4096,0.2876820724509672,1.0,0.0,8.0,3.0,0.9808292528033928,2.0
gpt2:llama3b->mistral7b,gpt2,llama3b,mistral7b,128,512,0.028489566524513066,0.03301802830537781,3.5980529207736254,3.601997835561633,5.523993563489057,0.0037416297036543256,0.6229740669950843,0.003969578808007168,0.45790578075684607,32.259911462664604,0.04879947751760483,0.04660823941230774,0.1115332543849945,0.11153324693441391,2.5233965599909425,0.24764307383156847,2.275753486159374,3072,4096,0.2876820724509672,0.0,1.0,7.0,3.0,0.8472978601967275,1.0
gpt2:llama3b->qwen1.5b,gpt2,llama3b,qwen1.5b,128,512,0.0800323681323789,0.08611718669999391,3.6481587942689657,3.6503168661147356,3.7021280030021444,0.014118696868536063,0.03450194973265752,0.011737484963108315,1.8085555341094732,38.3922513127327,0.06148760765790939,0.04903706535696983,0.09502331912517548,0.09502331167459488,2.9349014153704047,0.25078357610618696,2.6841178392642178,3072,1536,0.6931471805566901,0.0,1.0,1.5,3.0,-0.6931471802266119,1.0
gpt2:llama3b->qwen3b,gpt2,llama3b,qwen3b,128,512,0.05489845012198202,0.060516358353197575,3.646818934008479,3.648766966536641,3.6243299603811465,0.0096980268281186,0.06826040870510042,0.00793696818988742,1.0917885638773441,38.979830622673035,0.05605114996433258,0.04735105484724045,0.09355656802654266,0.09355656057596207,2.806918393820524,0.2465352592698764,2.560383134550648,3072,2048,0.4054651081065368,0.0,1.0,3.0,3.0,0.0,0.0
gpt2:llama3b->qwen7b,gpt2,llama3b,qwen7b,128,512,0.014779594253923278,0.01866627056733705,3.645697794854641,3.650799850001931,3.9039464292582124,0.0036959473145543598,0.7902015973813832,0.0022807594213223414,0.11979296093340963,21.95077136158943,0.05401451885700226,0.05000661313533783,0.16608518362045288,0.1660851687192917,2.7019879138097167,0.2498439520568354,2.4521439617528813,3072,3584,0.15415067982679323,0.0,1.0,7.0,3.0,0.8472978601967275,1.0
gpt2:llama8b->llama1b,gpt2,llama8b,llama1b,128,512,0.13351902726572007,0.14278244355227798,3.965933820232749,4.042144482955337,3.4718076022691093,0.03256192192202434,0.012816515714803245,0.018726502112613445,3.9591811187565327,40.74634391069412,0.06723786145448685,0.04718389734625816,0.09733225405216217,0.09733225405216217,3.2864207942038774,0.19184524664160563,3.094575547562272,4096,2048,0.6931471805575039,1.0,0.0,1.0,8.0,-2.0794415408048357,1.0
gpt2:llama8b->llama3b,gpt2,llama8b,llama3b,128,512,0.14349926530849189,0.1525156304705888,3.9657369684427977,4.041916454210877,3.3175644342554733,0.03451960068196058,0.009761388595507015,0.018993030294589736,4.724719002842903,38.216919749975204,0.06600110232830048,0.04603511095046997,0.10376913845539093,0.10376913100481033,3.0276303105056286,0.18840039008500753,2.839229920420621,4096,3072,0.28768207245096716,1.0,0.0,3.0,8.0,-0.9808292528033928,1.0
gpt2:llama8b->mistral7b,gpt2,llama8b,mistral7b,128,512,0.027459655233542435,0.031218666772474535,4.05893262848258,4.210401721298695,5.183692613558378,0.003025893613084918,0.5682026455178857,0.0037532513113167376,0.41166033828631043,36.39212945103645,0.04879947751760483,0.04660823941230774,0.1115332543849945,0.11153324693441391,2.5233965599909425,0.19100297239310748,2.332393587597835,4096,4096,0.0,0.0,1.0,7.0,8.0,-0.13353139260666555,0.0
gpt2:llama8b->qwen1.5b,gpt2,llama8b,qwen1.5b,128,512,0.08334745978936553,0.09014198411023244,3.9198731016367674,3.9238977562636137,3.3608448606100865,0.017666658764937893,0.026380269904620945,0.012286051409511231,1.9552363315597177,41.25169998407364,0.06148760765790939,0.04903706535696983,0.09502331912517548,0.09502331167459488,2.9349014153704047,0.1888672568511538,2.746034158519251,4096,1536,0.9808292530076572,0.0,1.0,1.5,8.0,-1.6739764330300049,1.0
gpt2:llama8b->qwen3b,gpt2,llama8b,qwen3b,128,512,0.058181150641757995,0.06459865969372913,3.921627763658762,3.9254763685166836,3.2861414600047283,0.012691307070781477,0.051351069734664634,0.0084723787261961,1.2233908521011472,41.91718626022339,0.05605114996433258,0.04735105484724045,0.09355656802654266,0.09355656057596207,2.806918393820524,0.18791037281698664,2.6190080210035376,4096,2048,0.6931471805575039,0.0,1.0,3.0,8.0,-0.9808292528033928,1.0
gpt2:llama8b->qwen7b,gpt2,llama8b,qwen7b,128,512,0.013965441852633376,0.01740409257763531,3.920762276276946,3.925599839538336,3.566013510862831,0.003450917187365121,0.7035139761865139,0.0021265387733887774,0.10393056308384985,23.60693596303463,0.05401451885700226,0.05000661313533783,0.16608518362045288,0.1660851687192917,2.7019879138097167,0.18902748127220548,2.5129604325375112,4096,3584,0.13353139262417382,0.0,1.0,7.0,8.0,-0.13353139260666555,0.0
