pair,encoder,source,target,n_samples,n_anchors,rel_direction_l1_to_target,rel_direction_rmse_to_target,rel_magnitude_l1_to_target,rel_magnitude_rmse_to_target,memory_target_norm_gap,anchor_direction_js_to_target,target_direction_subspace_residual,capacity_normalized_direction_rmse,diagnostic_rel_direction_z2_mean,diagnostic_rel_magnitude_z_abs_mean,diagnostic_target_direction_std_mean,diagnostic_target_direction_std_min,diagnostic_target_magnitude_std_mean,diagnostic_target_magnitude_std_min,target_text_nll,source_native_nll,target_minus_source_nll,source_hidden_size,target_hidden_size,abs_log_hidden_ratio,prior_same_model_family,prior_cross_model_family,prior_target_param_b,prior_source_param_b,prior_log_param_ratio_target_over_source,prior_param_tier_jump,pair_normalized_direction_rmse,target_readability_z2_mean,target_readability_tail_frac,target_magnitude_tail_frac,target_readability_cross_entropy,source_to_target_anchor_kl,target_readability_energy,source_target_top_anchor_overlap,source_target_direction_entropy_gap,source_target_direction_dispersion_gap,diagnostic_source_direction_entropy_mean,diagnostic_target_direction_entropy,diagnostic_source_direction_std_mean
gpt2:llama8b->mistral7b,gpt2,llama8b,mistral7b,128,512,0.030153724699630402,0.03374319992144592,4.4437004663050175,4.582140877842903,5.568460621871054,0.0029973766322655138,0.5698420172557235,0.00405676226586505,0.47983737918548286,39.8419354557991,0.04879947751760483,0.04660823941230774,0.1115332543849945,0.11153324693441391,2.5233965599909425,0.6800398378400132,1.8433567221509293,4096,4096,0.0,0.0,1.0,7.0,8.0,-0.13353139260666555,0.0,0.5641009957137822,0.4786015786230564,0.0,1.0,6.238683748990297,0.01204052267712541,0.0019542623758752597,0.0582275390625,0.010731998831033707,1.495297609272025,6.22664326056838,6.237375259399414,0.01093995066912612
gpt2:llama8b->qwen1.5b,gpt2,llama8b,qwen1.5b,128,512,0.08514476357959211,0.09148737316718325,4.304726094007492,4.30802833288908,3.74569781543687,0.016900069647817872,0.02569520313409157,0.012469423445113176,2.0262156492099166,45.301789462566376,0.06148760765790939,0.04903706535696983,0.09502331912517548,0.09502331167459488,2.9349014153704047,0.68136599031277,2.2535354250576347,4096,1536,0.9808292530076572,0.0,1.0,1.5,8.0,-1.6739764330300049,1.0,1.2648092081266895,2.0243541235104203,0.04237174987792969,1.0,6.300214380025864,0.07432623417116702,0.0019414872585912235,0.02081298828125,0.03479424864053726,1.7381321836776573,6.225888170301914,6.191093921661377,0.010812498214363586
gpt2:llama8b->qwen3b,gpt2,llama8b,qwen3b,128,512,0.059926969872321934,0.06578528066165745,4.301850646734238,4.305016487836838,3.6663641463965178,0.01198750294133788,0.04880323799443431,0.008628008924909187,1.2775998832657933,45.98128101229668,0.05605114996433258,0.04735105484724045,0.09355656802654266,0.09355656057596207,2.806918393820524,0.6806511259637773,2.126267267856747,4096,2048,0.6931471805575039,0.0,1.0,3.0,8.0,-0.9808292528033928,1.0,0.9831366957613621,1.275541520677507,0.0029239654541015625,1.0,6.2771014384925365,0.05121325404616073,0.0019433286161074648,0.012542724609375,0.01697627454996109,1.6455612125073555,6.225888170301914,6.208911895751953,0.010812498214363586
gpt2:llama8b->qwen7b,gpt2,llama8b,qwen7b,128,512,0.014344060342409648,0.017921437160111964,4.30266322940588,4.306752510368824,3.9479144422803074,0.003444449068410904,0.6896740323863924,0.002189751107437894,0.11013621307210997,25.906364232301712,0.05401451885700226,0.05000661313533783,0.16608518362045288,0.1660851687192917,2.7019879138097167,0.6768322002608329,2.025155713548884,4096,3584,0.13353139262417382,0.0,1.0,7.0,8.0,-0.13353139260666555,0.0,0.2759000685581107,0.10971311409957707,0.0,1.0,6.239694893360138,0.0138067321604467,0.0019532448141035275,0.058349609375,0.011017881333827972,1.6085494313158448,6.225888170301914,6.236906051635742,0.010812498214363586
gpt2:mistral7b->llama1b,gpt2,mistral7b,llama1b,128,512,0.08443769079167396,0.08936880237888545,5.397156171500683,5.399884644895792,3.609935806132853,0.013259837025543675,0.052162976877298206,0.011721084363829206,2.2281484082341194,53.939953088760376,0.05816026031970978,0.04653429985046387,0.10005860030651093,0.10005860030651093,3.2864207942038774,0.6214750519720837,2.6649457422317937,4096,2048,0.6931471805575039,0.0,1.0,1.0,7.0,-1.9459101481981704,1.0,1.2710191428581563,2.229917222633958,0.04015541076660156,1.0,6.282167375087738,0.0549515645543579,0.0019509138764988165,0.067779541015625,0.03273969516158104,1.5636206486922237,6.227215822786093,6.194476127624512,0.012177390701253898
gpt2:mistral7b->llama3b,gpt2,mistral7b,llama3b,128,512,0.09065693651791662,0.09566445974633098,5.397676434367895,5.400337427854538,3.4717357277404517,0.01450333545653848,0.03368239809060469,0.011913257522992094,2.675115618854761,49.674836456775665,0.05670587718486786,0.04595469310879707,0.10866017639636993,0.10866016894578934,3.0276303105056286,0.6245750396046788,2.40305527090095,4096,3072,0.28768207245096716,0.0,1.0,3.0,7.0,-0.8472978601967274,1.0,1.3889130530346712,2.6757004000246525,0.12154769897460938,1.0,6.287171576172113,0.05995576744317077,0.0019509822222971707,0.073974609375,0.039129313081502914,1.538296203379452,6.227215822786093,6.18808650970459,0.012177390701253898
gpt2:mistral7b->llama8b,gpt2,mistral7b,llama8b,128,512,0.03308749251300469,0.0365756316750776,5.494557075202465,5.512543190270662,4.272903839591891,0.003269132865170832,0.2750666083302349,0.004397290202916688,1.4833699041046202,4.910800751298666,0.04798778146505356,2.6038948774953496e-11,1.1188719272613525,1.118871808052063,2.9135442646220326,0.6255245816428214,2.288019682979211,4096,4096,0.0,0.0,1.0,8.0,7.0,0.13353139260666547,0.0,0.6081432436212778,1.4731302843429148,0.003574371337890625,1.0,6.240413662046194,0.013197856409533415,0.001954247627509176,0.079742431640625,0.008501950651407242,1.3713648016935984,6.227215822786093,6.2357177734375,0.012177390701253898
gpt2:mistral7b->qwen1.5b,gpt2,mistral7b,qwen1.5b,128,512,0.05123752821236849,0.057357217388926074,5.393793676048517,5.396442148834467,3.526609092252329,0.01265272234013537,0.06189996199100278,0.007817597188509901,0.7299839803017676,52.01008281111717,0.06299355626106262,0.04985617473721504,0.10370670258998871,0.10370668768882751,2.9349014153704047,0.6252910429611802,2.3096103724092245,4096,1536,0.9808292530076572,0.0,1.0,1.5,7.0,-1.5404450404233394,1.0,0.7659477066142072,0.7296880511566997,0.0,1.0,6.281651500612497,0.053761700983159244,0.0019479485135889263,0.0609130859375,0.027433671057224274,1.6682683673902872,6.227889813482761,6.200456142425537,0.01187889610446291
gpt2:mistral7b->qwen3b,gpt2,mistral7b,qwen3b,128,512,0.03752950154012069,0.042943594307871535,5.395286336541176,5.398020714521408,3.451191487722099,0.008609990829427261,0.10333651106338948,0.005632228231443101,0.5024797352962196,50.080733478069305,0.05740310996770859,0.048326294869184494,0.10773177444934845,0.10773177444934845,2.806918393820524,0.627547481097281,2.1793709127232432,4096,2048,0.6931471805575039,0.0,1.0,3.0,7.0,-0.8472978601967274,1.0,0.6199728514593298,0.5026528213638812,0.0,1.0,6.263804793357849,0.035914982319809496,0.0019487185572870658,0.06829833984375,0.011553086340427399,1.5753344257404014,6.227889813482761,6.216336727142334,0.01187889610446291
gpt2:mistral7b->qwen7b,gpt2,mistral7b,qwen7b,128,512,0.024828221707139164,0.02875258326821495,5.4908680990338326,5.512986540794373,3.768299943767488,0.0033840985997812822,0.345958037301898,0.003513166968183069,1.1964518907479942,4.791696086525917,0.054259926080703735,0.0,1.1459132432937622,1.1459132432937622,2.7019879138097167,0.6227003610692918,2.079287552740425,4096,3584,0.13353139262417382,0.0,1.0,7.0,7.0,0.0,0.0,0.43517820717494754,1.173604010604322,0.0035533905029296875,1.0,6.24153071269393,0.013640871940879151,0.0019534858929546317,0.08544921875,0.007093153893947601,1.519021898265285,6.227889813482761,6.234982967376709,0.01187889610446291
gpt2:qwen1.5b->llama1b,gpt2,qwen1.5b,llama1b,128,512,0.11086279310984537,0.11794751131674275,5.095731273293495,5.096885040402412,5.197114478331059,0.020189501767163165,0.04026684066047892,0.015469299060159154,3.226482292637229,55.81751325726509,0.06303035467863083,0.04704546183347702,0.09129269421100616,0.09129269421100616,3.2864207942038774,1.5091875735670328,1.7772332206368446,1536,2048,0.2876820724501533,0.0,1.0,1.0,1.5,-0.4054651077748311,1.0,1.6368690206641126,3.2210232354700565,0.2988300323486328,1.0,6.293846752494574,0.0835519238607958,0.0019916810870199697,0.094390869140625,0.04801902920007706,1.9501908637763798,6.21029482036829,6.162275791168213,0.008965865192294586
gpt2:qwen1.5b->llama3b,gpt2,qwen1.5b,llama3b,128,512,0.12131451832829043,0.12832118314690888,5.096197538077831,5.097482547163963,5.042228486854583,0.021424015023512766,0.033242778066778556,0.0159800547093226,3.956298353150487,51.535290360450745,0.06205273047089577,0.04581158608198166,0.09888753294944763,0.09888751804828644,3.0276303105056286,1.501953492872417,1.5256768176332116,1536,3072,0.6931471805566901,0.0,1.0,3.0,1.5,0.6931471802266119,1.0,1.8053300897848352,3.949481014162302,0.4729328155517578,1.0,6.298477217555046,0.08818243310088292,0.001991973233089084,0.088958740234375,0.05449829250574112,1.9345589506750118,6.21029482036829,6.155796527862549,0.008965865192294586
gpt2:qwen1.5b->llama8b,gpt2,qwen1.5b,llama8b,128,512,0.020490656184847467,0.025829406280536205,5.096834596246481,5.099659349769354,5.655862899962813,0.0076929056049266364,0.7384480708278716,0.0031053296958354075,0.28790124924853444,39.63163307309151,0.04787277802824974,0.04629664495587349,0.1286052167415619,0.1286052167415619,2.9135442646220326,1.5070563512854278,1.4064879133366048,1536,4096,0.9808292530076573,0.0,1.0,8.0,1.5,1.6739764330300049,2.0,0.4542007701138542,0.28759518079459667,0.000621795654296875,1.0,6.24100648611784,0.03071166021982208,0.0019500077823977335,0.0689697265625,0.026929758489131927,1.6751215178416796,6.21029482036829,6.237224578857422,0.008965865192294586
gpt2:qwen1.5b->mistral7b,gpt2,qwen1.5b,mistral7b,128,512,0.029601628077216446,0.036103904130868614,5.048984594643116,5.051475569605827,6.916169147472829,0.007830343311070465,0.6028018388897181,0.004340576953859952,0.5496280919760466,48.53778055310249,0.048695340752601624,0.04637666419148445,0.10402174293994904,0.10402174293994904,2.5233965599909425,1.5054834121838212,1.0179131478071213,1536,4096,0.9808292530076573,0.0,1.0,7.0,1.5,1.5404450404233394,2.0,0.6272406382957116,0.5481499242596328,0.0050029754638671875,1.0,6.238134443759918,0.03159146303369198,0.0019553425954654813,0.058258056640625,0.030783604830503464,1.712147908137875,6.206543017178774,6.237326622009277,0.008788416191237047
gpt2:qwen1.5b->qwen3b,gpt2,qwen1.5b,qwen3b,128,512,0.06255137681728229,0.07098672818392515,5.120383195579052,5.120959274470806,5.048210098408163,0.01858214900130406,0.08706912881461903,0.009310200065437823,1.3010758720338345,32.2221806794405,0.05838809162378311,0.04814695939421654,0.1589086353778839,0.1589086353778839,2.806918393820524,1.5026097535155714,1.3043086403049529,1536,2048,0.2876820724501533,1.0,0.0,3.0,1.5,0.6931471802266119,1.0,1.0499381663801397,1.2976450957357883,0.0103302001953125,1.0,6.281068101525307,0.07176238263491541,0.0019918365960620577,0.085845947265625,0.04545680806040764,1.8549238690224592,6.209305685013533,6.163848876953125,0.009135675798461307
gpt2:qwen1.5b->qwen7b,gpt2,qwen1.5b,qwen7b,128,512,0.020198598387651145,0.025375376353622414,5.307240262627602,5.34929832816124,5.523257055785507,0.00742883761995472,0.828664222266525,0.003100519114375026,9.730951618403196,3.2415918707847595,0.053509436547756195,0.0,1.637232780456543,1.6372325420379639,2.7019879138097167,1.5083437147550285,1.1936441990546882,1536,3584,0.8472978603834834,1.0,0.0,7.0,1.5,1.5404450404233394,2.0,0.4054601032234774,9.905246783047915,0.007818222045898438,0.9997081756591797,6.239372953772545,0.03006723696307745,0.0019539626700861845,0.060089111328125,0.02756984904408455,1.7676699485659708,6.209305685013533,6.236875534057617,0.009135675798461307
