pair,encoder,source,target,n_samples,n_anchors,rel_direction_l1_to_target,rel_direction_rmse_to_target,rel_magnitude_l1_to_target,rel_magnitude_rmse_to_target,memory_target_norm_gap,anchor_direction_js_to_target,target_direction_subspace_residual,capacity_normalized_direction_rmse,diagnostic_rel_direction_z2_mean,diagnostic_rel_magnitude_z_abs_mean,diagnostic_target_direction_std_mean,diagnostic_target_direction_std_min,diagnostic_target_magnitude_std_mean,diagnostic_target_magnitude_std_min,target_text_nll,source_native_nll,target_minus_source_nll,source_hidden_size,target_hidden_size,abs_log_hidden_ratio,prior_same_model_family,prior_cross_model_family,prior_target_param_b,prior_source_param_b,prior_log_param_ratio_target_over_source,prior_param_tier_jump
gpt2:llama1b->llama3b,gpt2,llama1b,llama3b,128,512,0.15534173999913037,0.16272076754830778,3.4290572386235,3.430343648418784,3.2734145474387333,0.030671910019009374,0.015721655123343226,0.020263893333869732,5.904161866754293,33.116039365530014,0.06417271494865417,0.04600384086370468,0.10354672372341156,0.10354671627283096,3.0276303105056286,0.6410860103787854,2.386544300126843,2048,3072,0.40546510810653674,1.0,0.0,3.0,1.0,1.098612288001443,2.0
gpt2:llama1b->llama8b,gpt2,llama1b,llama8b,128,512,0.023927906557219103,0.029131442643119954,3.477750025689602,3.511647066101432,3.9177452677395195,0.00513460569709423,0.7169256722554564,0.0035023156529298415,1.0512641477398574,4.339590150862932,0.047761958092451096,2.7864276858080572e-11,0.8014005422592163,0.8014005422592163,2.9135442646220326,0.6381282990332693,2.2754159655887634,2048,4096,0.6931471805575039,1.0,0.0,8.0,1.0,2.0794415408048357,2.0
gpt2:llama1b->mistral7b,gpt2,llama1b,mistral7b,128,512,0.03702057877671905,0.042212299624225125,3.3488080967217684,3.353213658556342,5.136028609471396,0.005388465971918777,0.5825067050755024,0.005074956277697564,0.7499410030432045,30.025199085474014,0.04879947751760483,0.04660823941230774,0.1115332543849945,0.11153324693441391,2.5233965599909425,0.6388698067748919,1.8845267532160506,2048,4096,0.6931471805575039,0.0,1.0,7.0,1.0,1.9459101481981704,2.0
gpt2:llama1b->qwen1.5b,gpt2,llama1b,qwen1.5b,128,512,0.09079630492487922,0.09772232623072341,3.4155014511197805,3.41767087392509,3.3141182096442208,0.018269409774802625,0.040306318493094295,0.013319226726355222,2.340400183573365,35.94382667541504,0.06148760765790939,0.04903706535696983,0.09502331912517548,0.09502331167459488,2.9349014153704047,0.6366985930362716,2.298202822334133,2048,1536,0.2876820724501533,0.0,1.0,1.5,1.0,0.405465107774831,1.0
gpt2:llama1b->qwen3b,gpt2,llama1b,qwen3b,128,512,0.06564952729968354,0.07215097895823419,3.415094932541251,3.4171269685029984,3.237253579427488,0.013433618121780455,0.07520380557980388,0.00946289632166016,1.559599608182907,36.50299787521362,0.05605114996433258,0.04735105484724045,0.09355656802654266,0.09355656057596207,2.806918393820524,0.6329575622221455,2.1739608315983787,2048,2048,0.0,0.0,1.0,3.0,1.0,1.098612288001443,2.0
gpt2:llama1b->qwen7b,gpt2,llama1b,qwen7b,128,512,0.020534870185656473,0.02546036255080253,3.4162493031471968,3.4215151984244585,3.5191455059684813,0.00555648683803156,0.7057469543069601,0.003110903249181262,0.22301862319000065,20.569259703159332,0.05401451885700226,0.05000661313533783,0.16608518362045288,0.1660851687192917,2.7019879138097167,0.638009149231948,2.0639787645777687,2048,3584,0.55961578793333,0.0,1.0,7.0,1.0,1.9459101481981704,2.0
gpt2:llama3b->llama1b,gpt2,llama3b,llama1b,128,512,0.12609609274659306,0.13296994648408145,3.736331768333912,3.7374003622680902,3.891974444151856,0.02247021289076656,0.019190871651517227,0.01743955294361203,3.790907483547926,38.80583617091179,0.06511299312114716,0.04729097709059715,0.0962827205657959,0.0962827205657959,3.2864207942038774,0.4485541344038211,2.8378666598000564,3072,2048,0.4054651081065368,1.0,0.0,1.0,3.0,-1.098612288001443,1.0
gpt2:llama3b->llama8b,gpt2,llama3b,llama8b,128,512,0.01473561362217879,0.01848404288466554,3.7842289973050356,3.8119755052030087,4.379379384452477,0.0037446942460519494,0.746741243172437,0.0022222364171065063,3.0186505932360888,4.722019415348768,0.047761958092451096,2.7864276858080572e-11,0.8014005422592163,0.8014005422592163,2.9135442646220326,0.4502018339699134,2.463342430652119,3072,4096,0.2876820724509672,1.0,0.0,8.0,3.0,0.9808292528033928,2.0
gpt2:llama3b->mistral7b,gpt2,llama3b,mistral7b,128,512,0.024612913199234754,0.02920025394996628,3.672536339610815,3.6763207502663136,5.5984769586939365,0.003825989400866092,0.6401491505093873,0.0035105884638585295,0.35782932001166046,32.92772477865219,0.04879947751760483,0.04660823941230774,0.1115332543849945,0.11153324693441391,2.5233965599909425,0.44647293246816844,2.076923627522774,3072,4096,0.2876820724509672,0.0,1.0,7.0,3.0,0.8472978601967275,1.0
gpt2:llama3b->qwen1.5b,gpt2,llama3b,qwen1.5b,128,512,0.07463765249121934,0.0806385621544905,3.721260419115424,3.7232750076800585,3.7752296291291714,0.013367456289415713,0.03825681362650357,0.010990766733152866,1.582716123200953,39.161553502082825,0.06148760765790939,0.04903706535696983,0.09502331912517548,0.09502331167459488,2.9349014153704047,0.4570076725212857,2.477893742849119,3072,1536,0.6931471805566901,0.0,1.0,1.5,3.0,-0.6931471802266119,1.0
gpt2:llama3b->qwen3b,gpt2,llama3b,qwen3b,128,512,0.049641097022686154,0.05516804600483738,3.7207565270364285,3.7225530184805393,3.6982675624312833,0.009108380349061918,0.08019340684404597,0.007235515126060192,0.9061016910709441,39.770129293203354,0.05605114996433258,0.04735105484724045,0.09355656802654266,0.09355656057596207,2.806918393820524,0.45401193847646937,2.352906455344055,3072,2048,0.4054651081065368,0.0,1.0,3.0,3.0,0.0,0.0
gpt2:llama3b->qwen7b,gpt2,llama3b,qwen7b,128,512,0.01496856280573411,0.018901052870205604,3.721897242590785,3.7267818059772253,3.980145885841921,0.0038299741499940865,0.828877508174628,0.002309446563046528,0.12248686066595837,22.409568786621094,0.05401451885700226,0.05000661313533783,0.16608518362045288,0.1660851687192917,2.7019879138097167,0.44930908689275384,2.252678826916963,3072,3584,0.15415067982679323,0.0,1.0,7.0,3.0,0.8472978601967275,1.0
gpt2:llama8b->llama1b,gpt2,llama8b,llama1b,128,512,0.1344780627405271,0.14362305181566626,4.12035072222352,4.193601556122303,3.6262245746329427,0.03186577881569974,0.01296413567615673,0.018836751328333425,4.016670670360327,42.33283719420433,0.06723786145448685,0.04718389734625816,0.09733225405216217,0.09733225405216217,3.2864207942038774,0.32088883660617284,2.9655319575977046,4096,2048,0.6931471805575039,1.0,0.0,1.0,8.0,-2.0794415408048357,1.0
gpt2:llama8b->llama3b,gpt2,llama8b,llama3b,128,512,0.1445113883819431,0.1533852444263175,4.123419623821974,4.196615729480982,3.475247103255242,0.03379482735181227,0.00966109259024961,0.019101324796305993,4.791643850505352,39.736472487449646,0.06600110232830048,0.04603511095046997,0.10376913845539093,0.10376913100481033,3.0276303105056286,0.3310895763570443,2.6965407341485843,4096,3072,0.28768207245096716,1.0,0.0,3.0,8.0,-0.9808292528033928,1.0
gpt2:llama8b->mistral7b,gpt2,llama8b,mistral7b,128,512,0.02961721744213719,0.033194212985108607,4.215151991695166,4.361096601933241,5.339912136783823,0.002925662576672039,0.5725126238539815,0.003990760538317847,0.46467317710630596,37.792783975601196,0.04879947751760483,0.04660823941230774,0.1115332543849945,0.11153324693441391,2.5233965599909425,0.3200831444846699,2.2033134155062726,4096,4096,0.0,0.0,1.0,7.0,8.0,-0.13353139260666555,0.0
gpt2:llama8b->qwen1.5b,gpt2,llama8b,qwen1.5b,128,512,0.08441129885613918,0.0909452099003829,4.076518598943949,4.080219941213727,3.517490296275355,0.017104084428865463,0.025706105821882375,0.012395528402375799,1.9991973247379065,42.90019449591637,0.06148760765790939,0.04903706535696983,0.09502331912517548,0.09502331167459488,2.9349014153704047,0.32593637800891884,2.608965037361486,4096,1536,0.9808292530076572,0.0,1.0,1.5,8.0,-1.6739764330300049,1.0
gpt2:llama8b->qwen3b,gpt2,llama8b,qwen3b,128,512,0.059186572645558044,0.06526278128148988,4.077407065778971,4.080970210954547,3.441920560784638,0.012170853893621825,0.05021657460019924,0.008559480991760566,1.2558109499514103,43.58226588368416,0.05605114996433258,0.04735105484724045,0.09355656802654266,0.09355656057596207,2.806918393820524,0.3249341477639973,2.481984246056527,4096,2048,0.6931471805575039,0.0,1.0,3.0,8.0,-0.9808292528033928,1.0
