pair,encoder,source,target,n_samples,n_anchors,rel_direction_l1_to_target,rel_direction_rmse_to_target,rel_magnitude_l1_to_target,rel_magnitude_rmse_to_target,memory_target_norm_gap,anchor_direction_js_to_target,target_direction_subspace_residual,capacity_normalized_direction_rmse,diagnostic_rel_direction_z2_mean,diagnostic_rel_magnitude_z_abs_mean,diagnostic_target_direction_std_mean,diagnostic_target_direction_std_min,diagnostic_target_magnitude_std_mean,diagnostic_target_magnitude_std_min,target_text_nll,source_native_nll,target_minus_source_nll,source_hidden_size,target_hidden_size,abs_log_hidden_ratio,prior_same_model_family,prior_cross_model_family,prior_target_param_b,prior_source_param_b,prior_log_param_ratio_target_over_source,prior_param_tier_jump,pair_normalized_direction_rmse,target_readability_z2_mean,target_readability_tail_frac,target_magnitude_tail_frac,target_readability_cross_entropy,source_to_target_anchor_kl,target_readability_energy,source_target_top_anchor_overlap,source_target_direction_entropy_gap,source_target_direction_dispersion_gap,diagnostic_source_direction_entropy_mean,diagnostic_target_direction_entropy,diagnostic_source_direction_std_mean
gpt2:llama1b->llama3b,gpt2,llama1b,llama3b,128,512,0.1546903771813959,0.1621782740112394,3.258440190926194,3.2596081532537937,3.102797500556335,0.031247402119333856,0.015287618174625095,0.020196335693040614,5.847892940044403,31.468310564756393,0.06417271494865417,0.04600384086370468,0.10354672372341156,0.10354671627283096,3.0276303105056286,0.2879994116810849,2.7396308988245437,2048,3072,0.40546510810653674,1.0,0.0,3.0,1.0,1.098612288001443,2.0,2.0492286897050342,5.837691843509674,0.8082747459411621,1.0,6.352549787610769,0.13480811880435795,0.0019383261706025223,0.019073486328125,0.08437171205878258,1.4599983004413333,6.217741634696722,6.1333699226379395,0.014903249910275918
gpt2:llama1b->llama8b,gpt2,llama1b,llama8b,128,512,0.023265850642928854,0.02828203786339145,3.308384945616126,3.3458901830017567,3.7477160145062953,0.004977284366759704,0.7253635367378592,0.003400196314311397,1.063234486617148,4.128253817558289,0.047761958092451096,2.7864276858080572e-11,0.8014005422592163,0.8014005422592163,2.9135442646220326,0.28728276312176604,2.6262615015002666,2048,4096,0.6931471805575039,1.0,0.0,8.0,1.0,2.0794415408048357,2.0,0.4523957856353757,1.0740686641074717,0.0018935203552246094,1.0,6.2386198826134205,0.02005812042625621,0.0019537620846676873,0.0785980224609375,0.019136782735586166,1.1844153168479716,6.21856177225709,6.237698554992676,0.014611569917178713
gpt2:llama1b->mistral7b,gpt2,llama1b,mistral7b,128,512,0.036848281451966614,0.04191031027585268,3.1781300976872444,3.1825330201536417,4.9653506083996035,0.0052974961581639946,0.5807462325319648,0.00503864973308939,0.739606776740402,28.4949109852314,0.04879947751760483,0.04660823941230774,0.1115332543849945,0.11153324693441391,2.5233965599909425,0.28852461438509636,2.234871945605846,2048,4096,0.6931471805575039,0.0,1.0,7.0,1.0,1.9459101481981704,2.0,0.6585558669486811,0.7363480846397579,0.002220630645751953,1.0,6.23874855786562,0.021319395818863995,0.0019540779630915495,0.0614013671875,0.019946061074733734,1.1999958928258088,6.21742919832468,6.237375259399414,0.014698173552460503
gpt2:llama1b->qwen1.5b,gpt2,llama1b,qwen1.5b,128,512,0.08987816795706749,0.09678946831263602,3.2440525367856026,3.2461350858211517,3.1426692936802283,0.01809321899781935,0.04176911027752794,0.013192081307352953,2.2924855146557093,34.139543890953064,0.06148760765790939,0.04903706535696983,0.09502331912517548,0.09502331167459488,2.9349014153704047,0.29260058554064017,2.6423008298297646,2048,1536,0.2876820724501533,0.0,1.0,1.5,1.0,0.405465107774831,1.0,1.2699241070152805,2.285057369619608,0.1057443618774414,1.0,6.296002168208361,0.0783025569980964,0.001946680232322251,0.06866455078125,0.026605699211359024,1.4373260036693374,6.217699620872736,6.191093921661377,0.014607120676373597
gpt2:llama1b->qwen3b,gpt2,llama1b,qwen3b,128,512,0.06472283732728101,0.07120894867694005,3.244644161313772,3.246570197865367,3.0668027999345213,0.013296312768943608,0.07740879734046757,0.009339345193006577,1.5172281675040722,34.68109706044197,0.05605114996433258,0.04735105484724045,0.09355656802654266,0.09355656057596207,2.806918393820524,0.2858681448196876,2.5210502490008366,2048,2048,0.0,0.0,1.0,3.0,1.0,1.098612288001443,2.0,1.0061275407487835,1.5121210282668471,0.02866220474243164,1.0,6.273780085146427,0.056080435460899025,0.0019480080636640196,0.06992340087890625,0.008787725120782852,1.3447550324990356,6.217699620872736,6.208911895751953,0.014607120676373597
gpt2:llama1b->qwen7b,gpt2,llama1b,qwen7b,128,512,0.019615124401752837,0.024610839143861085,3.2439336255192757,3.249287137761712,3.346829851565417,0.0054615944100078195,0.7243548962287605,0.0030071032690499352,0.20799957239069045,19.531746044754982,0.05401451885700226,0.05000661313533783,0.16608518362045288,0.1660851687192917,2.7019879138097167,0.2931436177168507,2.408844296092866,2048,3584,0.55961578793333,0.0,1.0,7.0,1.0,1.9459101481981704,2.0,0.3579809882095419,0.20724498387426138,3.814697265625e-06,1.0,6.2396099008619785,0.02191025907814037,0.001953373596734309,0.06462860107421875,0.01920643076300621,1.3077432513075251,6.217699620872736,6.236906051635742,0.014607120676373597
gpt2:llama3b->llama1b,gpt2,llama3b,llama1b,128,512,0.13172603189013898,0.13891357800457627,3.662292690947652,3.66347074508667,3.817935384460725,0.0243567161669489,0.01709830826439429,0.018219084554474185,4.135790115222335,38.03686064481735,0.06511299312114716,0.04729097709059715,0.0962827205657959,0.0962827205657959,3.2864207942038774,0.24862251406739233,3.037798280136485,3072,2048,0.4054651081065368,1.0,0.0,1.0,3.0,-1.098612288001443,1.0,1.77328598056824,4.15354373306036,0.5759196281433105,1.0,6.328438371419907,0.10374395892722532,0.001970358409380424,0.1035003662109375,0.08366885781288147,1.5812782046440206,6.224694401025772,6.141025543212891,0.013394515321124345
gpt2:llama3b->llama8b,gpt2,llama3b,llama8b,128,512,0.0156709014045191,0.019721767748706043,3.710870884358883,3.7400176748633385,4.305733593646437,0.0035383647264097817,0.7539847088046372,0.0023710413773844795,1.786570006981492,4.630482021719217,0.047761958092451096,2.7864276858080572e-11,0.8014005422592163,0.8014005422592163,2.9135442646220326,0.25074529129778966,2.662798973324243,3072,4096,0.2876820724509672,1.0,0.0,8.0,3.0,0.9808292528033928,2.0,0.3246604559300701,1.7366022625938058,0.0019083023071289062,1.0,6.238750584423542,0.014132250893453602,0.001953526047145715,0.089202880859375,0.013080228120088577,1.2720140101650494,6.224618326872587,6.237698554992676,0.013386074082518462
gpt2:llama3b->mistral7b,gpt2,llama3b,mistral7b,128,512,0.028489566524513066,0.03301802830537781,3.5980529207736254,3.601997835561633,5.523993563489057,0.0037416297036543256,0.6229740669950843,0.003969578808007168,0.45790578075684607,32.259911462664604,0.04879947751760483,0.04660823941230774,0.1115332543849945,0.11153324693441391,2.5233965599909425,0.24764307383156847,2.275753486159374,3072,4096,0.2876820724509672,0.0,1.0,7.0,3.0,0.8472978601967275,1.0,0.5353324020316598,0.4625355221796781,0.00014543533325195312,1.0,6.238033197820187,0.014998759819718543,0.001955476305738557,0.054931640625,0.01434081420302391,1.3089358324817553,6.22303444519639,6.237375259399414,0.013181089911086019
gpt2:llama3b->qwen1.5b,gpt2,llama3b,qwen1.5b,128,512,0.0800323681323789,0.08611718669999391,3.6481587942689657,3.6503168661147356,3.7021280030021444,0.014118696868536063,0.03450194973265752,0.011737484963108315,1.8085555341094732,38.3922513127327,0.06148760765790939,0.04903706535696983,0.09502331912517548,0.09502331167459488,2.9349014153704047,0.25078357610618696,2.6841178392642178,3072,1536,0.6931471805566901,0.0,1.0,1.5,3.0,-0.6931471802266119,1.0,1.153858829026547,1.82271848898381,0.026084423065185547,1.0,6.2855413891375065,0.061138274759287015,0.001963048558536684,0.06313323974609375,0.033309198915958405,1.5207986987273163,6.224403120577335,6.191093921661377,0.013437326211715117
