config,metric,tier,n,raw_spearman,controlled_spearman,raw_pearson,controlled_pearson,base_control_r2,metric_augmented_r2,delta_r2,controls
mem8/enc_conv/full,target_readability_cross_entropy,pair_geometry,83,0.47099198186474117,0.07871206078670082,0.486179089234833,0.04384477845826913,0.8275877222422668,0.8279191615012984,0.0003314392590315629,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem8/enc_conv/full,pair_normalized_direction_rmse,pair_geometry,83,0.4989295159733009,-0.03459132698039545,0.44876991657053034,-0.047840506538863535,0.8275877222422668,0.827982324647504,0.0003946024052371433,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem8/enc_conv/full,source_to_target_anchor_kl,pair_geometry,83,0.46312077578607114,-0.11009193568699886,0.4514124078059981,-0.062428710395450934,0.8275877222422668,0.8282596721781055,0.0006719499358386338,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem8/enc_conv/full,target_magnitude_tail_frac,pair_geometry,83,0.24929037829900294,-0.09226240179831685,0.24919989225716294,0.15210526824297238,0.8275877222422668,0.8315766548775614,0.00398893263529454,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem8/enc_conv/full,target_readability_tail_frac,pair_geometry,83,0.2762640621770271,-0.06419177783207482,0.1324501812746062,0.014341753765630417,0.8275877222422668,0.8276231850169737,3.546277470689585e-05,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem8/enc_conv/full,target_readability_z2_mean,pair_geometry,83,0.22713152260610386,-0.11949540321565005,0.02969743208398154,-0.20139665385737654,0.8275877222422668,0.8345808697763217,0.006993147534054889,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem8/converter_only/full,target_readability_cross_entropy,pair_geometry,83,0.42219050417698667,-0.051530162461693466,0.4424626108781116,-0.011194016654135375,0.7167603572474901,0.7167958488766726,3.54916291824825e-05,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem8/converter_only/full,pair_normalized_direction_rmse,pair_geometry,83,0.41900004197976576,-0.03236639939549137,0.3948161924261029,-0.011602325897484932,0.7167603572474901,0.7167984852591951,3.812801170499647e-05,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem8/converter_only/full,source_to_target_anchor_kl,pair_geometry,83,0.3892573779438311,-0.16166407791444523,0.4062524558302011,-0.09277097658014341,0.7167603572474901,0.7191980462309033,0.002437688983413233,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem8/converter_only/full,target_magnitude_tail_frac,pair_geometry,83,0.2590881617884091,-0.1542722301345693,0.2678957881824065,0.2327578954909384,0.7167603572474901,0.7321052155197223,0.015344858272232198,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem8/converter_only/full,target_readability_tail_frac,pair_geometry,83,0.21994582640062788,-0.03781605224476219,0.08352881014297388,0.0003683011967650634,0.7167603572474901,0.7167603956677501,3.842025997347065e-08,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem8/converter_only/full,target_readability_z2_mean,pair_geometry,83,0.1791276604676546,-0.14751689685571553,-0.012299578090312223,-0.2489776554231177,0.7167603572474901,0.7343183467019576,0.017557989454467515,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem16/enc_conv/full,target_readability_cross_entropy,pair_geometry,83,0.44496452709793877,-0.2516477058058016,0.28510744919536535,-0.2447044288171133,0.793958492569702,0.8062963110867537,0.012337818517051735,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem16/enc_conv/full,pair_normalized_direction_rmse,pair_geometry,83,0.40770748499223375,-0.1674992653540993,0.19669958294585213,-0.18514237123457722,0.793958492569702,0.8010211210598777,0.007062628490175693,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem16/enc_conv/full,source_to_target_anchor_kl,pair_geometry,83,0.4201334956550942,-0.2146005625288611,0.273479210152821,-0.19397586175676904,0.793958492569702,0.8017111411531512,0.007752648583449262,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem16/enc_conv/full,target_magnitude_tail_frac,pair_geometry,83,0.26674244692588606,-0.24026350853653264,0.15618989939693104,0.07768613474348746,0.793958492569702,0.7952019809921343,0.0012434884224323817,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem16/enc_conv/full,target_readability_tail_frac,pair_geometry,83,0.21383636502918313,-0.30477450043946835,-0.1223382616665697,-0.18815430249335344,0.793958492569702,0.8012527825761064,0.007294290006404469,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem16/enc_conv/full,target_readability_z2_mean,pair_geometry,83,0.09292221149405987,-0.22184207212123758,-0.18923898685459833,-0.09490279552555783,0.793958492569702,0.7958142137713626,0.001855721201660665,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem16/converter_only/full,target_readability_cross_entropy,pair_geometry,83,0.45166029973552746,-0.23787834263884808,0.2850217503472493,-0.2638370954896906,0.7223625417033066,0.7416888887725315,0.01932634706922487,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem16/converter_only/full,pair_normalized_direction_rmse,pair_geometry,83,0.3606481675832249,-0.11366021577599597,0.21044703712557625,-0.11402554862757466,0.7223625417033066,0.7259723355549266,0.003609793851619969,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem16/converter_only/full,source_to_target_anchor_kl,pair_geometry,83,0.3812182528021494,-0.28357331766088745,0.25486917204844756,-0.2922127691242175,0.7223625417033066,0.7460695329608075,0.023706991257500865,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem16/converter_only/full,target_magnitude_tail_frac,pair_geometry,83,0.18265318059361074,-0.1630435204339462,0.11865111851230663,0.07367256169484754,0.7223625417033066,0.7238694596395323,0.0015069179362257046,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem16/converter_only/full,target_readability_tail_frac,pair_geometry,83,0.2013467330588683,-0.24086610684569734,-0.10181264231755753,-0.19205955345717407,0.7223625417033066,0.7326037191104942,0.010241177407187552,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
mem16/converter_only/full,target_readability_z2_mean,pair_geometry,83,0.1493849964317199,-0.10192687124805844,-0.11417371149482057,-0.05021966680322558,0.7223625417033066,0.7230627475193208,0.0007002058160141544,target_hidden_size;target_text_nll;prior_target_param_b;target_family=mistral;target_family=qwen
