metric,n_targets,mean_pearson,median_pearson,mean_spearman,median_spearman,mean_abs_spearman,positive_spearman_targets,negative_spearman_targets
target_magnitude_tail_frac,1,-0.29991408977992196,-0.29991408977992196,-0.5214300219176456,-0.5214300219176456,0.5214300219176456,0,1
_z_neg_target_magnitude_tail,1,0.29991408977992196,0.29991408977992196,0.5214300219176456,0.5214300219176456,0.5214300219176456,1,0
source_native_nll,7,0.4869784584810441,0.6448796675334153,0.5073926073926074,0.6503496503496503,0.6294705294705294,6,1
target_minus_source_nll,7,-0.4869784584810441,-0.6448796675334153,-0.5073926073926074,-0.6503496503496503,0.6294705294705294,1,6
_z_neg_source_native_nll,7,-0.4869784584810442,-0.6448796675334154,-0.5073926073926074,-0.6503496503496503,0.6294705294705294,1,6
combined_hidden_source_quality_score,7,-0.4869784584810441,-0.6448796675334153,-0.5073926073926074,-0.6503496503496503,0.6294705294705294,1,6
prior_same_model_family,6,0.4087636407263704,0.5193022897505517,0.42114923610467186,0.4864869786742297,0.42114923610467186,6,0
prior_cross_model_family,6,-0.40876364072637034,-0.5193022897505515,-0.42114923610467186,-0.4864869786742297,0.42114923610467186,0,6
diagnostic_rel_magnitude_z_abs_mean,7,-0.3282435288265452,-0.24794247078679338,-0.35174825174825175,-0.4405594405594406,0.41148851148851145,1,6
prior_param_tier_jump,5,0.35622586460389016,0.3092884674982325,0.3345445153388337,0.3344968040028363,0.3345445153388337,5,0
source_target_direction_entropy_gap,7,0.33207967732272464,0.34607929718186076,0.3034965034965035,0.2937062937062937,0.3034965034965035,7,0
_z_neg_direction_entropy_gap,7,-0.33207967732272464,-0.34607929718186076,-0.3034965034965035,-0.2937062937062937,0.3034965034965035,0,7
diagnostic_source_direction_entropy_mean,7,-0.24785945133395376,-0.2335494631676444,-0.29230769230769227,-0.38181818181818183,0.29230769230769227,0,6
anchor_direction_js_to_target,7,0.2662928237767644,0.19780927142663665,0.2712287712287712,0.3181818181818182,0.28921078921078924,6,1
_z_neg_anchor_js,7,-0.26629282377676444,-0.19780927142663673,-0.2712287712287712,-0.3181818181818182,0.28921078921078924,1,6
combined_hidden_js_score,7,-0.26629282377676444,-0.19780927142663696,-0.2712287712287712,-0.3181818181818182,0.28921078921078924,1,6
source_to_target_anchor_kl,7,0.25959094995197607,0.20054843022029706,0.2692307692307692,0.3181818181818182,0.2872127872127872,6,1
_z_neg_source_to_target_kl,7,-0.25959094995197607,-0.2005484302202972,-0.2692307692307692,-0.3181818181818182,0.2872127872127872,1,6
source_hidden_size,7,-0.3054576060364876,-0.3351397818850127,-0.2628618174509145,-0.2079507662517685,0.2628618174509145,0,7
prior_source_param_b,7,-0.3057687822041379,-0.34665409882117126,-0.2546613057926338,-0.22563512581625914,0.2546613057926338,0,7
prior_log_param_ratio_target_over_source,7,0.2757347217465731,0.34490968121361965,0.2546613057926338,0.22563512581625914,0.2546613057926338,7,0
_z_log_param_ratio,7,0.27573472174657304,0.3449096812136196,0.2546613057926338,0.22563512581625914,0.2546613057926338,7,0
