task,metric,tier,n_groups,top1_hit_rate,mean_regret_at_1,median_regret_at_1,mean_spearman,mean_abs_spearman
T1_select_source,prior_same_model_family,L3_discrete,6,0.3333333333333333,0.06133336015605289,0.01718892851679247,0.42114923610467186,0.42114923610467186
T1_select_source,diagnostic_rel_magnitude_z_abs_mean,other,7,0.2857142857142857,0.10827710518622326,0.019324209300761508,0.35174825174825175,0.41148851148851145
T1_select_source,prior_param_tier_jump,L3_discrete,5,0.2,0.10255878410424106,0.026042546504547327,0.3345445153388337,0.3345445153388337
T1_select_source,target_minus_source_nll,L2_text,7,0.14285714285714285,0.08816510850480642,0.027395704515054575,0.5073926073926074,0.6294705294705294
T1_select_source,rel_direction_l1_to_target,L1_mechanism,7,0.14285714285714285,0.18368093527903565,0.20444672530552288,-0.1252747252747253,0.3302697302697303
T1_select_source,rel_direction_rmse_to_target,L1_mechanism,7,0.14285714285714285,0.18368093527903565,0.20444672530552288,-0.1090909090909091,0.3204795204795205
T1_select_source,capacity_normalized_direction_rmse,L1_mechanism,7,0.14285714285714285,0.18368093527903565,0.20444672530552288,-0.1090909090909091,0.3204795204795205
T1_select_source,_z_neg_direction_rmse,other,7,0.14285714285714285,0.18368093527903565,0.20444672530552288,-0.1090909090909091,0.3204795204795205
T1_select_source,combined_hidden_direction_score,L4_composite,7,0.14285714285714285,0.18368093527903565,0.20444672530552288,-0.1090909090909091,0.3204795204795205
T1_select_source,combined_param_direction_score,L4_composite,7,0.14285714285714285,0.18368093527903565,0.20444672530552288,-0.1090909090909091,0.3204795204795205
T1_select_source,pair_normalized_direction_rmse,L1_pair_compatibility,7,0.14285714285714285,0.2393249742223267,0.20444672530552288,-0.1053946053946054,0.32017982017982016
T1_select_source,_z_neg_pair_norm_direction_rmse,other,7,0.14285714285714285,0.2393249742223267,0.20444672530552288,-0.1053946053946054,0.32017982017982016
T1_select_source,diagnostic_target_direction_std_mean,other,7,0.14285714285714285,0.18537338789868935,0.06027038682566255,-0.08750232041565416,0.29138970066360764
T1_select_source,source_target_direction_dispersion_gap,L1_pair_compatibility,7,0.14285714285714285,0.06693651926827368,0.051088952647243634,-0.14085914085914086,0.26873126873126874
T1_select_source,_z_neg_direction_dispersion_gap,other,7,0.14285714285714285,0.06693651926827368,0.051088952647243634,-0.14085914085914086,0.26873126873126874
T1_select_source,target_readability_tail_frac,L1_pair_compatibility,7,0.14285714285714285,0.17324610643880597,0.12686904670790333,-0.12013215829247416,0.2653420850136965
T1_select_source,_z_neg_target_readability_tail,other,7,0.14285714285714285,0.17324610643880597,0.12686904670790333,-0.12013215829247416,0.2653420850136965
T1_select_source,prior_log_param_ratio_target_over_source,L3_discrete,7,0.14285714285714285,0.0490992177475761,0.026042546504547327,0.2546613057926338,0.2546613057926338
T1_select_source,_z_log_param_ratio,other,7,0.14285714285714285,0.0490992177475761,0.026042546504547327,0.2546613057926338,0.2546613057926338
T1_select_source,diagnostic_source_direction_std_mean,other,7,0.14285714285714285,0.09030519352490247,0.051088952647243634,-0.15534465534465536,0.25424575424575424
T1_select_source,rel_magnitude_rmse_to_target,L1_mechanism,7,0.14285714285714285,0.04932508528753332,0.026042546504547327,0.17122877122877123,0.24115884115884118
T1_select_source,_z_neg_magnitude_rmse,other,7,0.14285714285714285,0.04932508528753332,0.026042546504547327,0.17122877122877123,0.24115884115884118
T1_select_source,rel_magnitude_l1_to_target,L1_mechanism,7,0.14285714285714285,0.04932508528753332,0.026042546504547327,0.16423576423576422,0.23416583416583417
T1_select_source,diagnostic_target_magnitude_std_mean,other,7,0.14285714285714285,0.13975890192258247,0.027395704515054575,0.13876880170079328,0.20766961836102266
T1_select_source,diagnostic_target_magnitude_std_min,other,7,0.14285714285714285,0.13975890192258247,0.027395704515054575,0.13876880170079328,0.20766961836102266
T1_select_source,target_direction_subspace_residual,L1_mechanism,7,0.14285714285714285,0.3014511949918189,0.06027038682566255,-0.026473526473526472,0.1943056943056943
T1_select_source,_z_neg_subspace_residual,other,7,0.14285714285714285,0.3014511949918189,0.06027038682566255,-0.026473526473526472,0.1943056943056943
T1_select_source,target_readability_energy,L1_pair_compatibility,7,0.14285714285714285,0.11872403759090802,0.0194059060285533,0.0884115884115884,0.13736263736263737
T1_select_source,_z_target_readability_energy,other,7,0.14285714285714285,0.11872403759090802,0.0194059060285533,0.0884115884115884,0.13736263736263737
T1_select_source,source_native_nll,L2_text,7,0.0,0.412873049543787,0.25961787824720306,-0.5073926073926074,0.6294705294705294
T1_select_source,_z_neg_source_native_nll,other,7,0.0,0.412873049543787,0.25961787824720306,-0.5073926073926074,0.6294705294705294
T1_select_source,combined_hidden_source_quality_score,L4_composite,7,0.0,0.412873049543787,0.25961787824720306,-0.5073926073926074,0.6294705294705294
T1_select_source,target_magnitude_tail_frac,L1_pair_compatibility,1,0.0,0.027395704515054575,0.027395704515054575,0.5214300219176456,0.5214300219176456
T1_select_source,_z_neg_target_magnitude_tail,other,1,0.0,0.027395704515054575,0.027395704515054575,0.5214300219176456,0.5214300219176456
T1_select_source,prior_cross_model_family,other,6,0.0,0.19275559764948993,0.12067977798138413,-0.42114923610467186,0.42114923610467186
T1_select_source,target_readability_cross_entropy,L1_pair_compatibility,7,0.0,0.1720767020008724,0.1612005653282187,-0.06583416583416583,0.3257742257742258
T1_select_source,_z_neg_target_readability_ce,other,7,0.0,0.1720767020008724,0.1612005653282187,-0.06583416583416583,0.3257742257742258
T1_select_source,diagnostic_target_direction_entropy,other,7,0.0,0.11746718805205558,0.09709253928933193,-0.07607932687518315,0.31974385286068613
T1_select_source,source_target_direction_entropy_gap,L1_pair_compatibility,7,0.0,0.3352082461845027,0.37800278794979325,-0.3034965034965035,0.3034965034965035
T1_select_source,_z_neg_direction_entropy_gap,other,7,0.0,0.3352082461845027,0.37800278794979325,-0.3034965034965035,0.3034965034965035
T1_select_source,diagnostic_source_direction_entropy_mean,other,7,0.0,0.27427516068789654,0.14426701667343633,-0.29230769230769227,0.29230769230769227
T1_select_source,anchor_direction_js_to_target,L1_mechanism,7,0.0,0.4330182695016552,0.37800278794979325,-0.2712287712287712,0.28921078921078924
T1_select_source,_z_neg_anchor_js,other,7,0.0,0.4330182695016552,0.37800278794979325,-0.2712287712287712,0.28921078921078924
T1_select_source,combined_hidden_js_score,L4_composite,7,0.0,0.4330182695016552,0.37800278794979325,-0.2712287712287712,0.28921078921078924
T1_select_source,abs_log_hidden_ratio,other,7,0.0,0.26015075465970366,0.12686904670790333,-0.10319581950884993,0.28744712971713343
T1_select_source,source_to_target_anchor_kl,L1_pair_compatibility,7,0.0,0.4330182695016552,0.37800278794979325,-0.2692307692307692,0.2872127872127872
T1_select_source,_z_neg_source_to_target_kl,other,7,0.0,0.4330182695016552,0.37800278794979325,-0.2692307692307692,0.2872127872127872
T1_select_source,diagnostic_rel_direction_z2_mean,other,7,0.0,0.2413089518143358,0.25961787824720306,-0.2110889110889111,0.2824175824175824
