metric,n,pearson,spearman
target_hidden_size,83,0.7123226757625132,0.7120040180736764
_z_target_hidden_size,83,0.7123226757625131,0.7120040180736764
prior_target_param_b,83,0.6582584972259115,0.5946704388586218
_z_prior_target_param_b,83,0.6582584972259116,0.5946704388586218
prior_log_param_ratio_target_over_source,83,0.5538758241146079,0.5344848058499724
_z_log_param_ratio,83,0.5538758241146079,0.5344848058499724
diagnostic_target_magnitude_std_mean,83,0.486127800442378,0.512447916273952
diagnostic_target_magnitude_std_min,83,0.48612779476302115,0.512447916273952
combined_ratio_direction_score,83,0.5383792110637461,0.5111876075731497
combined_hidden_direction_score,83,0.6211941893121874,0.5098232651861803
combined_hidden_js_score,83,0.6176879173514882,0.5060660761512951
target_direction_subspace_residual,83,0.7169301993705539,0.5010494941438227
_z_neg_subspace_residual,83,-0.7169301993705541,-0.5010494941438227
diagnostic_target_direction_std_min,83,-0.4556232390476101,-0.4892974227541503
combined_param_direction_score,83,0.5522619321876394,0.46211326140800135
capacity_normalized_direction_rmse,83,-0.42679635365545465,-0.45743251752655223
diagnostic_target_direction_std_mean,83,-0.45556612762401133,-0.45513196510920517
rel_direction_rmse_to_target,83,-0.39406258733041677,-0.440808530288401
_z_neg_direction_rmse,83,0.3940625873304167,0.440808530288401
rel_direction_l1_to_target,83,-0.38987822371566344,-0.4400319046219722
target_readability_cross_entropy,83,-0.4424626108781115,-0.42219050417698667
_z_neg_target_readability_ce,83,0.4424626108781115,0.42219050417698667
diagnostic_target_direction_entropy,83,0.43781733604153467,0.4195565471448795
pair_normalized_direction_rmse,83,-0.39481619242610283,-0.41900004197976576
_z_neg_pair_norm_direction_rmse,83,0.39481619242610283,0.41900004197976576
anchor_direction_js_to_target,83,-0.40962055622432963,-0.392909617564334
_z_neg_anchor_js,83,0.4096205562243297,0.392909617564334
source_to_target_anchor_kl,83,-0.4062524558302011,-0.3892573779438311
_z_neg_source_to_target_kl,83,0.40625245583020114,0.3892573779438311
diagnostic_rel_magnitude_z_abs_mean,83,-0.504404003381327,-0.3721716132823979
combined_hidden_source_quality_score,83,0.35143485288188614,0.3401903886966784
pair_geometry_compatibility_score,83,0.2900392962181801,0.3256580328281768
memory_target_norm_gap,83,0.234100049475197,0.31770286721800095
target_minus_source_nll,83,-0.30617911974261786,-0.3128751941564166
source_hidden_size,83,-0.2698959580635494,-0.2700288081641209
source_native_nll,83,0.22755096428459312,0.26787115714483445
_z_neg_source_native_nll,83,-0.22755096428459315,-0.26787115714483445
target_magnitude_tail_frac,83,-0.26789578818240645,-0.2590881617884091
_z_neg_target_magnitude_tail,83,0.2678957881824064,0.2590881617884091
diagnostic_source_direction_entropy_mean,83,-0.23677862980761027,-0.24714431464592548
prior_param_tier_jump,83,0.23997226431348137,0.23912487078120698
target_text_nll,83,-0.23655478252895124,-0.2346066991038486
prior_source_param_b,83,-0.26359118175436685,-0.22856064745214816
target_readability_tail_frac,83,-0.08352881014297385,-0.21994582640062788
_z_neg_target_readability_tail,83,0.08352881014297385,0.21994582640062788
diagnostic_rel_direction_z2_mean,83,0.00917990085628089,-0.1791276604676546
target_readability_z2_mean,83,0.012299578090312261,-0.1791276604676546
_z_neg_target_readability_z2,83,-0.012299578090312237,0.1791276604676546
source_target_direction_entropy_gap,83,-0.2249245566952029,-0.14982578397212543
_z_neg_direction_entropy_gap,83,0.2249245566952029,0.14982578397212543
diagnostic_source_direction_std_mean,83,-0.05183103826196129,-0.12917857465605212
prior_same_model_family,83,0.10520863280566245,0.10224590019877797
prior_cross_model_family,83,-0.10520863280566245,-0.10224590019877797
target_readability_energy,83,0.03547391042382829,0.07547961882372696
_z_target_readability_energy,83,0.035473910423828296,0.07547961882372696
rel_magnitude_l1_to_target,83,-0.09962851478773609,-0.054741614541790856
rel_magnitude_rmse_to_target,83,-0.10396068201171657,-0.04334410813987658
_z_neg_magnitude_rmse,83,0.10396068201171658,0.04334410813987658
abs_log_hidden_ratio,83,-0.011634203701867322,-0.03444605204307273
source_target_top_anchor_overlap,83,0.056994079914851774,0.024096764886359097
_z_top_anchor_overlap,83,0.05699407991485176,0.024096764886359097
source_target_direction_dispersion_gap,83,-0.08316070057568148,-0.00992821460056253
_z_neg_direction_dispersion_gap,83,0.08316070057568148,0.00992821460056253
