metric,tier,global_spearman,T1_mean_abs_spearman,T2_mean_abs_spearman
target_readability_cross_entropy,L1_pair_compatibility,-0.42219050417698667,0.3257742257742258,0.4214285714285714
pair_normalized_direction_rmse,L1_pair_compatibility,-0.41900004197976576,0.32017982017982016,0.4857142857142857
source_to_target_anchor_kl,L1_pair_compatibility,-0.3892573779438311,0.2872127872127872,0.4448979591836735
pair_geometry_compatibility_score,L1_pair_compatibility,0.3256580328281768,0.202997002997003,0.4163265306122449
target_magnitude_tail_frac,L1_pair_compatibility,-0.2590881617884091,0.5214300219176456,0.6546536707079772
target_readability_tail_frac,L1_pair_compatibility,-0.21994582640062788,0.2653420850136965,0.5159244126154043
target_readability_z2_mean,L1_pair_compatibility,-0.1791276604676546,0.2824175824175824,0.40408163265306124
source_target_direction_entropy_gap,L1_pair_compatibility,-0.14982578397212543,0.3034965034965035,0.4336734693877551
target_readability_energy,L1_pair_compatibility,0.07547961882372696,0.13736263736263737,0.5877551020408163
source_target_top_anchor_overlap,L1_pair_compatibility,0.024096764886359097,0.2763236763236763,0.4429167318873134
source_target_direction_dispersion_gap,L1_pair_compatibility,-0.00992821460056253,0.26873126873126874,0.5438775510204081
target_direction_subspace_residual,L1_mechanism,0.5010494941438227,0.1943056943056943,0.4857142857142857
capacity_normalized_direction_rmse,L1_mechanism,-0.45743251752655223,0.3204795204795205,0.4857142857142857
rel_direction_rmse_to_target,L1_mechanism,-0.440808530288401,0.3204795204795205,0.4857142857142857
rel_direction_l1_to_target,L1_mechanism,-0.4400319046219722,0.3302697302697303,0.4857142857142857
anchor_direction_js_to_target,L1_mechanism,-0.392909617564334,0.28921078921078924,0.4448979591836735
rel_magnitude_l1_to_target,L1_mechanism,-0.054741614541790856,0.23416583416583417,0.37448979591836734
rel_magnitude_rmse_to_target,L1_mechanism,-0.04334410813987658,0.24115884115884118,0.4418367346938776
target_minus_source_nll,L2_text,-0.3128751941564166,0.6294705294705294,0.3071428571428571
source_native_nll,L2_text,0.26787115714483445,0.6294705294705294,0.5163265306122449
target_text_nll,L2_text,-0.2346066991038486,,0.3071428571428571
prior_log_param_ratio_target_over_source,L3_discrete,0.5344848058499724,0.2546613057926338,0.6585501499468484
prior_param_tier_jump,L3_discrete,0.23912487078120698,0.3345445153388337,0.5629742455267259
prior_same_model_family,L3_discrete,0.10224590019877797,0.42114923610467186,0.29327786272050055
combined_ratio_direction_score,L4_composite,0.5111876075731497,0.2668331668331668,0.5346938775510204
combined_hidden_direction_score,L4_composite,0.5098232651861803,0.3204795204795205,0.5510204081632654
combined_hidden_js_score,L4_composite,0.5060660761512951,0.28921078921078924,0.5795918367346938
combined_param_direction_score,L4_composite,0.46211326140800135,0.3204795204795205,0.5224489795918367
combined_hidden_source_quality_score,L4_composite,0.3401903886966784,0.6294705294705294,0.7304276475124016
_z_target_hidden_size,L0_baseline,0.7120040180736764,,0.7455823290292016
target_hidden_size,L0_baseline,0.7120040180736764,,0.7455823290292016
_z_prior_target_param_b,L0_baseline,0.5946704388586218,,0.6585501499468484
prior_target_param_b,L0_baseline,0.5946704388586218,,0.6585501499468484
_z_log_param_ratio,other,0.5344848058499724,0.2546613057926338,0.6585501499468484
diagnostic_target_magnitude_std_mean,other,0.512447916273952,0.20766961836102266,0.6612244897959183
diagnostic_target_magnitude_std_min,other,0.512447916273952,0.20766961836102266,0.6612244897959183
_z_neg_subspace_residual,other,-0.5010494941438227,0.1943056943056943,0.4857142857142857
diagnostic_target_direction_std_min,other,-0.4892974227541503,0.12387358171209004,0.5428571428571429
diagnostic_target_direction_std_mean,other,-0.45513196510920517,0.29138970066360764,0.5479591836734694
_z_neg_direction_rmse,other,0.440808530288401,0.3204795204795205,0.4857142857142857
_z_neg_target_readability_ce,other,0.42219050417698667,0.3257742257742258,0.4214285714285714
diagnostic_target_direction_entropy,other,0.4195565471448795,0.31974385286068613,0.4214285714285714
_z_neg_pair_norm_direction_rmse,other,0.41900004197976576,0.32017982017982016,0.4857142857142857
_z_neg_anchor_js,other,0.392909617564334,0.28921078921078924,0.4448979591836735
_z_neg_source_to_target_kl,other,0.3892573779438311,0.2872127872127872,0.4448979591836735
diagnostic_rel_magnitude_z_abs_mean,other,-0.3721716132823979,0.41148851148851145,0.6612244897959183
memory_target_norm_gap,other,0.31770286721800095,0.25834165834165834,0.573469387755102
source_hidden_size,other,-0.2700288081641209,0.2628618174509145,
_z_neg_source_native_nll,other,-0.26787115714483445,0.6294705294705294,0.5163265306122449
_z_neg_target_magnitude_tail,other,0.2590881617884091,0.5214300219176456,0.6546536707079772
diagnostic_source_direction_entropy_mean,other,-0.24714431464592548,0.29230769230769227,0.34105767347975263
prior_source_param_b,other,-0.22856064745214816,0.2546613057926338,
_z_neg_target_readability_tail,other,0.21994582640062788,0.2653420850136965,0.5159244126154043
_z_neg_target_readability_z2,other,0.1791276604676546,0.2824175824175824,0.40408163265306124
diagnostic_rel_direction_z2_mean,other,-0.1791276604676546,0.2824175824175824,0.40408163265306124
_z_neg_direction_entropy_gap,other,0.14982578397212543,0.3034965034965035,0.4336734693877551
diagnostic_source_direction_std_mean,other,-0.12917857465605212,0.25424575424575424,0.3495165556515346
prior_cross_model_family,other,-0.10224590019877797,0.42114923610467186,0.29327786272050055
_z_target_readability_energy,other,0.07547961882372696,0.13736263736263737,0.5877551020408163
_z_neg_magnitude_rmse,other,0.04334410813987658,0.24115884115884118,0.4418367346938776
abs_log_hidden_ratio,other,-0.03444605204307273,0.28744712971713343,0.7694769054196441
_z_top_anchor_overlap,other,0.024096764886359097,0.2763236763236763,0.4429167318873134
_z_neg_direction_dispersion_gap,other,0.00992821460056253,0.26873126873126874,0.5438775510204081
