pair,encoder,source,target,mem_tokens,method,origin_target_bleu,transfer_bleu,transfer_accuracy,transfer_retention
gpt2:llama1b->llama3b,gpt2,llama1b,llama3b,8,converter_only,0.398836,0.275145,0.71068,0.6898700217633312
gpt2:llama1b->mistral7b,gpt2,llama1b,mistral7b,8,converter_only,0.431169,0.301042,0.782031,0.6981995458857199
gpt2:llama1b->qwen1.5b,gpt2,llama1b,qwen1.5b,8,converter_only,0.205289,0.011914,0.442812,0.058035257612439044
gpt2:llama1b->qwen3b,gpt2,llama1b,qwen3b,8,converter_only,0.254545,0.011939,0.453945,0.04690329804160364
gpt2:llama1b->qwen7b,gpt2,llama1b,qwen7b,8,converter_only,0.158492,0.194426,0.660484,1.2267243772556342
gpt2:llama3b->llama1b,gpt2,llama3b,llama1b,8,converter_only,0.297899,0.173511,0.64357,0.5824490850925984
gpt2:llama3b->llama8b,gpt2,llama3b,llama8b,8,converter_only,0.489351,0.374837,0.798508,0.7659880126943646
gpt2:llama3b->mistral7b,gpt2,llama3b,mistral7b,8,converter_only,0.431169,0.307076,0.792539,0.7121940584782301
gpt2:llama3b->qwen1.5b,gpt2,llama3b,qwen1.5b,8,converter_only,0.205289,0.022402,0.460484,0.10912421025968268
gpt2:llama3b->qwen3b,gpt2,llama3b,qwen3b,8,converter_only,0.254545,0.010639,0.450828,0.041796146064546534
gpt2:llama3b->qwen7b,gpt2,llama3b,qwen7b,8,converter_only,0.158492,0.219975,0.684023,1.387924942583853
gpt2:llama8b->llama1b,gpt2,llama8b,llama1b,8,converter_only,0.297899,0.152737,0.627219,0.5127140406647891
gpt2:llama8b->llama3b,gpt2,llama8b,llama3b,8,converter_only,0.398836,0.251107,0.717734,0.6295996349376687
gpt2:llama8b->mistral7b,gpt2,llama8b,mistral7b,8,converter_only,0.431169,0.254672,0.767,0.590654708478578
gpt2:llama8b->qwen1.5b,gpt2,llama8b,qwen1.5b,8,converter_only,0.205289,0.011979,0.438047,0.05835188441660294
