metric,n_compressors,mean_pearson,median_pearson,mean_spearman,median_spearman,mean_abs_spearman,positive_spearman_compressors,negative_spearman_compressors
target_hidden_size,14,0.720738368323941,0.766214002076957,0.6655693363712405,0.7448753234015051,0.7152639965700217,13,1
_z_target_hidden_size,14,0.7207383683239409,0.766214002076957,0.6655693363712405,0.7448753234015051,0.7152639965700217,13,1
combined_hidden_source_quality_score,14,0.7202820713896765,0.7619530445906743,0.644592839500417,0.6957252427829381,0.697654063990213,13,1
diagnostic_target_direction_std_min,14,-0.41747982135892886,-0.34022719576170846,-0.6122448979591837,-0.6857142857142857,0.6122448979591837,0,14
prior_target_param_b,14,0.532622237244565,0.5150998087747237,0.5457696095098817,0.6280492312026102,0.5457696095098817,13,0
prior_log_param_ratio_target_over_source,14,0.4637845965326606,0.4134177983207326,0.5457696095098817,0.6280492312026102,0.5457696095098817,13,0
_z_prior_target_param_b,14,0.532622237244565,0.5150998087747237,0.5457696095098817,0.6280492312026102,0.5457696095098817,13,0
_z_log_param_ratio,14,0.46378459653266063,0.4134177983207326,0.5457696095098817,0.6280492312026102,0.5457696095098817,13,0
combined_hidden_js_score,14,0.5291281872251207,0.5760889359572867,0.4816326530612245,0.5714285714285714,0.5795918367346938,12,2
combined_hidden_direction_score,14,0.48561991439239105,0.49520322625028584,0.45714285714285713,0.5142857142857142,0.473469387755102,12,2
diagnostic_target_direction_std_mean,14,-0.3623771505006427,-0.3623117491947231,-0.4448979591836735,-0.5142857142857142,0.5020408163265306,2,12
memory_target_norm_gap,14,0.428989611604079,0.4676124676007022,0.4163265306122449,0.45714285714285713,0.4775510204081632,13,1
diagnostic_rel_magnitude_z_abs_mean,14,-0.2512399454520363,-0.47319875046362814,-0.4122448979591837,-0.5142857142857142,0.563265306122449,3,11
diagnostic_target_magnitude_std_mean,14,0.19678461792576973,0.38117681501002765,0.4122448979591837,0.5142857142857142,0.563265306122449,11,3
diagnostic_target_magnitude_std_min,14,0.19678462217555315,0.3811768107217114,0.4122448979591837,0.5142857142857142,0.563265306122449,11,3
source_target_direction_dispersion_gap,14,-0.37529915194341174,-0.3844220474672958,-0.4122448979591837,-0.4,0.46530612244897956,1,13
_z_neg_direction_dispersion_gap,14,0.37529915194341174,0.3844220474672959,0.4122448979591837,0.4,0.46530612244897956,13,1
combined_param_direction_score,14,0.34979175403177665,0.3160793672050556,0.35102040816326535,0.4,0.4244897959183674,12,2
combined_ratio_direction_score,14,0.27537687246121667,0.2898340626304251,0.34285714285714286,0.4285714285714286,0.43265306122448977,12,2
rel_magnitude_rmse_to_target,14,0.11841724633472603,0.1866231583636303,0.3020408163265306,0.4857142857142857,0.4979591836734694,10,4
_z_neg_magnitude_rmse,14,-0.11841724633472608,-0.18662315836363041,-0.3020408163265306,-0.4857142857142857,0.4979591836734694,4,10
source_to_target_anchor_kl,14,-0.2489097749991323,-0.19654967694784525,-0.24081632653061225,-0.2857142857142857,0.34285714285714286,3,11
_z_neg_source_to_target_kl,14,0.24890977499913228,0.19654967694784525,0.24081632653061225,0.2857142857142857,0.34285714285714286,11,3
diagnostic_target_direction_entropy,14,0.24002197262915084,0.1487931363661925,0.22040816326530613,0.2857142857142857,0.39999999999999997,10,4
capacity_normalized_direction_rmse,14,-0.16353275215401214,-0.19875789979784528,-0.21632653061224488,-0.2,0.35102040816326535,3,11
target_readability_cross_entropy,14,-0.2508073386010447,-0.2084018103104283,-0.21632653061224488,-0.2857142857142857,0.33877551020408164,4,10
_z_neg_target_readability_ce,14,0.2508073386010447,0.20840181031042831,0.21632653061224488,0.2857142857142857,0.33877551020408164,10,4
diagnostic_source_direction_entropy_mean,14,0.19245303052855225,0.17874851564359745,0.210081233797141,0.19933977255953805,0.42929585370583895,9,5
target_direction_subspace_residual,14,0.5005502903363158,0.5342957686470396,0.20816326530612245,0.22857142857142856,0.34285714285714286,11,3
pair_normalized_direction_rmse,14,-0.12193090595195417,-0.15094805630883978,-0.20816326530612245,-0.2,0.34285714285714286,3,11
_z_neg_subspace_residual,14,-0.5005502903363158,-0.5342957686470395,-0.20816326530612245,-0.22857142857142856,0.34285714285714286,3,11
_z_neg_pair_norm_direction_rmse,14,0.12193090595195413,0.15094805630883978,0.20816326530612245,0.2,0.34285714285714286,11,3
rel_direction_l1_to_target,14,-0.10852764503650135,-0.1293874213874135,-0.20408163265306123,-0.2,0.33877551020408164,3,11
rel_direction_rmse_to_target,14,-0.12186408440113945,-0.14721095281132207,-0.20408163265306123,-0.2,0.33877551020408164,3,11
_z_neg_direction_rmse,14,0.12186408440113947,0.14721095281132207,0.20408163265306123,0.2,0.33877551020408164,11,3
anchor_direction_js_to_target,14,-0.2546705939346746,-0.19850694386778855,-0.19999999999999998,-0.2857142857142857,0.3469387755102041,4,10
_z_neg_anchor_js,14,0.2546705939346746,0.19850694386778858,0.19999999999999998,0.2857142857142857,0.3469387755102041,10,4
target_magnitude_tail_frac,4,-0.2243557810161923,-0.21810387067578674,-0.19639610121239315,-0.13093073414159542,0.3273268353539886,2,2
_z_neg_target_magnitude_tail,4,0.22435578101619227,0.2181038706757867,0.19639610121239315,0.13093073414159542,0.3273268353539886,2,2
pair_geometry_compatibility_score,14,0.0013551203107854896,-0.023321127056607674,0.15918367346938775,0.2857142857142857,0.39183673469387753,9,5
abs_log_hidden_ratio,14,-0.12376980594874319,-0.7225290843033694,-0.14461591820830647,-0.4820166159539917,0.6859640572629689,5,9
prior_same_model_family,12,0.022089576428648228,0.4342336932997672,0.13801311186847084,0.41403933560541256,0.5865557254410011,7,4
prior_cross_model_family,12,-0.02208957642864824,-0.43423369329976713,-0.13801311186847084,-0.41403933560541256,0.5865557254410011,4,7
rel_magnitude_l1_to_target,14,0.07992917034195227,0.13491155197697507,0.1346938775510204,0.2571428571428571,0.4857142857142857,10,4
source_target_direction_entropy_gap,14,-0.04030404412575258,0.14122342877399274,-0.1346938775510204,-0.08571428571428572,0.33877551020408164,6,8
_z_neg_direction_entropy_gap,14,0.04030404412575258,-0.14122342877399277,0.1346938775510204,0.08571428571428572,0.33877551020408164,8,6
source_native_nll,7,0.04481457998606271,0.14400676974994478,0.12653061224489795,0.14285714285714285,0.37142857142857144,5,2
_z_neg_source_native_nll,7,-0.04481457998606327,-0.14400676974994311,-0.12653061224489795,-0.14285714285714285,0.37142857142857144,2,5
target_readability_energy,14,0.04312025275007641,0.15246439081013213,-0.09795918367346941,0.05714285714285715,0.4530612244897959,7,7
_z_target_readability_energy,14,0.0431202527500764,0.1524643908101321,-0.09795918367346941,0.05714285714285715,0.4530612244897959,7,7
source_target_top_anchor_overlap,14,-0.08018302250920008,-0.06607118567471153,-0.09387755102040816,-0.11428571428571428,0.32653061224489793,5,9
_z_top_anchor_overlap,14,-0.08018302250920005,-0.06607118567471156,-0.09387755102040816,-0.11428571428571428,0.32653061224489793,5,9
prior_param_tier_jump,14,0.004241191180709069,0.006738746386821875,0.06826552288640457,0.16903085094570333,0.47687788465510245,7,6
target_readability_tail_frac,14,0.23076155911207913,0.2847098213732717,-0.05076726812144418,-0.05714285714285714,0.3818857931030456,6,8
_z_neg_target_readability_tail,14,-0.23076155911207913,-0.2847098213732717,0.05076726812144418,0.05714285714285714,0.3818857931030456,8,6
diagnostic_rel_direction_z2_mean,14,0.21198246196052634,0.11527167741235231,0.044897959183673466,0.05714285714285714,0.39183673469387753,7,7
target_readability_z2_mean,14,0.21095815521650407,0.11526398358141923,0.044897959183673466,0.05714285714285714,0.39183673469387753,7,7
_z_neg_target_readability_z2,14,-0.21095815521650407,-0.11526398358141929,-0.044897959183673466,-0.05714285714285714,0.39183673469387753,7,7
target_text_nll,14,-0.06761527505951628,0.004446040246576025,-0.04081632653061224,-0.08571428571428572,0.20408163265306123,6,8
target_minus_source_nll,14,-0.06854342511530516,0.00396482568746365,-0.04081632653061224,-0.08571428571428572,0.20408163265306123,6,8
diagnostic_source_direction_std_mean,14,-0.07157177968897421,-0.19545303450007762,-0.0376872659368352,0.0,0.5341718896178244,7,7
