compressor,metric,n,pearson,spearman
gpt2:llama1b,diagnostic_rel_magnitude_z_abs_mean,6,-0.609706801117645,-0.8857142857142857
gpt2:llama1b,diagnostic_target_magnitude_std_mean,6,0.38180929700753047,0.8857142857142857
gpt2:llama1b,diagnostic_target_magnitude_std_min,6,0.38180929221344206,0.8857142857142857
gpt2:llama1b,prior_target_param_b,6,0.7213151489539916,0.6767633692869746
gpt2:llama1b,prior_log_param_ratio_target_over_source,6,0.7224124932956103,0.6767633692869746
gpt2:llama1b,_z_prior_target_param_b,6,0.7213151489539916,0.6767633692869746
gpt2:llama1b,_z_log_param_ratio,6,0.7224124932956104,0.6767633692869746
gpt2:llama1b,abs_log_hidden_ratio,6,0.8918888195139225,0.6667366910003157
gpt2:llama1b,combined_hidden_source_quality_score,6,0.8724798817589998,0.6571428571428571
gpt2:llama1b,target_hidden_size,6,0.877599187891808,0.6087595874350709
gpt2:llama1b,_z_target_hidden_size,6,0.877599187891808,0.6087595874350709
gpt2:llama1b,rel_direction_l1_to_target,6,-0.1704262303561393,-0.6
gpt2:llama1b,rel_direction_rmse_to_target,6,-0.17696311833542896,-0.6
gpt2:llama1b,rel_magnitude_rmse_to_target,6,0.16201785045563846,0.6
gpt2:llama1b,capacity_normalized_direction_rmse,6,-0.234294956177801,-0.6
gpt2:llama1b,pair_normalized_direction_rmse,6,-0.20005022263152258,-0.6
gpt2:llama1b,target_readability_tail_frac,6,0.22209923508524898,-0.6
gpt2:llama1b,_z_neg_direction_rmse,6,0.176963118335429,0.6
gpt2:llama1b,_z_neg_magnitude_rmse,6,-0.16201785045563719,-0.6
gpt2:llama1b,_z_neg_pair_norm_direction_rmse,6,0.20005022263152256,0.6
gpt2:llama1b,_z_neg_target_readability_tail,6,-0.222099235085249,0.6
gpt2:llama1b,pair_geometry_compatibility_score,6,-0.016401685543634147,0.6
gpt2:llama1b,target_direction_subspace_residual,6,0.6618663983952787,0.5428571428571428
gpt2:llama1b,_z_neg_subspace_residual,6,-0.6618663983952787,-0.5428571428571428
gpt2:llama1b,combined_param_direction_score,6,0.4593196231057643,0.5428571428571428
gpt2:llama1b,combined_ratio_direction_score,6,0.3858632606801099,0.5428571428571428
gpt2:llama1b,memory_target_norm_gap,6,0.44177366376483296,0.4857142857142857
gpt2:llama1b,diagnostic_rel_direction_z2_mean,6,0.02656402096701868,-0.4857142857142857
gpt2:llama1b,target_readability_z2_mean,6,0.027985313197192146,-0.4857142857142857
gpt2:llama1b,_z_neg_target_readability_z2,6,-0.027985313197192153,0.4857142857142857
gpt2:llama1b,combined_hidden_direction_score,6,0.6024975314568781,0.4857142857142857
gpt2:llama1b,combined_hidden_js_score,6,0.5930397479405726,0.4857142857142857
gpt2:llama1b,source_native_nll,6,0.14400676974994478,0.42857142857142855
gpt2:llama1b,_z_neg_source_native_nll,6,-0.14400676974994311,-0.42857142857142855
gpt2:llama1b,prior_same_model_family,6,0.500012944042943,0.41403933560541256
gpt2:llama1b,prior_cross_model_family,6,-0.500012944042943,-0.41403933560541256
gpt2:llama1b,diagnostic_source_direction_entropy_mean,6,0.23541634136545078,0.39466488146729556
gpt2:llama1b,prior_param_tier_jump,6,0.4917822259502001,0.3927922024247863
gpt2:llama1b,anchor_direction_js_to_target,6,-0.1740121832741164,-0.37142857142857144
gpt2:llama1b,diagnostic_target_direction_std_mean,6,-0.3407463539847114,-0.37142857142857144
gpt2:llama1b,target_readability_cross_entropy,6,-0.17494228641502357,-0.37142857142857144
gpt2:llama1b,source_to_target_anchor_kl,6,-0.17665014918173455,-0.37142857142857144
gpt2:llama1b,source_target_direction_dispersion_gap,6,-0.4010805272300156,-0.37142857142857144
gpt2:llama1b,diagnostic_target_direction_entropy,6,0.12255452817202944,0.37142857142857144
gpt2:llama1b,_z_neg_anchor_js,6,0.17401218327411638,0.37142857142857144
gpt2:llama1b,_z_neg_target_readability_ce,6,0.17494228641502357,0.37142857142857144
gpt2:llama1b,_z_neg_source_to_target_kl,6,0.17665014918173466,0.37142857142857144
gpt2:llama1b,_z_neg_direction_dispersion_gap,6,0.4010805272300156,0.37142857142857144
gpt2:llama1b,target_readability_energy,6,0.20260558077135674,0.2571428571428571
gpt2:llama1b,_z_target_readability_energy,6,0.2026055807713568,0.2571428571428571
gpt2:llama1b,diagnostic_source_direction_std_mean,6,0.3986528470118839,0.2125118592516207
gpt2:llama1b,source_target_top_anchor_overlap,6,-0.3137531596879613,-0.14285714285714285
gpt2:llama1b,_z_top_anchor_overlap,6,-0.3137531596879613,-0.14285714285714285
gpt2:llama1b,rel_magnitude_l1_to_target,6,0.07475445683108728,0.08571428571428572
gpt2:llama1b,diagnostic_target_direction_std_min,6,-0.3332809667040312,-0.08571428571428572
gpt2:llama1b,target_text_nll,6,-0.1602136648498054,-0.08571428571428572
gpt2:llama1b,target_minus_source_nll,6,-0.16227211567861274,-0.08571428571428572
gpt2:llama1b,source_target_direction_entropy_gap,6,0.36212187224168185,0.08571428571428572
gpt2:llama1b,_z_neg_direction_entropy_gap,6,-0.3621218722416818,-0.08571428571428572
gpt2:llama3b,diagnostic_rel_magnitude_z_abs_mean,6,-0.662197785628636,-0.9428571428571428
gpt2:llama3b,diagnostic_target_magnitude_std_mean,6,0.46212336102620444,0.9428571428571428
gpt2:llama3b,diagnostic_target_magnitude_std_min,6,0.46212335881467387,0.9428571428571428
gpt2:llama3b,target_hidden_size,6,0.8430101821948189,0.8827348295047495
gpt2:llama3b,abs_log_hidden_ratio,6,-0.8431660211233297,-0.8827348295047495
gpt2:llama3b,_z_target_hidden_size,6,0.8430101821948189,0.8827348295047495
gpt2:llama3b,anchor_direction_js_to_target,6,-0.3582479185639743,-0.8285714285714286
gpt2:llama3b,source_to_target_anchor_kl,6,-0.3704502726683767,-0.8285714285714286
gpt2:llama3b,target_readability_energy,6,-0.47229515249353055,-0.8285714285714286
gpt2:llama3b,_z_neg_anchor_js,6,0.3582479185639743,0.8285714285714286
gpt2:llama3b,_z_neg_source_to_target_kl,6,0.37045027266837666,0.8285714285714286
gpt2:llama3b,_z_target_readability_energy,6,-0.4722951524935305,-0.8285714285714286
gpt2:llama3b,combined_param_direction_score,6,0.5795877017453712,0.8285714285714286
gpt2:llama3b,combined_ratio_direction_score,6,0.48318735943343044,0.8285714285714286
gpt2:llama3b,prior_target_param_b,6,0.7170380804959389,0.8116794499134278
gpt2:llama3b,prior_log_param_ratio_target_over_source,6,0.586582401986028,0.8116794499134278
gpt2:llama3b,_z_prior_target_param_b,6,0.7170380804959389,0.8116794499134278
gpt2:llama3b,_z_log_param_ratio,6,0.586582401986028,0.8116794499134278
gpt2:llama3b,rel_direction_l1_to_target,6,-0.39489755052725184,-0.7714285714285715
gpt2:llama3b,rel_direction_rmse_to_target,6,-0.39880424201977044,-0.7714285714285715
gpt2:llama3b,memory_target_norm_gap,6,0.5326899008023963,0.7714285714285715
gpt2:llama3b,target_direction_subspace_residual,6,0.7869730556696392,0.7714285714285715
gpt2:llama3b,capacity_normalized_direction_rmse,6,-0.4254406087006542,-0.7714285714285715
gpt2:llama3b,diagnostic_target_direction_std_mean,6,-0.5162608645207647,-0.7714285714285715
gpt2:llama3b,pair_normalized_direction_rmse,6,-0.4264867962918195,-0.7714285714285715
gpt2:llama3b,source_target_direction_entropy_gap,6,-0.05808378467318068,-0.7714285714285715
gpt2:llama3b,source_target_direction_dispersion_gap,6,-0.5256957050216533,-0.7714285714285715
gpt2:llama3b,diagnostic_target_direction_entropy,6,0.3437899293132611,0.7714285714285715
gpt2:llama3b,_z_neg_direction_rmse,6,0.3988042420197705,0.7714285714285715
gpt2:llama3b,_z_neg_subspace_residual,6,-0.7869730556696389,-0.7714285714285715
gpt2:llama3b,_z_neg_pair_norm_direction_rmse,6,0.42648679629181946,0.7714285714285715
gpt2:llama3b,_z_neg_direction_entropy_gap,6,0.05808378467318066,0.7714285714285715
gpt2:llama3b,_z_neg_direction_dispersion_gap,6,0.5256957050216533,0.7714285714285715
gpt2:llama3b,combined_hidden_direction_score,6,0.6734012725451899,0.7714285714285715
gpt2:llama3b,combined_hidden_js_score,6,0.6661744791182097,0.7714285714285715
gpt2:llama3b,combined_hidden_source_quality_score,6,0.8423608615807548,0.7714285714285715
gpt2:llama3b,pair_geometry_compatibility_score,6,0.17589491902638366,0.7714285714285715
gpt2:llama3b,prior_param_tier_jump,6,0.6114960167321304,0.6761234037828133
gpt2:llama3b,target_readability_tail_frac,6,0.1279585297856539,-0.6571428571428571
gpt2:llama3b,target_readability_cross_entropy,6,-0.37080170208780555,-0.6571428571428571
gpt2:llama3b,_z_neg_target_readability_tail,6,-0.12795852978565386,0.6571428571428571
gpt2:llama3b,_z_neg_target_readability_ce,6,0.37080170208780555,0.6571428571428571
gpt2:llama3b,diagnostic_source_direction_std_mean,6,-0.43204656498333216,-0.5161002296110788
gpt2:llama3b,rel_magnitude_rmse_to_target,6,0.22720309172270217,0.4857142857142857
gpt2:llama3b,_z_neg_magnitude_rmse,6,-0.22720309172270242,-0.4857142857142857
gpt2:llama3b,diagnostic_rel_direction_z2_mean,6,-0.08041740085614167,-0.42857142857142855
gpt2:llama3b,diagnostic_target_direction_std_min,6,-0.4094751355801392,-0.42857142857142855
gpt2:llama3b,target_readability_z2_mean,6,-0.08927202942649617,-0.42857142857142855
gpt2:llama3b,_z_neg_target_readability_z2,6,0.08927202942649617,0.42857142857142855
gpt2:llama3b,prior_same_model_family,6,0.44839740253134236,0.41403933560541256
gpt2:llama3b,prior_cross_model_family,6,-0.4483974025313423,-0.41403933560541256
gpt2:llama3b,target_text_nll,6,-0.14922151529005528,-0.37142857142857144
gpt2:llama3b,target_minus_source_nll,6,-0.15045945944323516,-0.37142857142857144
gpt2:llama3b,diagnostic_source_direction_entropy_mean,6,-0.18712208625204918,0.15179418517972906
gpt2:llama3b,rel_magnitude_l1_to_target,6,0.13986475794704087,0.08571428571428572
gpt2:llama3b,source_native_nll,6,0.1494186708887935,0.08571428571428572
gpt2:llama3b,_z_neg_source_native_nll,6,-0.1494186708887923,-0.08571428571428572
gpt2:llama3b,source_target_top_anchor_overlap,6,0.2605089454223639,-0.02857142857142857
gpt2:llama3b,_z_top_anchor_overlap,6,0.26050894542236397,-0.02857142857142857
gpt2:llama8b,diagnostic_rel_magnitude_z_abs_mean,6,-0.5724988551532619,-0.7714285714285715
gpt2:llama8b,diagnostic_target_magnitude_std_mean,6,0.5265030497917824,0.7714285714285715
gpt2:llama8b,diagnostic_target_magnitude_std_min,6,0.5265030978412368,0.7714285714285715
gpt2:llama8b,target_hidden_size,6,0.7842299801310517,0.7247137945655605
gpt2:llama8b,abs_log_hidden_ratio,6,-0.8053069828733178,-0.7247137945655605
gpt2:llama8b,_z_target_hidden_size,6,0.7842299801310516,0.7247137945655605
gpt2:llama8b,rel_magnitude_rmse_to_target,6,0.5913286046940419,0.6571428571428571
gpt2:llama8b,_z_neg_magnitude_rmse,6,-0.5913286046940419,-0.6571428571428571
gpt2:llama8b,combined_hidden_source_quality_score,6,0.7810801016207923,0.6571428571428571
gpt2:llama8b,diagnostic_source_direction_std_mean,6,-0.6039455621266437,-0.6172133998483676
gpt2:llama8b,diagnostic_target_direction_std_min,6,-0.20372169350581848,-0.6
gpt2:llama8b,rel_magnitude_l1_to_target,6,0.5520067147880915,0.4857142857142857
gpt2:llama8b,prior_target_param_b,6,0.5159007282749926,0.44136741475237473
gpt2:llama8b,prior_log_param_ratio_target_over_source,6,0.4169342366817901,0.44136741475237473
gpt2:llama8b,_z_prior_target_param_b,6,0.5159007282749926,0.44136741475237473
gpt2:llama8b,_z_log_param_ratio,6,0.41693423668179,0.44136741475237473
gpt2:llama8b,memory_target_norm_gap,6,0.4280195909199338,0.42857142857142855
gpt2:llama8b,prior_same_model_family,6,0.420069984068192,0.41403933560541256
gpt2:llama8b,prior_cross_model_family,6,-0.420069984068192,-0.41403933560541256
gpt2:llama8b,prior_param_tier_jump,6,-0.5598656351164778,-0.41403933560541256
gpt2:llama8b,combined_hidden_direction_score,6,0.3995145733819141,0.3142857142857143
gpt2:llama8b,source_native_nll,6,0.4606039290269953,0.2571428571428571
gpt2:llama8b,_z_neg_source_native_nll,6,-0.4606039290269954,-0.2571428571428571
gpt2:llama8b,rel_direction_l1_to_target,6,0.028603354374686644,0.14285714285714285
gpt2:llama8b,rel_direction_rmse_to_target,6,0.021687201667604405,0.14285714285714285
gpt2:llama8b,target_direction_subspace_residual,6,0.5198130701203352,-0.14285714285714285
gpt2:llama8b,capacity_normalized_direction_rmse,6,-0.02356703629749575,0.14285714285714285
gpt2:llama8b,diagnostic_rel_direction_z2_mean,6,0.14381854665644428,0.14285714285714285
gpt2:llama8b,pair_normalized_direction_rmse,6,-0.02048970272986537,0.14285714285714285
gpt2:llama8b,target_readability_z2_mean,6,0.14380315899457816,0.14285714285714285
gpt2:llama8b,target_readability_tail_frac,6,0.4129405358577216,0.14285714285714285
gpt2:llama8b,_z_neg_direction_rmse,6,-0.02168720166760439,-0.14285714285714285
gpt2:llama8b,_z_neg_subspace_residual,6,-0.5198130701203351,0.14285714285714285
gpt2:llama8b,_z_neg_pair_norm_direction_rmse,6,0.020489702729865406,-0.14285714285714285
gpt2:llama8b,_z_neg_target_readability_z2,6,-0.14380315899457824,-0.14285714285714285
gpt2:llama8b,_z_neg_target_readability_tail,6,-0.41294053585772156,-0.14285714285714285
gpt2:llama8b,pair_geometry_compatibility_score,6,-0.15301571816344658,-0.14285714285714285
gpt2:llama8b,diagnostic_source_direction_entropy_mean,6,0.15926042742131422,-0.12344267996967354
gpt2:llama8b,anchor_direction_js_to_target,6,0.05738480576450012,0.08571428571428572
gpt2:llama8b,diagnostic_target_direction_std_mean,6,-0.04177568466150471,-0.08571428571428572
gpt2:llama8b,target_text_nll,6,-0.07678323354567484,-0.08571428571428572
gpt2:llama8b,target_minus_source_nll,6,-0.07957060949791178,-0.08571428571428572
gpt2:llama8b,target_readability_cross_entropy,6,0.05005798756458318,0.08571428571428572
gpt2:llama8b,source_to_target_anchor_kl,6,0.04811111187744883,0.08571428571428572
gpt2:llama8b,target_readability_energy,6,0.1023232008489075,-0.08571428571428572
gpt2:llama8b,source_target_top_anchor_overlap,6,0.24469493067908693,-0.08571428571428572
gpt2:llama8b,source_target_direction_entropy_gap,6,0.3002462271957371,0.08571428571428572
gpt2:llama8b,source_target_direction_dispersion_gap,6,-0.05041250073378053,-0.08571428571428572
gpt2:llama8b,diagnostic_target_direction_entropy,6,-0.12682963897287547,-0.08571428571428572
gpt2:llama8b,_z_neg_anchor_js,6,-0.05738480576450013,-0.08571428571428572
gpt2:llama8b,_z_neg_target_readability_ce,6,-0.05005798756458312,-0.08571428571428572
gpt2:llama8b,_z_neg_source_to_target_kl,6,-0.04811111187744883,-0.08571428571428572
gpt2:llama8b,_z_target_readability_energy,6,0.10232320084890743,-0.08571428571428572
gpt2:llama8b,_z_top_anchor_overlap,6,0.24469493067908682,-0.08571428571428572
gpt2:llama8b,_z_neg_direction_entropy_gap,6,-0.3002462271957371,-0.08571428571428572
gpt2:llama8b,_z_neg_direction_dispersion_gap,6,0.05041250073378052,0.08571428571428572
gpt2:llama8b,combined_hidden_js_score,6,0.3211558152095246,0.08571428571428572
gpt2:llama8b,combined_param_direction_score,6,0.22822975811694315,0.02857142857142857
