metric,n_targets,mean_pearson,median_pearson,mean_spearman,median_spearman,mean_abs_spearman,positive_spearman_targets,negative_spearman_targets
prior_same_model_family,6,0.44522143527372776,0.4453454875940781,0.4523475415742837,0.4864869786742297,0.4523475415742837,6,0
prior_cross_model_family,6,-0.44522143527372776,-0.4453454875940781,-0.4523475415742837,-0.4864869786742297,0.4523475415742837,0,6
target_magnitude_tail_frac,1,-0.29458158810758484,-0.29458158810758484,-0.361959976488259,-0.361959976488259,0.361959976488259,0,1
_z_neg_target_magnitude_tail,1,0.29458158810758484,0.29458158810758484,0.361959976488259,0.361959976488259,0.361959976488259,1,0
diagnostic_rel_magnitude_z_abs_mean,7,-0.22378089206098548,-0.31680839125397126,-0.3156843156843157,-0.43356643356643354,0.3296703296703297,1,6
diagnostic_target_magnitude_std_mean,7,0.2909972841505046,0.29339430489363094,0.3100950552278981,0.3154063474270818,0.3100950552278981,7,0
diagnostic_target_magnitude_std_min,7,0.2909973177131118,0.2933943418960475,0.3100950552278981,0.3154063474270818,0.3100950552278981,7,0
source_target_direction_entropy_gap,7,0.2662029179553468,0.3649078109383055,0.25074925074925075,0.3076923076923077,0.2827172827172827,6,1
_z_neg_direction_entropy_gap,7,-0.2662029179553468,-0.36490781093830554,-0.25074925074925075,-0.3076923076923077,0.2827172827172827,1,6
prior_source_param_b,7,-0.1285362331278673,-0.2007301892459565,-0.2452832454016765,-0.2724872109505932,0.28420998982318985,1,6
prior_log_param_ratio_target_over_source,7,0.14056820512836823,0.23933190863513676,0.2452832454016765,0.2724872109505932,0.28420998982318985,6,1
_z_log_param_ratio,7,0.14056820512836823,0.23933190863513673,0.2452832454016765,0.2724872109505932,0.28420998982318985,6,1
anchor_direction_js_to_target,7,0.18353600751660074,0.16863023127348775,0.2337662337662338,0.22377622377622378,0.26373626373626374,6,1
diagnostic_rel_direction_z2_mean,7,0.1470282698329602,0.2885284692276279,0.2337662337662338,0.27972027972027974,0.2337662337662338,6,0
target_readability_z2_mean,7,0.14764841623913263,0.2872796267057999,0.2337662337662338,0.27972027972027974,0.2337662337662338,6,0
_z_neg_anchor_js,7,-0.18353600751660065,-0.16863023127348778,-0.2337662337662338,-0.22377622377622378,0.26373626373626374,1,6
_z_neg_target_readability_z2,7,-0.14764841623913263,-0.2872796267057998,-0.2337662337662338,-0.27972027972027974,0.2337662337662338,0,6
combined_hidden_js_score,7,-0.1835360075166006,-0.16863023127348775,-0.2337662337662338,-0.22377622377622378,0.26373626373626374,1,6
source_to_target_anchor_kl,7,0.16969891022396352,0.11279528701666108,0.21478521478521478,0.14685314685314685,0.24475524475524477,6,1
_z_neg_source_to_target_kl,7,-0.16969891022396358,-0.11279528701666106,-0.21478521478521478,-0.14685314685314685,0.24475524475524477,1,6
target_readability_tail_frac,7,0.14549255021195387,0.197401745828882,0.20809192471992025,0.19614741113473694,0.2660339826619782,6,1
_z_neg_target_readability_tail,7,-0.1454925502119538,-0.19740174582888217,-0.20809192471992025,-0.19614741113473694,0.2660339826619782,1,6
diagnostic_target_direction_std_min,7,0.10848283706522312,0.05699853906890596,0.20324897029738703,0.28536764767212164,0.3130112857437811,5,2
prior_param_tier_jump,5,0.1765433062450978,0.20715110843167336,0.1947085474770966,0.20483662259967567,0.36195694947851476,4,1
source_native_nll,7,-0.18014504316210683,-0.36803980376016754,-0.15884115884115885,-0.5034965034965035,0.5184815184815185,2,5
target_minus_source_nll,7,0.18014504316210683,0.3680398037601674,0.15884115884115885,0.5034965034965035,0.5184815184815185,5,2
_z_neg_source_native_nll,7,0.18014504316210686,0.3680398037601675,0.15884115884115885,0.5034965034965035,0.5184815184815185,5,2
combined_hidden_source_quality_score,7,0.18014504316210683,0.3680398037601675,0.15884115884115885,0.5034965034965035,0.5184815184815185,5,2
combined_ratio_direction_score,7,0.10924220936901288,0.06221502529349509,0.13286713286713286,0.06993006993006994,0.24875124875124874,5,2
source_hidden_size,7,-0.08935986503020953,-0.08229631470074047,-0.13101394402234404,0.0,0.1638867915499071,3,3
rel_direction_rmse_to_target,7,0.030037722664361468,0.023594203037974274,0.12987012987012986,0.16783216783216784,0.26973026973026976,6,1
capacity_normalized_direction_rmse,7,0.03003772266436147,0.02359420303797422,0.12987012987012986,0.16783216783216784,0.26973026973026976,6,1
_z_neg_direction_rmse,7,-0.030037722664361503,-0.02359420303797429,-0.12987012987012986,-0.16783216783216784,0.26973026973026976,1,6
