target,metric,n,pearson,spearman
llama1b,source_native_nll,12,-0.20298631013349638,-0.5454545454545454
llama1b,target_minus_source_nll,12,0.20298631013349636,0.5454545454545454
llama1b,_z_neg_source_native_nll,12,0.2029863101334964,0.5454545454545454
llama1b,combined_hidden_source_quality_score,12,0.20298631013349636,0.5454545454545454
llama1b,rel_magnitude_l1_to_target,12,-0.24422322810769734,-0.32167832167832167
llama1b,rel_magnitude_rmse_to_target,12,-0.23963043734700173,-0.32167832167832167
llama1b,_z_neg_magnitude_rmse,12,0.23963043734700173,0.32167832167832167
llama1b,prior_same_model_family,12,0.3407712409115925,0.30725493389951347
llama1b,prior_cross_model_family,12,-0.3407712409115925,-0.30725493389951347
llama1b,diagnostic_rel_magnitude_z_abs_mean,12,-0.31680839125397126,-0.2867132867132867
llama1b,diagnostic_target_direction_std_min,12,0.015964688423421396,0.28536764767212164
llama1b,memory_target_norm_gap,12,-0.43013577905527,-0.2517482517482518
llama1b,abs_log_hidden_ratio,12,0.7491872465377172,0.24380434664000444
llama1b,diagnostic_target_direction_std_mean,12,0.07627721866019847,0.22529024816220128
llama1b,diagnostic_target_direction_entropy,12,-0.11537753516663082,-0.22529024816220128
llama1b,anchor_direction_js_to_target,12,0.08454948306592187,0.22377622377622378
llama1b,_z_neg_anchor_js,12,-0.08454948306592186,-0.22377622377622378
llama1b,combined_hidden_js_score,12,-0.08454948306592182,-0.22377622377622378
llama1b,source_target_direction_entropy_gap,12,0.20006907170792557,0.21678321678321677
llama1b,_z_neg_direction_entropy_gap,12,-0.2000690717079256,-0.21678321678321677
llama1b,pair_geometry_compatibility_score,12,-0.0568820697739781,0.1958041958041958
llama1b,target_readability_energy,12,-0.21888778920372542,0.16783216783216784
llama1b,_z_target_readability_energy,12,-0.21888778920372542,0.16783216783216784
llama1b,diagnostic_source_direction_std_mean,12,0.3170701471469603,0.15384615384615385
llama1b,diagnostic_target_magnitude_std_mean,12,0.38991615533083107,0.13517414889732077
llama1b,diagnostic_target_magnitude_std_min,12,0.38991615533083107,0.13517414889732077
