metric,n,controls,pearson_residual,spearman_residual
prior_same_model_family,84,target,0.33048128903260793,0.36135160115487364
prior_cross_model_family,84,target,-0.33048128903260793,-0.36135160115487364
source_target_direction_entropy_gap,84,target,0.3333705521139112,0.3207856636630556
_z_neg_direction_entropy_gap,84,target,-0.33337055211391126,-0.3207856636630556
diagnostic_target_magnitude_std_mean,84,target,0.03854170457223047,0.296009744581038
diagnostic_target_magnitude_std_min,84,target,0.03854170342660322,0.296009744581038
diagnostic_target_direction_std_mean,84,target,0.12756881093589367,0.28911353290791525
anchor_direction_js_to_target,84,target,0.19978778990025958,0.26030171104586414
_z_neg_anchor_js,84,target,-0.19978778990025958,-0.26030171104586414
combined_hidden_js_score,84,target,-0.19978778990025955,-0.26030171104586414
diagnostic_target_direction_entropy,84,target,-0.32000554380492446,-0.2597032184195978
target_readability_cross_entropy,84,target,0.15814494993978107,0.24268502581755594
_z_neg_target_readability_ce,84,target,-0.15814494993978107,-0.24268502581755594
source_to_target_anchor_kl,84,target,0.16125090720305413,0.21162296243798726
_z_neg_source_to_target_kl,84,target,-0.16125090720305413,-0.21162296243798726
abs_log_hidden_ratio,84,target,0.09531848947321472,0.19040110123462223
diagnostic_rel_magnitude_z_abs_mean,84,target,-0.14659996511395068,-0.18380074921534878
target_readability_tail_frac,84,target,0.008870508633045945,0.18000759449448422
_z_neg_target_readability_tail,84,target,-0.008870508633045941,-0.18000759449448422
target_readability_z2_mean,84,target,0.06719494369475508,0.16709527184367723
_z_neg_target_readability_z2,84,target,-0.06719494369475508,-0.16709527184367723
diagnostic_rel_direction_z2_mean,84,target,0.06700868598716193,0.16421990482940163
target_magnitude_tail_frac,84,target,-0.048650190835113634,-0.1526460680474129
_z_neg_target_magnitude_tail,84,target,0.048650190835113634,0.1526460680474129
diagnostic_target_direction_std_min,84,target,-0.006830116483779396,0.1321394114631444
rel_direction_rmse_to_target,84,target,0.0683003150241794,0.12679963551685736
_z_neg_direction_rmse,84,target,-0.06830031502417938,-0.12679963551685736
combined_hidden_direction_score,84,target,-0.06830031502417941,-0.12679963551685736
combined_param_direction_score,84,target,-0.06830031502417944,-0.12679963551685736
capacity_normalized_direction_rmse,84,target,0.07233898382509679,0.12487597448618001
rel_direction_l1_to_target,84,target,0.06217092154952189,0.11313151766730789
source_native_nll,84,target,0.031572740566149435,-0.1083729877493166
target_minus_source_nll,84,target,-0.031572740566149435,0.1083729877493166
_z_neg_source_native_nll,84,target,-0.031572740566149435,0.1083729877493166
combined_hidden_source_quality_score,84,target,-0.031572740566149456,0.1083729877493166
prior_param_tier_jump,84,target,0.0195443479083022,0.09581460998198069
prior_log_param_ratio_target_over_source,84,target,0.013392531025960008,0.09276679133438027
_z_log_param_ratio,84,target,0.013392531025960002,0.09276679133438027
prior_source_param_b,84,target,-0.01984776380611377,-0.0912365312106869
pair_normalized_direction_rmse,84,target,0.05299854751710042,0.0744153082919915
_z_neg_pair_norm_direction_rmse,84,target,-0.0529985475171004,-0.0744153082919915
diagnostic_source_direction_entropy_mean,84,target,-0.014490800731221254,0.05580641895312342
rel_magnitude_rmse_to_target,84,target,0.03958458868359409,0.050703654955958286
_z_neg_magnitude_rmse,84,target,-0.03958458868359409,-0.050703654955958286
target_direction_subspace_residual,84,target,0.05025792673001451,0.04892173736964665
_z_neg_subspace_residual,84,target,-0.05025792673001452,-0.04892173736964665
target_readability_energy,84,target,0.16085930903022277,-0.04732206135466235
_z_target_readability_energy,84,target,0.16085930903022272,-0.04732206135466235
rel_magnitude_l1_to_target,84,target,0.03282967780473327,0.0403158853903007
source_target_direction_dispersion_gap,84,target,0.0694284989513777,0.037359522122101856
_z_neg_direction_dispersion_gap,84,target,-0.06942849895137772,-0.037359522122101856
source_hidden_size,84,target,-0.02448820672385145,-0.024946032650041045
source_target_top_anchor_overlap,84,target,0.283293266371399,-0.017029462387364584
_z_top_anchor_overlap,84,target,0.283293266371399,-0.017029462387364584
pair_geometry_compatibility_score,84,target,0.026338009476619913,0.006277209679052344
memory_target_norm_gap,84,target,0.03694064279403246,0.004171307077047687
combined_ratio_direction_score,84,target,-0.021224452927429232,0.00348283891870001
diagnostic_source_direction_std_mean,84,target,-0.05082482834573746,-0.0001619925078465121
prior_same_model_family,84,target+encoder,0.3492544626872403,0.372579653938011
