metric,n,controls,pearson_residual,spearman_residual
source_native_nll,84,target,-0.3234078748353416,-0.3929938240356384
target_minus_source_nll,84,target,0.3234078748353416,0.3929938240356384
_z_neg_source_native_nll,84,target,0.32340787483534156,0.3929938240356384
combined_hidden_source_quality_score,84,target,0.32340787483534156,0.3929938240356384
prior_same_model_family,84,target,0.10876912523985056,0.201420312731648
prior_cross_model_family,84,target,-0.10876912523985055,-0.201420312731648
source_target_direction_entropy_gap,84,target,0.0708644764675526,0.18967297762478486
_z_neg_direction_entropy_gap,84,target,-0.07086447646755263,-0.18967297762478486
prior_log_param_ratio_target_over_source,84,target,0.060639796274908946,0.15707888038582757
_z_log_param_ratio,84,target,0.06063979627490895,0.15707888038582757
prior_source_param_b,84,target,-0.06873020086322565,-0.1484571302647882
source_target_top_anchor_overlap,84,target,0.23274729501049576,0.1329148526880632
_z_top_anchor_overlap,84,target,0.2327472950104958,0.1329148526880632
diagnostic_target_direction_std_mean,84,target,0.07359146126282755,0.12664689907934776
source_hidden_size,84,target,-0.04654124905645959,-0.12320906369837345
anchor_direction_js_to_target,84,target,-0.019365284978068793,0.12145388275792245
_z_neg_anchor_js,84,target,0.019365284978068803,-0.12145388275792245
combined_hidden_js_score,84,target,0.01936528497806885,-0.12145388275792245
abs_log_hidden_ratio,84,target,0.08967320564067822,0.11972067539283926
prior_param_tier_jump,84,target,-0.0022944329081773093,0.11673601187922258
diagnostic_target_direction_entropy,84,target,-0.053139553050083325,-0.112489382173937
target_direction_subspace_residual,84,target,0.09107468945372525,0.10673281360737066
_z_neg_subspace_residual,84,target,-0.09107468945372527,-0.10673281360737066
diagnostic_target_magnitude_std_mean,84,target,-0.005706758246106457,0.1015365753989774
diagnostic_target_magnitude_std_min,84,target,-0.005706755512106904,0.1015365753989774
memory_target_norm_gap,84,target,0.01619786905673025,0.09974688670648982
source_to_target_anchor_kl,84,target,-0.022757611388336752,0.09778272754885087
_z_neg_source_to_target_kl,84,target,0.02275761138833676,-0.09778272754885087
target_readability_energy,84,target,0.1540692630287984,0.09401640174141945
_z_target_readability_energy,84,target,0.1540692630287984,0.09401640174141945
combined_ratio_direction_score,84,target,0.09818012802987168,0.09369241672572644
pair_geometry_compatibility_score,84,target,0.13462410081644208,0.07858661536903919
target_readability_cross_entropy,84,target,-0.029229031543281575,0.07814113597246128
_z_neg_target_readability_ce,84,target,0.029229031543281585,-0.07814113597246128
target_magnitude_tail_frac,84,target,-0.024108381277476183,-0.07232531945240799
_z_neg_target_magnitude_tail,84,target,0.024108381277476186,0.07232531945240799
diagnostic_source_direction_entropy_mean,84,target,-0.014473804686067872,-0.05440923357294725
target_readability_z2_mean,84,target,0.005274330541786021,0.0520198440822112
_z_neg_target_readability_z2,84,target,-0.005274330541786023,-0.0520198440822112
diagnostic_target_direction_std_min,84,target,0.0053651250026324915,0.051443897370361404
diagnostic_rel_direction_z2_mean,84,target,0.005243831567135315,0.05120988154297864
diagnostic_source_direction_std_mean,84,target,0.02441573706569546,0.037825250582160574
target_readability_tail_frac,84,target,-0.0022882265706867734,0.036633337657837994
_z_neg_target_readability_tail,84,target,0.002288226570686781,-0.036633337657837994
rel_magnitude_l1_to_target,84,target,0.036291138851667126,0.032924977219803586
rel_magnitude_rmse_to_target,84,target,0.026490151896731765,0.02901690796800648
_z_neg_magnitude_rmse,84,target,-0.026490151896731772,-0.02901690796800648
capacity_normalized_direction_rmse,84,target,-0.0855013500624624,0.01700921332388377
rel_direction_rmse_to_target,84,target,-0.08202676595691835,0.01605750734028551
_z_neg_direction_rmse,84,target,0.08202676595691837,-0.01605750734028551
combined_hidden_direction_score,84,target,0.08202676595691831,-0.01605750734028551
combined_param_direction_score,84,target,0.08202676595691834,-0.01605750734028551
diagnostic_rel_magnitude_z_abs_mean,84,target,0.013626929015837747,-0.011015490533562823
source_target_direction_dispersion_gap,84,target,-0.013726603310834359,-0.009618305153386656
_z_neg_direction_dispersion_gap,84,target,0.013726603310834359,0.009618305153386656
pair_normalized_direction_rmse,84,target,-0.10381166309193582,-0.0062164624886099015
_z_neg_pair_norm_direction_rmse,84,target,0.10381166309193582,0.0062164624886099015
rel_direction_l1_to_target,84,target,-0.08443775275521084,0.0023691404272552395
prior_log_param_ratio_target_over_source,84,target+encoder,0.07010188222104387,0.2726621649976844
_z_log_param_ratio,84,target+encoder,0.0701018822210439,0.2726621649976844
