metric,n,pearson,spearman
target_hidden_size,84,0.6712905664891216,0.6238605733910461
_z_target_hidden_size,84,0.6712905664891217,0.6238605733910461
combined_hidden_source_quality_score,84,0.5967600424686461,0.6180934549509218
prior_target_param_b,84,0.5110649059174776,0.5089882297832778
_z_prior_target_param_b,84,0.5110649059174774,0.5089882297832778
diagnostic_target_direction_std_min,84,-0.294011342401595,-0.4854916387085408
prior_log_param_ratio_target_over_source,84,0.36500745524826117,0.46869158271564204
_z_log_param_ratio,84,0.3650074552482611,0.46869158271564204
combined_hidden_js_score,84,0.5072457694936987,0.4362863217576187
combined_hidden_direction_score,84,0.4758745479443974,0.43375518882251696
combined_ratio_direction_score,84,0.30580854728976226,0.4220714791940873
diagnostic_target_magnitude_std_mean,84,0.2581923513223915,0.4138335493138905
diagnostic_target_magnitude_std_min,84,0.2581923558435131,0.4138335493138905
target_direction_subspace_residual,84,0.5026216303651366,0.38934899260909184
_z_neg_subspace_residual,84,-0.5026216303651366,-0.38934899260909184
combined_param_direction_score,84,0.3606011616359176,0.3596841146096993
diagnostic_target_direction_entropy,84,0.25763198762997314,0.3496176488518125
capacity_normalized_direction_rmse,84,-0.21287754667342274,-0.34482130201478184
target_readability_cross_entropy,84,-0.2569960360246421,-0.34139921028652426
_z_neg_target_readability_ce,84,0.25699603602464216,0.34139921028652426
pair_normalized_direction_rmse,84,-0.17689926812766815,-0.3348790118457021
_z_neg_pair_norm_direction_rmse,84,0.17689926812766815,0.3348790118457021
rel_direction_rmse_to_target,84,-0.1741067788275671,-0.33230738078363875
_z_neg_direction_rmse,84,0.17410677882756712,0.33230738078363875
rel_direction_l1_to_target,84,-0.16552392280750153,-0.33084944821302015
diagnostic_target_direction_std_mean,84,-0.3280716051944274,-0.3280771288610586
source_to_target_anchor_kl,84,-0.2367761923015853,-0.3099726637643009
_z_neg_source_to_target_kl,84,0.23677619230158534,0.3099726637643009
anchor_direction_js_to_target,84,-0.24750317105216105,-0.30711754581350614
_z_neg_anchor_js,84,0.24750317105216108,0.30711754581350614
diagnostic_rel_magnitude_z_abs_mean,84,-0.21674337747128652,-0.24181431608788093
target_magnitude_tail_frac,84,-0.10804918366518354,-0.22459395929894357
_z_neg_target_magnitude_tail,84,0.10804918366518354,0.22459395929894357
source_target_direction_dispersion_gap,84,-0.1554305931240627,-0.21494380884884073
_z_neg_direction_dispersion_gap,84,0.1554305931240627,0.21494380884884073
prior_source_param_b,84,-0.12479948224607008,-0.21399505142165315
prior_param_tier_jump,84,0.044175595338791056,0.21004615249691405
target_readability_tail_frac,84,0.13419775049285726,-0.20417394030896052
_z_neg_target_readability_tail,84,-0.1341977504928573,0.20417394030896052
pair_geometry_compatibility_score,84,0.07289945277925092,0.20044547939657792
memory_target_norm_gap,84,0.27247295630484875,0.1936215450035436
source_hidden_size,84,-0.13871213914604866,-0.18287077116231223
source_native_nll,84,-0.1482307657870481,-0.16184913262113543
_z_neg_source_native_nll,84,0.1482307657870481,0.16184913262113543
target_text_nll,84,-0.09856175928042801,-0.16055010006299478
source_target_direction_entropy_gap,84,-0.05695248488031196,-0.12145388275792245
_z_neg_direction_entropy_gap,84,0.05695248488031196,0.12145388275792245
diagnostic_source_direction_entropy_mean,84,-0.12275176402507666,-0.11455021321736418
prior_same_model_family,84,0.0044811059517783055,0.07499114051145689
prior_cross_model_family,84,-0.0044811059517783055,-0.07499114051145689
target_readability_energy,84,0.004070282326926994,0.07480004049812697
_z_target_readability_energy,84,0.004070282326926993,0.07480004049812697
diagnostic_source_direction_std_mean,84,-0.004967357842143934,0.07229526277148943
source_target_top_anchor_overlap,84,0.02325780796089178,-0.07014275589753974
_z_top_anchor_overlap,84,0.023257807960891788,-0.07014275589753974
rel_magnitude_l1_to_target,84,0.04347601557247668,-0.0648982484560089
target_readability_z2_mean,84,0.15345226953381164,-0.06149640579123215
_z_neg_target_readability_z2,84,-0.15345226953381164,0.06149640579123215
diagnostic_rel_direction_z2_mean,84,0.15360966612855503,-0.06147615672775134
rel_magnitude_rmse_to_target,84,0.032326374275347965,-0.06046370355371064
_z_neg_magnitude_rmse,84,-0.03232637427534795,0.06046370355371064
target_minus_source_nll,84,0.00023430708788497843,-0.03885795281968209
abs_log_hidden_ratio,84,-0.09043663459864001,-0.00336281580474271
