metric,n_targets,mean_pearson,median_pearson,mean_spearman,median_spearman,mean_abs_spearman,positive_spearman_targets,negative_spearman_targets
source_native_nll,7,-0.34598513637721656,-0.40272987450625836,-0.4005994005994006,-0.5524475524475524,0.5104895104895105,1,6
target_minus_source_nll,7,0.34598513637721656,0.40272987450625836,0.4005994005994006,0.5524475524475524,0.5104895104895105,6,1
_z_neg_source_native_nll,7,0.34598513637721656,0.4027298745062583,0.4005994005994006,0.5524475524475524,0.5104895104895105,6,1
combined_hidden_source_quality_score,7,0.34598513637721656,0.40272987450625825,0.4005994005994006,0.5524475524475524,0.5104895104895105,6,1
target_magnitude_tail_frac,1,-0.2606910909974269,-0.2606910909974269,-0.2537880294917678,-0.2537880294917678,0.2537880294917678,0,1
_z_neg_target_magnitude_tail,1,0.2606910909974269,0.2606910909974269,0.2537880294917678,0.2537880294917678,0.2537880294917678,1,0
prior_source_param_b,7,-0.22869163760485287,-0.34043125525089096,-0.24233332293187182,-0.34937051739291736,0.3352676933110289,2,5
prior_log_param_ratio_target_over_source,7,0.22538296839415836,0.36864579918655466,0.24233332293187182,0.34937051739291736,0.3352676933110289,5,2
_z_log_param_ratio,7,0.22538296839415833,0.3686457991865546,0.24233332293187182,0.34937051739291736,0.3352676933110289,5,2
prior_same_model_family,6,0.2040405159402936,0.16454564934412846,0.23044120042463512,0.17923204477471621,0.26458063752458105,5,1
prior_cross_model_family,6,-0.2040405159402936,-0.16454564934412844,-0.23044120042463512,-0.17923204477471621,0.26458063752458105,1,5
prior_param_tier_jump,5,0.2291338621492999,0.34817811932264436,0.22357473320709786,0.3763089045031908,0.42427281560879965,4,1
combined_ratio_direction_score,7,0.23067067807469296,0.3107544778269369,0.21478521478521476,0.2727272727272727,0.2587412587412587,4,3
abs_log_hidden_ratio,7,0.24831240910890723,0.3229138333387491,0.19474155847560518,0.2581457787952988,0.294561706302153,6,1
source_target_direction_entropy_gap,7,0.1640375536196334,0.19455585479493867,0.17582417582417584,0.1888111888111888,0.2077922077922078,5,2
_z_neg_direction_entropy_gap,7,-0.1640375536196334,-0.19455585479493864,-0.17582417582417584,-0.1888111888111888,0.2077922077922078,2,5
source_hidden_size,7,-0.1850725031727261,-0.32699967203267727,-0.14922185029049695,-0.23663363056235726,0.25985575548848217,2,5
target_direction_subspace_residual,7,0.1688068123103433,0.07360625749366771,0.13686313686313686,0.16783216783216784,0.24075924075924077,5,2
_z_neg_subspace_residual,7,-0.16880681231034342,-0.07360625749366768,-0.13686313686313686,-0.16783216783216784,0.24075924075924077,2,5
pair_geometry_compatibility_score,7,0.023433514938437587,0.018356386221507058,0.12487512487512488,0.11188811188811189,0.22477522477522477,5,2
diagnostic_source_direction_std_mean,7,0.06798955430868171,-0.008184379812960484,0.12187812187812187,0.16783216783216784,0.15784215784215785,5,2
diagnostic_target_direction_std_min,7,0.07414859294107531,0.07812645315848545,0.12034107460570133,0.11450715310358611,0.13413549030813754,6,1
rel_magnitude_l1_to_target,7,-0.09559135541190725,-0.08715401284794572,-0.1068931068931069,-0.11188811188811189,0.2047952047952048,1,5
rel_magnitude_rmse_to_target,7,-0.1079061491015758,-0.09736219320089656,-0.10589410589410589,-0.07692307692307693,0.2037962037962038,1,6
_z_neg_magnitude_rmse,7,0.10790614910157578,0.09736219320089651,0.10589410589410589,0.07692307692307693,0.2037962037962038,6,1
diagnostic_rel_direction_z2_mean,7,0.028508231474845845,0.021408586233381828,0.10189810189810189,0.1048951048951049,0.23776223776223776,4,2
target_readability_z2_mean,7,0.028263250506404217,0.02347524889818949,0.10189810189810189,0.1048951048951049,0.23776223776223776,4,2
_z_neg_target_readability_z2,7,-0.02826325050640418,-0.023475248898189482,-0.10189810189810189,-0.1048951048951049,0.23776223776223776,2,4
anchor_direction_js_to_target,7,0.09554438198225203,0.1280116422790919,0.1008991008991009,0.1888111888111888,0.25674325674325676,5,2
_z_neg_anchor_js,7,-0.09554438198225199,-0.12801164227909193,-0.1008991008991009,-0.1888111888111888,0.25674325674325676,2,5
combined_hidden_js_score,7,-0.0955443819822519,-0.12801164227909193,-0.1008991008991009,-0.1888111888111888,0.25674325674325676,2,5
diagnostic_target_direction_entropy,7,0.08354078838638652,-0.01300197691290891,0.09938961082098484,0.00763381020690574,0.211032858635503,4,3
source_target_top_anchor_overlap,7,0.004744896749873911,0.12857438344307634,0.09490509490509491,0.13286713286713286,0.2867132867132867,4,3
source_target_direction_dispersion_gap,7,-0.04327531611751956,0.015812629162025405,-0.09490509490509491,-0.055944055944055944,0.09690309690309691,1,6
_z_top_anchor_overlap,7,0.0047448967498738975,0.12857438344307634,0.09490509490509491,0.13286713286713286,0.2867132867132867,4,3
_z_neg_direction_dispersion_gap,7,0.043275316117519544,-0.01581262916202545,0.09490509490509491,0.055944055944055944,0.09690309690309691,6,1
source_to_target_anchor_kl,7,0.08777666222748835,0.14274449566679676,0.09090909090909091,0.1958041958041958,0.24675324675324675,5,2
_z_neg_source_to_target_kl,7,-0.08777666222748835,-0.14274449566679678,-0.09090909090909091,-0.1958041958041958,0.24675324675324675,2,5
target_readability_cross_entropy,7,-0.05876576259091124,-0.13319414783753483,-0.08291708291708291,-0.14685314685314685,0.25074925074925075,3,4
_z_neg_target_readability_ce,7,0.05876576259091111,0.13319414783753486,0.08291708291708291,0.14685314685314685,0.25074925074925075,4,3
diagnostic_target_magnitude_std_mean,7,0.024225414461249536,0.03260836976639474,0.07601816685859966,0.04828045495852676,0.10873449631676713,6,1
diagnostic_target_magnitude_std_min,7,0.024225436617079366,0.0326083855532358,0.07601816685859966,0.04828045495852676,0.10873449631676713,6,1
target_readability_energy,7,-0.003939353956721555,0.04335234689747935,0.06393606393606394,-0.027972027972027972,0.24975024975024976,3,4
_z_target_readability_energy,7,-0.003939353956721554,0.04335234689747938,0.06393606393606394,-0.027972027972027972,0.24975024975024976,3,4
diagnostic_source_direction_entropy_mean,7,-0.1065928872757044,-0.216942326851664,-0.05594405594405594,-0.1888111888111888,0.25374625374625376,3,4
diagnostic_rel_magnitude_z_abs_mean,7,-0.0017135418396895248,-0.07171742836198346,-0.05494505494505495,-0.09090909090909091,0.16683316683316685,1,5
diagnostic_target_direction_std_mean,7,-0.05532993146936127,0.0939585494018634,-0.044154511138203165,0.04828045495852676,0.23502483357149248,5,2
target_readability_tail_frac,7,-0.030403551995872965,0.05635977797684689,0.02914362600894149,0.04895104895104895,0.268253333396597,4,3
_z_neg_target_readability_tail,7,0.030403551995873163,-0.05635977797684691,-0.02914362600894149,-0.04895104895104895,0.268253333396597,3,4
rel_direction_rmse_to_target,7,-0.023344372006422098,-0.047239556266254,0.02197802197802198,0.013986013986013986,0.22977022977022976,4,3
capacity_normalized_direction_rmse,7,-0.02334437200642211,-0.04723955626625389,0.02197802197802198,0.013986013986013986,0.22977022977022976,4,3
_z_neg_direction_rmse,7,0.02334437200642209,0.047239556266254035,-0.02197802197802198,-0.013986013986013986,0.22977022977022976,3,4
combined_hidden_direction_score,7,0.02334437200642195,0.047239556266253875,-0.02197802197802198,-0.013986013986013986,0.22977022977022976,3,4
combined_param_direction_score,7,0.02334437200642197,0.047239556266253875,-0.02197802197802198,-0.013986013986013986,0.22977022977022976,3,4
memory_target_norm_gap,7,0.016551078311778666,0.06720252443457589,-0.01598401598401598,-0.027972027972027972,0.15184815184815184,3,4
pair_normalized_direction_rmse,7,-0.03572683075294991,-0.11304223438636328,-0.013986013986013995,0.013986013986013986,0.2057942057942058,4,3
_z_neg_pair_norm_direction_rmse,7,0.03572683075294996,0.11304223438636332,0.013986013986013995,-0.013986013986013986,0.2057942057942058,3,4
rel_direction_l1_to_target,7,-0.04813062595859551,-0.05522691044311295,-0.00399600399600399,0.013986013986013986,0.22377622377622378,4,3
