task,metric,tier,n_groups,top1_hit_rate,mean_regret_at_1,median_regret_at_1,mean_spearman,mean_abs_spearman
T1_select_source,target_readability_tail_frac,L1_pair_compatibility,7,0.2857142857142857,0.09946510192126189,0.06681708945754672,-0.02914362600894149,0.268253333396597
T1_select_source,_z_neg_target_readability_tail,other,7,0.2857142857142857,0.09946510192126189,0.06681708945754672,-0.02914362600894149,0.268253333396597
T1_select_source,diagnostic_rel_direction_z2_mean,other,7,0.2857142857142857,0.1083748624184091,0.06681708945754672,-0.10189810189810189,0.23776223776223776
T1_select_source,target_readability_z2_mean,L1_pair_compatibility,7,0.2857142857142857,0.1083748624184091,0.06681708945754672,-0.10189810189810189,0.23776223776223776
T1_select_source,_z_neg_target_readability_z2,other,7,0.2857142857142857,0.1083748624184091,0.06681708945754672,-0.10189810189810189,0.23776223776223776
T1_select_source,rel_direction_rmse_to_target,L1_mechanism,7,0.2857142857142857,0.10205591403058276,0.06681708945754672,-0.02197802197802198,0.22977022977022976
T1_select_source,capacity_normalized_direction_rmse,L1_mechanism,7,0.2857142857142857,0.10205591403058276,0.06681708945754672,-0.02197802197802198,0.22977022977022976
T1_select_source,_z_neg_direction_rmse,other,7,0.2857142857142857,0.10205591403058276,0.06681708945754672,-0.02197802197802198,0.22977022977022976
T1_select_source,combined_hidden_direction_score,L4_composite,7,0.2857142857142857,0.10205591403058276,0.06681708945754672,-0.02197802197802198,0.22977022977022976
T1_select_source,combined_param_direction_score,L4_composite,7,0.2857142857142857,0.10205591403058276,0.06681708945754672,-0.02197802197802198,0.22977022977022976
T1_select_source,rel_direction_l1_to_target,L1_mechanism,7,0.2857142857142857,0.10205591403058276,0.06681708945754672,0.00399600399600399,0.22377622377622378
T1_select_source,pair_normalized_direction_rmse,L1_pair_compatibility,7,0.2857142857142857,0.10205591403058276,0.06681708945754672,0.013986013986013995,0.2057942057942058
T1_select_source,_z_neg_pair_norm_direction_rmse,other,7,0.2857142857142857,0.10205591403058276,0.06681708945754672,0.013986013986013995,0.2057942057942058
T1_select_source,source_native_nll,L2_text,7,0.14285714285714285,0.10511797531479693,0.05424688159423807,0.4005994005994006,0.5104895104895105
T1_select_source,_z_neg_source_native_nll,other,7,0.14285714285714285,0.10511797531479693,0.05424688159423807,0.4005994005994006,0.5104895104895105
T1_select_source,combined_hidden_source_quality_score,L4_composite,7,0.14285714285714285,0.10511797531479693,0.05424688159423807,0.4005994005994006,0.5104895104895105
T1_select_source,combined_ratio_direction_score,L4_composite,7,0.14285714285714285,0.13795554449209466,0.08503666718001712,0.21478521478521476,0.2587412587412587
T1_select_source,diagnostic_source_direction_entropy_mean,other,7,0.14285714285714285,0.1099104793457506,0.06681708945754672,-0.05594405594405594,0.25374625374625376
T1_select_source,source_to_target_anchor_kl,L1_pair_compatibility,7,0.14285714285714285,0.11645641905592341,0.06681708945754672,-0.09090909090909091,0.24675324675324675
T1_select_source,_z_neg_source_to_target_kl,other,7,0.14285714285714285,0.11645641905592341,0.06681708945754672,-0.09090909090909091,0.24675324675324675
T1_select_source,diagnostic_target_direction_std_mean,other,7,0.14285714285714285,0.1252935511469171,0.08143860983575257,-0.044154511138203165,0.23502483357149248
T1_select_source,diagnostic_target_direction_entropy,other,7,0.14285714285714285,0.0961444260428949,0.04720970140695813,0.09938961082098484,0.211032858635503
T1_select_source,memory_target_norm_gap,other,7,0.14285714285714285,0.10830347694166931,0.06681708945754672,0.01598401598401598,0.15184815184815184
T1_select_source,diagnostic_target_direction_std_min,other,7,0.14285714285714285,0.11509819363642453,0.06267075079879869,0.12034107460570133,0.13413549030813754
T1_select_source,target_minus_source_nll,L2_text,7,0.0,0.1526950827629428,0.08775045339018483,-0.4005994005994006,0.5104895104895105
T1_select_source,prior_param_tier_jump,L3_discrete,5,0.0,0.10561957599117153,0.009435473858660948,0.22357473320709786,0.42427281560879965
T1_select_source,prior_source_param_b,other,7,0.0,0.24333116942276728,0.1392408071634006,-0.24233332293187182,0.3352676933110289
T1_select_source,prior_log_param_ratio_target_over_source,L3_discrete,7,0.0,0.17091110140432939,0.04720970140695813,0.24233332293187182,0.3352676933110289
T1_select_source,_z_log_param_ratio,other,7,0.0,0.17091110140432939,0.04720970140695813,0.24233332293187182,0.3352676933110289
T1_select_source,abs_log_hidden_ratio,other,7,0.0,0.24170525968907483,0.1392408071634006,-0.19474155847560518,0.294561706302153
T1_select_source,source_target_top_anchor_overlap,L1_pair_compatibility,7,0.0,0.12802956799902768,0.08142603349376643,0.09490509490509491,0.2867132867132867
T1_select_source,_z_top_anchor_overlap,other,7,0.0,0.12802956799902768,0.08142603349376643,0.09490509490509491,0.2867132867132867
T1_select_source,prior_same_model_family,L3_discrete,6,0.0,0.1424600418426605,0.10628913243998073,0.23044120042463512,0.26458063752458105
T1_select_source,prior_cross_model_family,other,6,0.0,0.20947608326939537,0.11553167790286473,-0.23044120042463512,0.26458063752458105
T1_select_source,source_hidden_size,other,7,0.0,0.24333116942276728,0.1392408071634006,-0.14922185029049695,0.25985575548848217
T1_select_source,anchor_direction_js_to_target,L1_mechanism,7,0.0,0.10933996202105913,0.06681708945754672,-0.1008991008991009,0.25674325674325676
