metric,n_compressors,mean_pearson,median_pearson,mean_spearman,median_spearman,mean_abs_spearman,positive_spearman_compressors,negative_spearman_compressors
_z_neg_source_native_nll,7,-0.0346608626650549,0.10045202163615517,0.08571428571428572,0.08571428571428572,0.4040816326530612,4,3
abs_log_hidden_ratio,14,-0.07879116673634874,-0.6673669129777644,-0.08352751198853602,-0.5942653115437596,0.7975567312450398,6,8
prior_same_model_family,12,-0.020329328766010405,0.23277595855845087,-0.062201933701559874,0.20701966780270628,0.35183740190385265,7,4
prior_cross_model_family,12,0.020329328766010388,-0.23277595855845087,0.062201933701559874,-0.20701966780270628,0.35183740190385265,4,7
rel_magnitude_l1_to_target,14,0.09046673435969377,0.11469115107837592,0.05612244897959184,0.14285714285714285,0.4744897959183674,8,6
prior_param_tier_jump,14,0.07339747076531901,0.05875019187130495,0.049829941968746114,0.253546276418555,0.4934435158316881,8,6
target_readability_energy,14,0.016025572539640494,-0.022195721951660113,-0.047959183673469394,0.0,0.5846938775510203,7,7
_z_target_readability_energy,14,0.016025572539640487,-0.022195721951660093,-0.047959183673469394,0.0,0.5846938775510203,7,7
source_target_top_anchor_overlap,14,0.05916459346816998,0.06302365082344612,0.016326530612244896,-0.11428571428571428,0.45714285714285713,6,8
_z_top_anchor_overlap,14,0.05916459346816999,0.06302365082344613,0.016326530612244896,-0.11428571428571428,0.45714285714285713,6,8
