target,metric,n,pearson,spearman
llama1b,diagnostic_target_direction_std_min,12,0.352810652784619,0.5707352953442433
llama1b,rel_magnitude_rmse_to_target,12,-0.5431646483968513,-0.5524475524475524
llama1b,_z_neg_magnitude_rmse,12,0.5431646483968514,0.5524475524475524
llama1b,prior_same_model_family,12,0.43627283680114054,0.5120915564991891
llama1b,prior_cross_model_family,12,-0.43627283680114054,-0.5120915564991891
llama1b,diagnostic_rel_magnitude_z_abs_mean,12,-0.5327785044168875,-0.5104895104895105
llama1b,rel_magnitude_l1_to_target,12,-0.5429532934451797,-0.5034965034965035
llama1b,source_target_direction_entropy_gap,12,0.410170929446115,0.4755244755244755
llama1b,_z_neg_direction_entropy_gap,12,-0.41017092944611494,-0.4755244755244755
llama1b,diagnostic_target_direction_std_mean,12,0.3348267112610453,0.42054179656944235
llama1b,diagnostic_target_direction_entropy,12,-0.3706630925843224,-0.42054179656944235
llama1b,target_direction_subspace_residual,12,-0.2702287074886769,-0.38461538461538464
llama1b,_z_neg_subspace_residual,12,0.27022870748867656,0.38461538461538464
llama1b,memory_target_norm_gap,12,-0.422662553508153,-0.32867132867132864
llama1b,source_target_top_anchor_overlap,12,0.14641214586978757,0.32167832167832167
llama1b,_z_top_anchor_overlap,12,0.14641214586978762,0.32167832167832167
llama1b,target_readability_energy,12,0.12799452727399388,0.26573426573426573
llama1b,_z_target_readability_energy,12,0.12799452727399385,0.26573426573426573
llama1b,pair_geometry_compatibility_score,12,0.12907004724555643,0.23776223776223776
llama1b,abs_log_hidden_ratio,12,0.5110170242900226,0.20078005017412132
llama1b,anchor_direction_js_to_target,12,0.15016260746934662,0.14685314685314685
llama1b,source_to_target_anchor_kl,12,0.12071674641487146,0.14685314685314685
llama1b,_z_neg_anchor_js,12,-0.15016260746934665,-0.14685314685314685
llama1b,_z_neg_source_to_target_kl,12,-0.12071674641487141,-0.14685314685314685
llama1b,combined_hidden_js_score,12,-0.1501626074693467,-0.14685314685314685
llama1b,diagnostic_rel_direction_z2_mean,12,-0.14281080301824864,-0.13986013986013987
llama1b,source_native_nll,12,0.007505944957499378,0.13986013986013987
llama1b,target_minus_source_nll,12,-0.0075059449574993685,-0.13986013986013987
llama1b,target_readability_z2_mean,12,-0.14003153882719133,-0.13986013986013987
llama1b,_z_neg_target_readability_z2,12,0.14003153882719138,0.13986013986013987
llama1b,_z_neg_source_native_nll,12,-0.007505944957499304,-0.13986013986013987
llama1b,combined_hidden_source_quality_score,12,-0.007505944957499339,-0.13986013986013987
llama1b,target_readability_cross_entropy,12,0.16898870742481326,0.13286713286713286
llama1b,_z_neg_target_readability_ce,12,-0.16898870742481326,-0.13286713286713286
llama1b,diagnostic_source_direction_std_mean,12,0.17717044714961944,0.1258741258741259
llama1b,target_readability_tail_frac,12,-0.06736466373749463,-0.11188811188811189
llama1b,_z_neg_target_readability_tail,12,0.06736466373749465,0.11188811188811189
