target_hidden_size,n_rows,n_targets,targets,mean_retention,median_retention,min_retention,max_retention,spearman_hidden_vs_rows,spearman_hidden_vs_target_means,n_unique_hidden_values
ALL,83,7,all,0.5228864622312323,0.6482494393737537,0.0038335198353968885,1.0459576460584752,0.7571469885554947,0.9274260335029676,5
1536.0,12,1,qwen1.5b,0.12331526467007513,0.0827858772578429,0.008348723789421988,0.33362994515112615,,,
2048.0,24,2,llama1b qwen3b,0.26886202647324103,0.1477557809773124,0.0038335198353968885,0.6835180305382089,,,
3072.0,12,1,llama3b,0.709795502094616,0.761398608206307,0.26192462156317575,0.8395040792870198,,,
3584.0,11,1,qwen7b,0.7250672339276807,0.8322010476056502,0.18848946021556678,0.9911003169296715,,,
4096.0,24,2,llama8b mistral7b,0.7905757898105711,0.8058608640725169,0.15514487494150567,1.0459576460584752,,,
