compressor,metric,n,pearson,spearman
gpt2:llama3b,target_direction_subspace_residual,6,0.797985788265196,0.7714285714285715
gpt2:llama3b,pair_normalized_direction_rmse,6,-0.4050643845284614,-0.7714285714285715
gpt2:llama3b,source_target_direction_entropy_gap,6,-0.04408388105672685,-0.7714285714285715
gpt2:llama3b,_z_neg_subspace_residual,6,-0.797985788265196,-0.7714285714285715
gpt2:llama3b,_z_neg_pair_norm_direction_rmse,6,0.40506438452846144,0.7714285714285715
gpt2:llama3b,_z_neg_direction_entropy_gap,6,0.04408388105672681,0.7714285714285715
gpt2:llama3b,rel_direction_l1_to_target,6,-0.36567626049268426,-0.7142857142857143
gpt2:llama3b,rel_direction_rmse_to_target,6,-0.3716810193103105,-0.7142857142857143
gpt2:llama3b,capacity_normalized_direction_rmse,6,-0.3888582187720736,-0.7142857142857143
gpt2:llama3b,source_to_target_anchor_kl,6,-0.35628461776724973,-0.7142857142857143
gpt2:llama3b,target_readability_energy,6,-0.43094033077199817,-0.7142857142857143
gpt2:llama3b,_z_neg_direction_rmse,6,0.37168101931031056,0.7142857142857143
gpt2:llama3b,_z_neg_source_to_target_kl,6,0.3562846177672497,0.7142857142857143
gpt2:llama3b,_z_target_readability_energy,6,-0.4309403307719982,-0.7142857142857143
gpt2:llama3b,combined_hidden_source_quality_score,6,0.7750140923789,0.7142857142857143
gpt2:llama3b,combined_param_direction_score,6,0.5482420211237335,0.7142857142857143
gpt2:llama3b,combined_ratio_direction_score,6,0.44426808358204506,0.7142857142857143
gpt2:llama3b,target_hidden_size,6,0.7730122360229497,0.7061878636037996
gpt2:llama3b,_z_target_hidden_size,6,0.7730122360229496,0.7061878636037996
gpt2:llama3b,prior_param_tier_jump,6,0.7491378255007607,0.6761234037828133
gpt2:llama3b,prior_target_param_b,6,0.6761599100087979,0.6667366910003157
gpt2:llama3b,prior_log_param_ratio_target_over_source,6,0.5276834412864827,0.6667366910003157
gpt2:llama3b,_z_prior_target_param_b,6,0.6761599100087979,0.6667366910003157
gpt2:llama3b,_z_log_param_ratio,6,0.5276834412864826,0.6667366910003157
gpt2:llama3b,anchor_direction_js_to_target,6,-0.3466193300311556,-0.6
gpt2:llama3b,diagnostic_target_direction_std_mean,6,-0.42477970603582105,-0.6
gpt2:llama3b,target_readability_cross_entropy,6,-0.356317986051849,-0.6
gpt2:llama3b,source_target_direction_dispersion_gap,6,-0.4092432919580084,-0.6
gpt2:llama3b,diagnostic_target_direction_entropy,6,0.345150465852121,0.6
gpt2:llama3b,_z_neg_anchor_js,6,0.3466193300311557,0.6
