task,group,metric,n,top1_hit,regret_at_1,spearman,best_retention,prior_pick_retention
T1_select_source,llama1b,rel_direction_l1_to_target,12,0,0.23489801770099128,-0.006993006993006993,0.686397067462462,0.4514990497614707
T1_select_source,llama1b,rel_direction_rmse_to_target,12,0,0.23489801770099128,0.055944055944055944,0.686397067462462,0.4514990497614707
T1_select_source,llama1b,rel_magnitude_l1_to_target,12,0,0.03610955390921078,0.2867132867132867,0.686397067462462,0.6502875135532512
T1_select_source,llama1b,rel_magnitude_rmse_to_target,12,0,0.03610955390921078,0.2867132867132867,0.686397067462462,0.6502875135532512
T1_select_source,llama1b,memory_target_norm_gap,12,0,0.19924538182404095,0.2867132867132867,0.686397067462462,0.48715168563842104
T1_select_source,llama1b,anchor_direction_js_to_target,12,0,0.23489801770099128,-0.013986013986013986,0.686397067462462,0.4514990497614707
T1_select_source,llama1b,target_direction_subspace_residual,12,0,0.03777790459182462,-0.04895104895104895,0.686397067462462,0.6486191628706374
T1_select_source,llama1b,capacity_normalized_direction_rmse,12,0,0.23489801770099128,0.055944055944055944,0.686397067462462,0.4514990497614707
T1_select_source,llama1b,diagnostic_rel_direction_z2_mean,12,0,0.23489801770099128,0.07692307692307693,0.686397067462462,0.4514990497614707
T1_select_source,llama1b,diagnostic_rel_magnitude_z_abs_mean,12,0,0.03610955390921078,0.3076923076923077,0.686397067462462,0.6502875135532512
T1_select_source,llama1b,diagnostic_target_direction_std_mean,12,0,0.03777790459182462,0.045058049632440256,0.686397067462462,0.6486191628706374
T1_select_source,llama1b,diagnostic_target_direction_std_min,12,0,0.03610955390921078,0.10513544914236059,0.686397067462462,0.6502875135532512
T1_select_source,llama1b,diagnostic_target_magnitude_std_mean,12,0,0.19924538182404095,0.045058049632440256,0.686397067462462,0.48715168563842104
T1_select_source,llama1b,diagnostic_target_magnitude_std_min,12,0,0.19924538182404095,0.045058049632440256,0.686397067462462,0.48715168563842104
T1_select_source,llama1b,source_native_nll,12,0,0.23489801770099128,-0.5734265734265734,0.686397067462462,0.4514990497614707
T1_select_source,llama1b,target_minus_source_nll,12,0,0.03835528148802103,0.5734265734265734,0.686397067462462,0.648041785974441
T1_select_source,llama1b,source_hidden_size,12,0,0.03777790459182462,-0.0645364446988247,0.686397067462462,0.6486191628706374
