target_hidden_size,n_rows,n_targets,targets,mean_retention,median_retention,min_retention,max_retention,spearman_hidden_vs_rows,spearman_hidden_vs_target_means,n_unique_hidden_values
ALL,83,7,all,0.5650402744571048,0.583500486415469,0.02190105274937308,1.5719847058526615,0.7232606146730041,0.8183170883849714,5
1536.0,12,1,qwen1.5b,0.18990438736943538,0.1586894578700706,0.06346662509925033,0.34185282760114044,,,
2048.0,24,2,llama1b qwen3b,0.3019864467203685,0.2646395280963007,0.02190105274937308,0.686397067462462,,,
3072.0,12,1,llama3b,0.5535928435172414,0.5894991926506132,0.3393061186488019,0.6662448757339021,,,
3584.0,12,1,qwen7b,1.19990160722681,1.2816892966206497,0.5495745926767938,1.5719847058526615,,,
4096.0,23,2,llama8b mistral7b,0.7099948696212615,0.702562104418453,0.21884933829278808,1.1140007170897188,,,
