metric,n,pearson,spearman
target_hidden_size,83,0.6814651557468875,0.7232606146730041
_z_target_hidden_size,83,0.6814651557468875,0.7232606146730041
prior_target_param_b,83,0.6628231315958637,0.6125312978497058
_z_prior_target_param_b,83,0.6628231315958638,0.6125312978497058
target_direction_subspace_residual,83,0.7228630978883371,0.5599680953780278
_z_neg_subspace_residual,83,-0.7228630978883371,-0.5599680953780278
combined_ratio_direction_score,83,0.551943485674726,0.5548675538390496
combined_hidden_js_score,83,0.6260198006888419,0.538600394609798
prior_log_param_ratio_target_over_source,83,0.524693829147958,0.5365248643294201
_z_log_param_ratio,83,0.5246938291479579,0.5365248643294201
capacity_normalized_direction_rmse,83,-0.47429707672095484,-0.5292598967297762
combined_hidden_direction_score,83,0.6336628464518907,0.5274127870366483
rel_direction_rmse_to_target,83,-0.44712755671900056,-0.5171907140758154
_z_neg_direction_rmse,83,0.4471275567190006,0.5171907140758154
rel_direction_l1_to_target,83,-0.4430148725080285,-0.5162671592292515
combined_param_direction_score,83,0.582506157823692,0.5127828386717602
diagnostic_target_direction_std_min,83,-0.5167346655282906,-0.5115243551241413
diagnostic_target_magnitude_std_mean,83,0.569823554943242,0.5115017615408582
diagnostic_target_magnitude_std_min,83,0.5698235535439844,0.5115017615408582
pair_normalized_direction_rmse,83,-0.44876991657053034,-0.4989295159733009
_z_neg_pair_norm_direction_rmse,83,0.44876991657053034,0.4989295159733009
diagnostic_target_direction_std_mean,83,-0.44320796749760943,-0.4944289250236996
anchor_direction_js_to_target,83,-0.4556117705497448,-0.4711179211619999
_z_neg_anchor_js,83,0.4556117705497448,0.4711179211619999
target_readability_cross_entropy,83,-0.486179089234833,-0.47099198186474117
_z_neg_target_readability_ce,83,0.48617908923483294,0.47099198186474117
diagnostic_target_direction_entropy,83,0.4863677096698028,0.46844120835472414
source_to_target_anchor_kl,83,-0.45141240780599806,-0.46312077578607114
_z_neg_source_to_target_kl,83,0.4514124078059981,0.46312077578607114
combined_hidden_source_quality_score,83,0.41774789496664405,0.45499008238637906
pair_geometry_compatibility_score,83,0.3251623168681592,0.39190210318626423
diagnostic_rel_magnitude_z_abs_mean,83,-0.5598638151898251,-0.36686117291465514
memory_target_norm_gap,83,0.20158451572680025,0.30382855463666514
source_target_direction_entropy_gap,83,-0.28716701466026234,-0.28153729902187147
_z_neg_direction_entropy_gap,83,0.2871670146602624,0.28153729902187147
target_readability_tail_frac,83,-0.1324501812746062,-0.2762640621770271
_z_neg_target_readability_tail,83,0.1324501812746062,0.2762640621770271
target_text_nll,83,-0.24458894695911157,-0.274485384601886
source_hidden_size,83,-0.2456025096669476,-0.25180024473529594
target_magnitude_tail_frac,83,-0.24919989225716288,-0.24929037829900294
_z_neg_target_magnitude_tail,83,0.24919989225716288,0.24929037829900294
diagnostic_rel_direction_z2_mean,83,-0.032733645917945274,-0.22713152260610386
target_readability_z2_mean,83,-0.029697432083981526,-0.22713152260610386
_z_neg_target_readability_z2,83,0.029697432083981522,0.22713152260610386
prior_source_param_b,83,-0.23622319843475598,-0.22260702778845348
diagnostic_source_direction_entropy_mean,83,-0.22799321141877613,-0.2172119254761917
target_minus_source_nll,83,-0.20167738283200032,-0.1781831157382142
prior_param_tier_jump,83,0.16425452716744773,0.1624795548794759
diagnostic_source_direction_std_mean,83,-0.07535574958494534,-0.12280573697592992
source_native_nll,83,0.10522076692600738,0.09703512082991649
_z_neg_source_native_nll,83,-0.1052207669260074,-0.09703512082991649
source_target_top_anchor_overlap,83,0.056328270951795864,0.08879909743183115
_z_top_anchor_overlap,83,0.05632827095179588,0.08879909743183115
abs_log_hidden_ratio,83,-0.04272359451945823,-0.07594488809989824
target_readability_energy,83,0.018070767246322724,0.06338944628688972
_z_target_readability_energy,83,0.018070767246322717,0.06338944628688972
source_target_direction_dispersion_gap,83,-0.06005609701146026,-0.033394903656437595
_z_neg_direction_dispersion_gap,83,0.06005609701146028,0.033394903656437595
prior_same_model_family,83,0.03145375826894758,-0.012359394529522612
prior_cross_model_family,83,-0.03145375826894758,0.012359394529522612
rel_magnitude_l1_to_target,83,-0.03226441299369755,-0.005772217791024726
rel_magnitude_rmse_to_target,83,-0.039801929914880615,0.005415389782125015
_z_neg_magnitude_rmse,83,0.039801929914880615,-0.005415389782125015
