metric,n,controls,pearson_residual,spearman_residual
source_hidden_size,83,target,-0.33781986911488504,-0.30715100264741985
diagnostic_source_direction_entropy_mean,83,target,-0.30247778658442537,-0.28548339700264475
prior_log_param_ratio_target_over_source,83,target,0.2893520307020277,0.2544903709393799
_z_log_param_ratio,83,target,0.28935203070202775,0.2544903709393799
prior_source_param_b,83,target,-0.32805594123874166,-0.2534711779990337
combined_ratio_direction_score,83,target,0.28850629016954604,0.22902061206498467
prior_param_tier_jump,83,target,0.31065980433674406,0.2206245759894246
source_target_direction_dispersion_gap,83,target,0.18236735171469348,0.1942193862558247
_z_neg_direction_dispersion_gap,83,target,-0.18236735171469348,-0.1942193862558247
diagnostic_source_direction_std_mean,83,target,-0.14973632825860964,-0.19417740649007179
target_direction_subspace_residual,83,target,0.23462048023738633,0.19052516686956886
_z_neg_subspace_residual,83,target,-0.23462048023738635,-0.19052516686956886
abs_log_hidden_ratio,83,target,0.2663784599881046,0.18979187630235317
source_native_nll,83,target,0.1922623266569699,0.18116367910667058
target_minus_source_nll,83,target,-0.19226232665696996,-0.18116367910667058
_z_neg_source_native_nll,83,target,-0.19226232665696993,-0.18116367910667058
combined_hidden_source_quality_score,83,target,-0.19226232665696993,-0.18116367910667058
diagnostic_target_direction_std_mean,83,target,-0.06516266807487263,-0.1515424497505184
diagnostic_target_direction_std_min,83,target,-0.1126882561842787,-0.13393987297129425
prior_same_model_family,83,target,0.1435870494360952,0.1235609807128563
prior_cross_model_family,83,target,-0.14358704943609524,-0.1235609807128563
diagnostic_rel_direction_z2_mean,83,target,0.19516457870558485,0.10992401662398724
target_readability_z2_mean,83,target,0.19585799782604227,0.10935728978632299
_z_neg_target_readability_z2,83,target,-0.1958579978260423,-0.10935728978632299
diagnostic_rel_magnitude_z_abs_mean,83,target,-0.0777868072037711,-0.09903026741110785
target_readability_cross_entropy,83,target,-0.06506349363479876,-0.09865244951933168
_z_neg_target_readability_ce,83,target,0.06506349363479876,0.09865244951933168
target_readability_energy,83,target,0.07706994457034808,0.09040342554888543
_z_target_readability_energy,83,target,0.07706994457034806,0.09040342554888543
anchor_direction_js_to_target,83,target,0.051020955858411966,0.09025649636875026
_z_neg_anchor_js,83,target,-0.05102095585841197,-0.09025649636875026
combined_hidden_js_score,83,target,-0.05102095585841202,-0.09025649636875026
memory_target_norm_gap,83,target,0.13719306198314268,0.08893413374753369
source_to_target_anchor_kl,83,target,0.04637099293093457,0.08645732756811217
_z_neg_source_to_target_kl,83,target,-0.04637099293093458,-0.08645732756811217
source_target_direction_entropy_gap,83,target,0.045097586770256506,0.07950967633600604
_z_neg_direction_entropy_gap,83,target,-0.04509758677025649,-0.07950967633600604
target_readability_tail_frac,83,target,-0.020514536652279165,0.0702268125366927
_z_neg_target_readability_tail,83,target,0.02051453665227918,-0.0702268125366927
diagnostic_target_magnitude_std_mean,83,target,0.16879446210572524,0.05423569186700828
diagnostic_target_magnitude_std_min,83,target,0.168794448031952,0.05423569186700828
diagnostic_target_direction_entropy,83,target,0.03199173611407864,0.047234146842114404
rel_direction_l1_to_target,83,target,-0.022750361090816806,-0.042798371185088786
rel_direction_rmse_to_target,83,target,-0.010600539512149424,-0.035997649133117836
_z_neg_direction_rmse,83,target,0.010600539512149452,0.035997649133117836
combined_hidden_direction_score,83,target,0.010600539512149407,0.035997649133117836
combined_param_direction_score,83,target,0.010600539512149433,0.035997649133117836
capacity_normalized_direction_rmse,83,target,-0.010052067267769194,-0.035095084169430336
rel_magnitude_l1_to_target,83,target,-0.06648673972928844,-0.031023046891398346
rel_magnitude_rmse_to_target,83,target,-0.06916217306416045,-0.03100205700852189
_z_neg_magnitude_rmse,83,target,0.06916217306416046,0.03100205700852189
source_target_top_anchor_overlap,83,target,-0.02868031935755547,0.02306788128122245
_z_top_anchor_overlap,83,target,-0.028680319357555484,0.02306788128122245
pair_geometry_compatibility_score,83,target,0.0160100966535585,0.021493640065488435
target_magnitude_tail_frac,83,target,-0.15434730561446686,0.019211332900702992
_z_neg_target_magnitude_tail,83,target,0.15434730561446683,-0.019211332900702992
pair_normalized_direction_rmse,83,target,0.033454876086751566,0.018366147516896855
_z_neg_pair_norm_direction_rmse,83,target,-0.03345487608675158,-0.018366147516896855
source_hidden_size,83,target+encoder,-0.41742767902439043,-0.42765380241561285
diagnostic_source_direction_entropy_mean,83,target+encoder,-0.37453189935167763,-0.39992023844506946
prior_source_param_b,83,target+encoder,-0.4000069293952032,-0.37549987939691065
prior_log_param_ratio_target_over_source,83,target+encoder,0.3444827659648132,0.3728246186446283
_z_log_param_ratio,83,target+encoder,0.34448276596481325,0.3728246186446283
prior_param_tier_jump,83,target+encoder,0.37796764400616106,0.3263004952898616
combined_ratio_direction_score,83,target+encoder,0.3376705337284397,0.3243986398555896
abs_log_hidden_ratio,83,target+encoder,0.3252316390063131,0.2373075612441159
diagnostic_source_direction_std_mean,83,target+encoder,-0.21679079116765965,-0.22893665253347886
target_direction_subspace_residual,83,target+encoder,0.2756893453635906,0.22324839427395995
_z_neg_subspace_residual,83,target+encoder,-0.2756893453635906,-0.22324839427395995
source_target_direction_dispersion_gap,83,target+encoder,0.2619092201045882,0.21688845976239451
_z_neg_direction_dispersion_gap,83,target+encoder,-0.26190922010458817,-0.21688845976239451
diagnostic_target_direction_std_mean,83,target+encoder,-0.0817036919641964,-0.19363575710253844
memory_target_norm_gap,83,target+encoder,0.24401128526378804,0.18374543470047436
source_to_target_anchor_kl,83,target+encoder,0.07165726087654248,0.16607195331850047
_z_neg_source_to_target_kl,83,target+encoder,-0.07165726087654249,-0.16607195331850047
anchor_direction_js_to_target,83,target+encoder,0.07487880171214852,0.16032072541035222
_z_neg_anchor_js,83,target+encoder,-0.07487880171214852,-0.16032072541035222
combined_hidden_js_score,83,target+encoder,-0.07487880171214858,-0.16032072541035222
target_magnitude_tail_frac,83,target+encoder,-0.054338545738986714,-0.117395712903004
_z_neg_target_magnitude_tail,83,target+encoder,0.05433854573898673,0.117395712903004
target_readability_cross_entropy,83,target+encoder,-0.06576258529785618,-0.103480122580916
_z_neg_target_readability_ce,83,target+encoder,0.06576258529785621,0.103480122580916
target_readability_z2_mean,83,target+encoder,0.18151494361438766,0.10136014441039419
_z_neg_target_readability_z2,83,target+encoder,-0.18151494361438764,-0.10136014441039419
source_native_nll,83,target+encoder,0.12370753394077681,0.10133915452751774
target_minus_source_nll,83,target+encoder,-0.12370753394077681,-0.10133915452751774
_z_neg_source_native_nll,83,target+encoder,-0.1237075339407768,-0.10133915452751774
combined_hidden_source_quality_score,83,target+encoder,-0.12370753394077677,-0.10133915452751774
diagnostic_rel_direction_z2_mean,83,target+encoder,0.18226061350248446,0.10079341757272994
target_readability_tail_frac,83,target+encoder,-0.010976779184922207,0.09685933934503838
_z_neg_target_readability_tail,83,target+encoder,0.010976779184922222,-0.09685933934503838
diagnostic_target_direction_entropy,83,target+encoder,0.04007608261672082,0.09556705588840948
prior_same_model_family,83,target+encoder,0.1582942545955204,0.08616475204379534
prior_cross_model_family,83,target+encoder,-0.15829425459552038,-0.08616475204379534
target_readability_energy,83,target+encoder,0.06119035384112542,0.0783552327778011
_z_target_readability_energy,83,target+encoder,0.06119035384112542,0.0783552327778011
diagnostic_target_magnitude_std_mean,83,target+encoder,0.1992795038497172,-0.06525300076498526
diagnostic_target_magnitude_std_min,83,target+encoder,0.19927948324047826,-0.06525300076498526
source_target_direction_entropy_gap,83,target+encoder,0.05232288283293961,0.06492170773687082
_z_neg_direction_entropy_gap,83,target+encoder,-0.05232288283293959,-0.06492170773687082
pair_normalized_direction_rmse,83,target+encoder,0.05849753988177128,0.05709248142395366
_z_neg_pair_norm_direction_rmse,83,target+encoder,-0.05849753988177131,-0.05709248142395366
rel_magnitude_rmse_to_target,83,target+encoder,-0.012830522079743913,-0.055329331262331555
_z_neg_magnitude_rmse,83,target+encoder,0.012830522079743915,0.055329331262331555
diagnostic_target_direction_std_min,83,target+encoder,-0.11471603626840407,-0.053466284646250556
rel_magnitude_l1_to_target,83,target+encoder,-0.006652445899152944,-0.05096343562402922
diagnostic_rel_magnitude_z_abs_mean,83,target+encoder,-0.0365882758713753,0.03635447714201755
