pair,encoder,source,target,mem_tokens,method,checkpoint_name,origin_target_bleu,transfer_bleu,transfer_accuracy,transfer_retention
gpt2:llama1b->llama3b,gpt2,llama1b,llama3b,16,encoder_converter,gpt2_to_llama1b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260422_103326,0.636876,0.522391,0.856414,0.8202397326952187
gpt2:llama1b->llama8b,gpt2,llama1b,llama8b,16,encoder_converter,gpt2_to_llama1b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260422_111941,0.704776,0.60825,0.902813,0.8630401716289998
gpt2:llama1b->mistral7b,gpt2,llama1b,mistral7b,16,encoder_converter,gpt2_to_llama1b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260422_142045,0.700437,0.601107,0.914062,0.858188530874297
gpt2:llama1b->qwen1.5b,gpt2,llama1b,qwen1.5b,16,encoder_converter,gpt2_to_llama1b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260422_120410,0.274208,0.091599,0.560656,0.33404933481152993
gpt2:llama1b->qwen3b,gpt2,llama1b,qwen3b,16,encoder_converter,gpt2_to_llama1b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260422_124136,0.517774,0.015247,0.458039,0.029447210559047
gpt2:llama1b->qwen7b,gpt2,llama1b,qwen7b,16,encoder_converter,gpt2_to_llama1b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260422_132739,0.483388,0.498184,0.829078,1.0306089518151051
gpt2:llama3b->llama1b,gpt2,llama3b,llama1b,16,encoder_converter,gpt2_to_llama3b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260422_150537,0.547989,0.359983,0.784125,0.6569164709510593
gpt2:llama3b->llama8b,gpt2,llama3b,llama8b,16,encoder_converter,gpt2_to_llama3b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260422_162545,0.704776,0.632215,0.910797,0.8970438834466554
gpt2:llama3b->mistral7b,gpt2,llama3b,mistral7b,16,encoder_converter,gpt2_to_llama3b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260422_192441,0.700437,0.569168,0.90382,0.8125898546193305
gpt2:llama3b->qwen1.5b,gpt2,llama3b,qwen1.5b,16,encoder_converter,gpt2_to_llama3b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260422_170928,0.274208,0.181441,0.637836,0.6616911249854125
gpt2:llama3b->qwen3b,gpt2,llama3b,qwen3b,16,encoder_converter,gpt2_to_llama3b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260422_174552,0.517774,0.015054,0.456359,0.02907446105829957
gpt2:llama3b->qwen7b,gpt2,llama3b,qwen7b,16,encoder_converter,gpt2_to_llama3b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260422_183154,0.483388,0.455855,0.806406,0.9430416146035897
gpt2:llama8b->llama1b,gpt2,llama8b,llama1b,16,encoder_converter,gpt2_to_llama8b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260422_200842,0.547989,0.396278,0.793469,0.7231495522720348
gpt2:llama8b->llama3b,gpt2,llama8b,llama3b,16,encoder_converter,gpt2_to_llama8b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260422_204230,0.636876,0.514002,0.858094,0.8070676238388634
gpt2:llama8b->mistral7b,gpt2,llama8b,mistral7b,16,encoder_converter,gpt2_to_llama8b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260423_002645,0.700437,0.54424,0.89318,0.7770006438837468
gpt2:llama8b->qwen1.5b,gpt2,llama8b,qwen1.5b,16,encoder_converter,gpt2_to_llama8b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260422_221224,0.274208,0.07305,0.539125,0.26640360602170615
gpt2:llama8b->qwen3b,gpt2,llama8b,qwen3b,16,encoder_converter,gpt2_to_llama8b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260422_224807,0.517774,0.0503,0.513781,0.09714663154194687
gpt2:llama8b->qwen7b,gpt2,llama8b,qwen7b,16,encoder_converter,gpt2_to_llama8b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260422_233357,0.483388,0.456922,0.805078,0.945248951153111
gpt2:mistral7b->llama1b,gpt2,mistral7b,llama1b,16,encoder_converter,gpt2_to_mistral7b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260423_011037,0.547989,0.342566,0.758844,0.6251329862460743
gpt2:mistral7b->llama3b,gpt2,mistral7b,llama3b,16,encoder_converter,gpt2_to_mistral7b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260423_014417,0.636876,0.447154,0.827055,0.7021052763803315
gpt2:mistral7b->llama8b,gpt2,mistral7b,llama8b,16,encoder_converter,gpt2_to_mistral7b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260423_023034,0.704776,0.459124,0.852,0.6514467007957139
gpt2:mistral7b->qwen1.5b,gpt2,mistral7b,qwen1.5b,16,encoder_converter,gpt2_to_mistral7b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260423_031412,0.274208,0.06509,0.544023,0.23737454778854006
gpt2:mistral7b->qwen3b,gpt2,mistral7b,qwen3b,16,encoder_converter,gpt2_to_mistral7b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260423_035011,0.517774,0.06215,0.553023,0.1200330646189264
gpt2:mistral7b->qwen7b,gpt2,mistral7b,qwen7b,16,encoder_converter,gpt2_to_mistral7b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260423_043608,0.483388,0.358356,0.77418,0.7413423585194503
gpt2:qwen1.5b->llama1b,gpt2,qwen1.5b,llama1b,16,encoder_converter,gpt2_to_qwen1.5b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260423_061310,0.547989,0.344866,0.763133,0.6293301507876984
gpt2:qwen1.5b->llama3b,gpt2,qwen1.5b,llama3b,16,encoder_converter,gpt2_to_qwen1.5b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260423_064715,0.636876,0.466682,0.827516,0.7327674460962573
gpt2:qwen1.5b->llama8b,gpt2,qwen1.5b,llama8b,16,encoder_converter,gpt2_to_qwen1.5b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260423_073944,0.704776,0.516476,0.875008,0.7328229111093455
gpt2:qwen1.5b->mistral7b,gpt2,qwen1.5b,mistral7b,16,encoder_converter,gpt2_to_qwen1.5b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260423_105014,0.700437,0.530677,0.89043,0.757637018033028
gpt2:qwen1.5b->qwen3b,gpt2,qwen1.5b,qwen3b,16,encoder_converter,gpt2_to_qwen1.5b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260423_090953,0.517774,0.01179,0.46143,0.022770552403172044
gpt2:qwen1.5b->qwen7b,gpt2,qwen1.5b,qwen7b,16,encoder_converter,gpt2_to_qwen1.5b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260423_095540,0.483388,0.49233,0.821242,1.0184985974000182
gpt2:qwen3b->llama1b,gpt2,qwen3b,llama1b,16,encoder_converter,gpt2_to_qwen3b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260423_113444,0.547989,0.279207,0.706508,0.509512052249224
gpt2:qwen3b->llama3b,gpt2,qwen3b,llama3b,16,encoder_converter,gpt2_to_qwen3b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260423_120836,0.636876,0.488138,0.833625,0.7664568927075287
gpt2:qwen3b->llama8b,gpt2,qwen3b,llama8b,16,encoder_converter,gpt2_to_qwen3b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260424_074805,0.704776,0.55909,0.878797,0.7932875126281258
gpt2:qwen3b->mistral7b,gpt2,qwen3b,mistral7b,16,encoder_converter,gpt2_to_qwen3b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260423_150557,0.700437,0.564694,0.896336,0.8062024136360587
gpt2:qwen3b->qwen1.5b,gpt2,qwen3b,qwen1.5b,16,encoder_converter,gpt2_to_qwen3b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260424_083600,0.274208,0.060339,0.526016,0.2200482845139456
gpt2:qwen3b->qwen7b,gpt2,qwen3b,qwen7b,16,encoder_converter,gpt2_to_qwen3b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260423_140834,0.483388,0.473035,0.816562,0.9785824224018801
gpt2:qwen7b->llama1b,gpt2,qwen7b,llama1b,16,encoder_converter,gpt2_to_qwen7b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260423_155011,0.547989,0.391137,0.787305,0.7137679770944308
gpt2:qwen7b->llama3b,gpt2,qwen7b,llama3b,16,encoder_converter,gpt2_to_qwen7b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260423_162356,0.636876,0.491795,0.847883,0.772198983789623
gpt2:qwen7b->llama8b,gpt2,qwen7b,llama8b,16,encoder_converter,gpt2_to_qwen7b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260423_171051,0.704776,0.602042,0.89568,0.8542316991498008
gpt2:qwen7b->mistral7b,gpt2,qwen7b,mistral7b,16,encoder_converter,gpt2_to_qwen7b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260423_201536,0.700437,0.564907,0.903914,0.806506509507636
gpt2:qwen7b->qwen1.5b,gpt2,qwen7b,qwen1.5b,16,encoder_converter,gpt2_to_qwen7b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260423_175528,0.274208,0.076485,0.540516,0.27893059283463645
gpt2:qwen7b->qwen3b,gpt2,qwen7b,qwen3b,16,encoder_converter,gpt2_to_qwen7b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260423_183238,0.517774,0.108425,0.587023,0.20940603429295407
llama1b:llama1b->llama3b,llama1b,llama1b,llama3b,16,encoder_converter,llama1b_to_llama1b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260423_220212,0.84162,0.745319,0.975812,0.8855766260307502
llama1b:llama1b->llama8b,llama1b,llama1b,llama8b,16,encoder_converter,llama1b_to_llama1b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260423_231512,0.837688,0.777903,0.985852,0.928630946127914
llama1b:llama1b->mistral7b,llama1b,llama1b,mistral7b,16,encoder_converter,llama1b_to_llama1b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260424_103443,0.696228,0.720286,0.969469,1.0345547722872392
llama1b:llama1b->qwen1.5b,llama1b,llama1b,qwen1.5b,16,encoder_converter,llama1b_to_llama1b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260424_002624,0.765626,0.285239,0.761477,0.3725565746199842
llama1b:llama1b->qwen3b,llama1b,llama1b,qwen3b,16,encoder_converter,llama1b_to_llama1b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260424_091547,0.806784,0.27986,0.733781,0.3468834285260987
llama1b:llama3b->llama1b,llama1b,llama3b,llama1b,16,encoder_converter,llama1b_to_llama3b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260424_115140,0.83109,0.673931,0.956242,0.8109001431854552
llama1b:llama3b->llama8b,llama1b,llama3b,llama8b,16,encoder_converter,llama1b_to_llama3b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260424_141552,0.837688,0.816311,0.991203,0.9744809523354757
llama1b:llama3b->mistral7b,llama1b,llama3b,mistral7b,16,encoder_converter,llama1b_to_llama3b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260424_191252,0.696228,0.775318,0.979969,1.1135978443843109
llama1b:llama3b->qwen1.5b,llama1b,llama3b,qwen1.5b,16,encoder_converter,llama1b_to_llama3b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260424_153202,0.765626,0.359812,0.783352,0.4699579167896597
llama1b:llama3b->qwen3b,llama1b,llama3b,qwen3b,16,encoder_converter,llama1b_to_llama3b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260424_163705,0.806784,0.238854,0.715469,0.2960569371727749
llama1b:llama3b->qwen7b,llama1b,llama3b,qwen7b,16,encoder_converter,llama1b_to_llama3b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260424_175316,0.737776,0.711996,0.9265,0.9650571447160113
llama1b:llama8b->llama1b,llama1b,llama8b,llama1b,16,encoder_converter,llama1b_to_llama8b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260424_202637,0.83109,0.631335,0.932961,0.759646969642277
llama1b:llama8b->llama3b,llama1b,llama8b,llama3b,16,encoder_converter,llama1b_to_llama8b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260424_213237,0.84162,0.74474,0.976039,0.884888667094413
llama1b:llama8b->mistral7b,llama1b,llama8b,mistral7b,16,encoder_converter,llama1b_to_llama8b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260425_035431,0.696228,0.591517,0.922445,0.8496024290893213
llama1b:llama8b->qwen1.5b,llama1b,llama8b,qwen1.5b,16,encoder_converter,llama1b_to_llama8b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260425_000619,0.765626,0.140705,0.649273,0.18377771914746885
llama1b:llama8b->qwen3b,llama1b,llama8b,qwen3b,16,encoder_converter,llama1b_to_llama8b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260425_011338,0.806784,0.296968,0.748109,0.3680886085990798
llama1b:llama8b->qwen7b,llama1b,llama8b,qwen7b,16,encoder_converter,llama1b_to_llama8b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260425_023032,0.737776,0.678612,0.915297,0.9198076380906942
llama1b:mistral7b->llama1b,llama1b,mistral7b,llama1b,16,encoder_converter,llama1b_to_mistral7b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260425_050922,0.83109,0.289368,0.80568,0.3481788975923185
llama1b:mistral7b->llama3b,llama1b,mistral7b,llama3b,16,encoder_converter,llama1b_to_mistral7b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260425_061538,0.84162,0.642854,0.944406,0.7638292816235356
llama1b:mistral7b->llama8b,llama1b,mistral7b,llama8b,16,encoder_converter,llama1b_to_mistral7b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260425_073504,0.837688,0.662829,0.961063,0.7912599917869183
llama1b:mistral7b->qwen1.5b,llama1b,mistral7b,qwen1.5b,16,encoder_converter,llama1b_to_mistral7b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260425_085154,0.765626,0.16259,0.664164,0.2123621716085922
llama1b:mistral7b->qwen3b,llama1b,mistral7b,qwen3b,16,encoder_converter,llama1b_to_mistral7b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260425_095758,0.806784,0.095786,0.557234,0.11872570601300968
llama1b:mistral7b->qwen7b,llama1b,mistral7b,qwen7b,16,encoder_converter,llama1b_to_mistral7b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260425_111329,0.737776,0.494393,0.857281,0.6701126087050813
llama1b:qwen1.5b->llama1b,llama1b,qwen1.5b,llama1b,16,encoder_converter,llama1b_to_qwen1.5b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260425_134517,0.83109,0.567696,0.923031,0.6830740353030358
llama1b:qwen1.5b->llama3b,llama1b,qwen1.5b,llama3b,16,encoder_converter,llama1b_to_qwen1.5b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260425_145004,0.84162,0.70599,0.962117,0.8388465103015612
llama1b:qwen1.5b->llama8b,llama1b,qwen1.5b,llama8b,16,encoder_converter,llama1b_to_qwen1.5b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260425_160736,0.837688,0.745852,0.975242,0.8903696841783575
llama1b:qwen1.5b->mistral7b,llama1b,qwen1.5b,mistral7b,16,encoder_converter,llama1b_to_qwen1.5b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260425_210355,0.696228,0.320264,0.849023,0.45999873604623776
llama1b:qwen1.5b->qwen3b,llama1b,qwen1.5b,qwen3b,16,encoder_converter,llama1b_to_qwen1.5b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260425_182834,0.806784,0.084096,0.577555,0.1042360780580676
llama1b:qwen1.5b->qwen7b,llama1b,qwen1.5b,qwen7b,16,encoder_converter,llama1b_to_qwen1.5b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260425_194030,0.737776,0.674519,0.924055,0.914259883758756
llama1b:qwen3b->llama1b,llama1b,qwen3b,llama1b,16,encoder_converter,llama1b_to_qwen3b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260425_221822,0.83109,0.291486,0.809797,0.35072735804786487
llama1b:qwen3b->llama3b,llama1b,qwen3b,llama3b,16,encoder_converter,llama1b_to_qwen3b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260425_231927,0.84162,0.676416,0.944297,0.8037071362372568
llama1b:qwen3b->llama8b,llama1b,qwen3b,llama8b,16,encoder_converter,llama1b_to_qwen3b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260426_003048,0.837688,0.727486,0.970547,0.8684450535282826
llama1b:qwen3b->mistral7b,llama1b,qwen3b,mistral7b,16,encoder_converter,llama1b_to_qwen3b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260426_052101,0.696228,0.676176,0.952367,0.9711990899532912
llama1b:qwen3b->qwen1.5b,llama1b,qwen3b,qwen1.5b,16,encoder_converter,llama1b_to_qwen3b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260426_013927,0.765626,0.33835,0.790867,0.44192595340283636
llama1b:qwen3b->qwen7b,llama1b,qwen3b,qwen7b,16,encoder_converter,llama1b_to_qwen3b_to_qwen7b_encoder_converter_mem16_len128_100000samples_20260426_035753,0.737776,0.675839,0.914797,0.9160490446964932
llama1b:qwen7b->llama1b,llama1b,qwen7b,llama1b,16,encoder_converter,llama1b_to_qwen7b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260426_063151,0.83109,0.659879,0.939219,0.7939922270752867
llama1b:qwen7b->llama3b,llama1b,qwen7b,llama3b,16,encoder_converter,llama1b_to_qwen7b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260426_073637,0.84162,0.74728,0.970297,0.8879066562106415
llama1b:qwen7b->llama8b,llama1b,qwen7b,llama8b,16,encoder_converter,llama1b_to_qwen7b_to_llama8b_encoder_converter_mem16_len128_100000samples_20260426_085219,0.837688,0.797386,0.987453,0.9518890087956375
llama1b:qwen7b->mistral7b,llama1b,qwen7b,mistral7b,16,encoder_converter,llama1b_to_qwen7b_to_mistral7binstruct_encoder_converter_mem16_len128_100000samples_20260426_135007,0.696228,0.773262,0.979656,1.1106447887760906
llama1b:qwen7b->qwen1.5b,llama1b,qwen7b,qwen1.5b,16,encoder_converter,llama1b_to_qwen7b_to_qwen1.5b_encoder_converter_mem16_len128_100000samples_20260426_100512,0.765626,0.377449,0.806328,0.49299396833440867
llama1b:qwen7b->qwen3b,llama1b,qwen7b,qwen3b,16,encoder_converter,llama1b_to_qwen7b_to_qwen3b_encoder_converter_mem16_len128_100000samples_20260426_111108,0.806784,0.016567,0.468797,0.020534616452482946
