encoder,target,n_samples,n_mem_tokens,hidden_size,memory_norm_mean,memory_norm_std,memory_norm_cv,memory_effective_rank,memory_token_cosine_mean,anchor_direction_entropy_mean,anchor_top1_mass_mean,anchor_top5_mass_mean,anchor_direction_std_mean,anchor_magnitude_std_mean
llama1b,llama1b,128,16,2048,56.250244140625,6.3768510818481445,0.11336574703454971,18.47429423767185,0.27997455187141895,6.218115508556366,0.0035476735847623786,0.016430530085926875,0.02082969801267609,0.12963170028524473
llama1b,llama3b,128,16,3072,66.95365905761719,2.7969143390655518,0.04177388176321983,21.17122033083271,0.5934594408608973,6.222927499562502,0.0034180913025920745,0.015564108354737982,0.0129582642330206,0.04069145137327723
llama1b,qwen1.5b,128,16,1536,155.77349853515625,16.51593780517578,0.1060253381729126,3.5367912207039742,0.6616270248778164,6.209282040596008,0.003801676715738722,0.01737957108707633,0.016170627517567482,0.12820918794022873
llama1b,qwen3b,128,16,2048,253.98968505859375,28.228748321533203,0.11114131659269333,2.9024178852977,0.7376526701264083,6.217418167740107,0.0038921325340197654,0.016945472423685715,0.009852441522525623,0.13198244391242042
llama1b,qwen7b,128,16,3584,285.56201171875,19.864057540893555,0.06956127285957336,3.77869703836888,0.7995117241516709,6.224464274942875,0.003156680772008258,0.014899757799867075,0.007268974080943735,0.0688863686809782
gpt2,llama3b,128,16,3072,46.34538269042969,3.779548406600952,0.08155177533626556,19.078386314983895,0.5163573517929763,6.2238809913396835,0.0032403760833403794,0.015124782839848194,0.012524851241323631,0.0821328864840325
gpt2,qwen1.5b,128,16,1536,116.93984985351562,19.647491455078125,0.16801364719867706,3.278758088178256,0.699299312196672,6.205549269914627,0.003954943200369598,0.017658206430496648,0.01801721852098126,0.2563359091291204
gpt2,qwen3b,128,16,2048,197.73782348632812,10.270707130432129,0.05194103345274925,3.6494962317576065,0.8496837886050344,6.217041272670031,0.003914240503945621,0.016758950063376687,0.008193968242267147,0.048742958169896156
gpt2,qwen7b,128,16,3584,208.059814453125,26.264060974121094,0.12623322010040283,3.0276846500676275,0.7666550925932825,6.223410092294216,0.0032822096090967534,0.015253076606313698,0.00763862094754586,0.1122068414115347
