pair,encoder,source,target,mem_tokens,method,origin_target_bleu,transfer_bleu,transfer_accuracy,transfer_retention
gpt2:llama1b->llama3b,gpt2,llama1b,llama3b,16,encoder_converter,0.636876,0.522391,0.856414,0.8202397326952187
gpt2:llama1b->llama8b,gpt2,llama1b,llama8b,16,encoder_converter,0.704776,0.60825,0.902813,0.8630401716289998
gpt2:llama1b->mistral7b,gpt2,llama1b,mistral7b,16,encoder_converter,0.700437,0.601107,0.914062,0.858188530874297
gpt2:llama1b->qwen1.5b,gpt2,llama1b,qwen1.5b,16,encoder_converter,0.274208,0.091599,0.560656,0.33404933481152993
gpt2:llama1b->qwen3b,gpt2,llama1b,qwen3b,16,encoder_converter,0.517774,0.015247,0.458039,0.029447210559047
gpt2:llama1b->qwen7b,gpt2,llama1b,qwen7b,16,encoder_converter,0.483388,0.498184,0.829078,1.0306089518151051
gpt2:llama3b->llama1b,gpt2,llama3b,llama1b,16,encoder_converter,0.547989,0.359983,0.784125,0.6569164709510593
gpt2:llama3b->llama8b,gpt2,llama3b,llama8b,16,encoder_converter,0.704776,0.632215,0.910797,0.8970438834466554
gpt2:llama3b->mistral7b,gpt2,llama3b,mistral7b,16,encoder_converter,0.700437,0.569168,0.90382,0.8125898546193305
gpt2:llama3b->qwen1.5b,gpt2,llama3b,qwen1.5b,16,encoder_converter,0.274208,0.181441,0.637836,0.6616911249854125
gpt2:llama3b->qwen3b,gpt2,llama3b,qwen3b,16,encoder_converter,0.517774,0.015054,0.456359,0.02907446105829957
gpt2:llama3b->qwen7b,gpt2,llama3b,qwen7b,16,encoder_converter,0.483388,0.455855,0.806406,0.9430416146035897
gpt2:llama8b->llama1b,gpt2,llama8b,llama1b,16,encoder_converter,0.547989,0.396278,0.793469,0.7231495522720348
gpt2:llama8b->llama3b,gpt2,llama8b,llama3b,16,encoder_converter,0.636876,0.514002,0.858094,0.8070676238388634
gpt2:llama8b->mistral7b,gpt2,llama8b,mistral7b,16,encoder_converter,0.700437,0.54424,0.89318,0.7770006438837468
gpt2:llama8b->qwen1.5b,gpt2,llama8b,qwen1.5b,16,encoder_converter,0.274208,0.07305,0.539125,0.26640360602170615
gpt2:llama8b->qwen3b,gpt2,llama8b,qwen3b,16,encoder_converter,0.517774,0.0503,0.513781,0.09714663154194687
gpt2:llama8b->qwen7b,gpt2,llama8b,qwen7b,16,encoder_converter,0.483388,0.456922,0.805078,0.945248951153111
gpt2:mistral7b->llama1b,gpt2,mistral7b,llama1b,16,encoder_converter,0.547989,0.342566,0.758844,0.6251329862460743
gpt2:mistral7b->llama3b,gpt2,mistral7b,llama3b,16,encoder_converter,0.636876,0.447154,0.827055,0.7021052763803315
gpt2:mistral7b->llama8b,gpt2,mistral7b,llama8b,16,encoder_converter,0.704776,0.459124,0.852,0.6514467007957139
gpt2:mistral7b->qwen1.5b,gpt2,mistral7b,qwen1.5b,16,encoder_converter,0.274208,0.06509,0.544023,0.23737454778854006
gpt2:mistral7b->qwen3b,gpt2,mistral7b,qwen3b,16,encoder_converter,0.517774,0.06215,0.553023,0.1200330646189264
gpt2:mistral7b->qwen7b,gpt2,mistral7b,qwen7b,16,encoder_converter,0.483388,0.358356,0.77418,0.7413423585194503
gpt2:qwen1.5b->llama1b,gpt2,qwen1.5b,llama1b,16,encoder_converter,0.547989,0.344866,0.763133,0.6293301507876984
gpt2:qwen1.5b->llama3b,gpt2,qwen1.5b,llama3b,16,encoder_converter,0.636876,0.466682,0.827516,0.7327674460962573
gpt2:qwen1.5b->llama8b,gpt2,qwen1.5b,llama8b,16,encoder_converter,0.704776,0.516476,0.875008,0.7328229111093455
gpt2:qwen1.5b->mistral7b,gpt2,qwen1.5b,mistral7b,16,encoder_converter,0.700437,0.530677,0.89043,0.757637018033028
gpt2:qwen1.5b->qwen3b,gpt2,qwen1.5b,qwen3b,16,encoder_converter,0.517774,0.01179,0.46143,0.022770552403172044
gpt2:qwen1.5b->qwen7b,gpt2,qwen1.5b,qwen7b,16,encoder_converter,0.483388,0.49233,0.821242,1.0184985974000182
gpt2:qwen3b->llama1b,gpt2,qwen3b,llama1b,16,encoder_converter,0.547989,0.279207,0.706508,0.509512052249224
gpt2:qwen3b->llama3b,gpt2,qwen3b,llama3b,16,encoder_converter,0.636876,0.488138,0.833625,0.7664568927075287
gpt2:qwen3b->llama8b,gpt2,qwen3b,llama8b,16,encoder_converter,0.704776,0.55909,0.878797,0.7932875126281258
gpt2:qwen3b->mistral7b,gpt2,qwen3b,mistral7b,16,encoder_converter,0.700437,0.564694,0.896336,0.8062024136360587
gpt2:qwen3b->qwen1.5b,gpt2,qwen3b,qwen1.5b,16,encoder_converter,0.274208,0.060339,0.526016,0.2200482845139456
gpt2:qwen3b->qwen7b,gpt2,qwen3b,qwen7b,16,encoder_converter,0.483388,0.473035,0.816562,0.9785824224018801
gpt2:qwen7b->llama1b,gpt2,qwen7b,llama1b,16,encoder_converter,0.547989,0.391137,0.787305,0.7137679770944308
gpt2:qwen7b->llama3b,gpt2,qwen7b,llama3b,16,encoder_converter,0.636876,0.491795,0.847883,0.772198983789623
gpt2:qwen7b->llama8b,gpt2,qwen7b,llama8b,16,encoder_converter,0.704776,0.602042,0.89568,0.8542316991498008
gpt2:qwen7b->mistral7b,gpt2,qwen7b,mistral7b,16,encoder_converter,0.700437,0.564907,0.903914,0.806506509507636
gpt2:qwen7b->qwen1.5b,gpt2,qwen7b,qwen1.5b,16,encoder_converter,0.274208,0.076485,0.540516,0.27893059283463645
gpt2:qwen7b->qwen3b,gpt2,qwen7b,qwen3b,16,encoder_converter,0.517774,0.108425,0.587023,0.20940603429295407
llama1b:llama1b->llama3b,llama1b,llama1b,llama3b,16,encoder_converter,0.84162,0.745319,0.975812,0.8855766260307502
llama1b:llama1b->llama8b,llama1b,llama1b,llama8b,16,encoder_converter,0.837688,0.777903,0.985852,0.928630946127914
llama1b:llama1b->mistral7b,llama1b,llama1b,mistral7b,16,encoder_converter,0.696228,0.720286,0.969469,1.0345547722872392
llama1b:llama1b->qwen1.5b,llama1b,llama1b,qwen1.5b,16,encoder_converter,0.765626,0.285239,0.761477,0.3725565746199842
llama1b:llama1b->qwen3b,llama1b,llama1b,qwen3b,16,encoder_converter,0.806784,0.27986,0.733781,0.3468834285260987
llama1b:llama3b->llama1b,llama1b,llama3b,llama1b,16,encoder_converter,0.83109,0.673931,0.956242,0.8109001431854552
llama1b:llama3b->llama8b,llama1b,llama3b,llama8b,16,encoder_converter,0.837688,0.816311,0.991203,0.9744809523354757
llama1b:llama3b->mistral7b,llama1b,llama3b,mistral7b,16,encoder_converter,0.696228,0.775318,0.979969,1.1135978443843109
llama1b:llama3b->qwen1.5b,llama1b,llama3b,qwen1.5b,16,encoder_converter,0.765626,0.359812,0.783352,0.4699579167896597
llama1b:llama3b->qwen3b,llama1b,llama3b,qwen3b,16,encoder_converter,0.806784,0.238854,0.715469,0.2960569371727749
llama1b:llama3b->qwen7b,llama1b,llama3b,qwen7b,16,encoder_converter,0.737776,0.711996,0.9265,0.9650571447160113
llama1b:llama8b->llama1b,llama1b,llama8b,llama1b,16,encoder_converter,0.83109,0.631335,0.932961,0.759646969642277
