target_hidden_size,n_rows,n_targets,targets,mean_retention,median_retention,min_retention,max_retention,spearman_hidden_vs_rows,spearman_hidden_vs_target_means,n_unique_hidden_values
ALL,83,7,all,0.6482129534948112,0.759646969642277,0.020534616452482946,1.1135978443843109,0.7368765883938045,0.8183170883849714,5
1536.0,12,1,qwen1.5b,0.3476726495715601,0.3064899638230832,0.18377771914746885,0.6616911249854125,,,
2048.0,24,2,llama1b qwen3b,0.3902805062392758,0.3494531278200917,0.020534616452482946,0.8109001431854552,,,
3072.0,12,1,llama3b,0.8054659027504983,0.8053873800380601,0.7021052763803315,0.8879066562106415,,,
3584.0,11,1,qwen7b,0.9129644741691082,0.9430416146035897,0.6701126087050813,1.0306089518151051,,,
4096.0,24,2,llama8b mistral7b,0.856444631108409,0.8562101150120489,0.45999873604623776,1.1135978443843109,,,
