metric,n_targets,mean_pearson,median_pearson,mean_spearman,median_spearman,mean_abs_spearman,positive_spearman_targets,negative_spearman_targets
source_native_nll,7,-0.25637325898325586,-0.407251082962562,-0.3315684315684316,-0.6013986013986014,0.5055944055944056,1,6
target_minus_source_nll,7,0.25637325898325586,0.407251082962562,0.3315684315684316,0.6013986013986014,0.5055944055944056,6,1
_z_neg_source_native_nll,7,0.2563732589832559,0.40725108296256207,0.3315684315684316,0.6013986013986014,0.5055944055944056,6,1
combined_hidden_source_quality_score,7,0.25637325898325586,0.40725108296256207,0.3315684315684316,0.6013986013986014,0.5055944055944056,6,1
rel_magnitude_l1_to_target,7,-0.3003831839317209,-0.29159517881647207,-0.2705294705294705,-0.2867132867132867,0.27652347652347653,1,6
target_magnitude_tail_frac,1,-0.3153866099830629,-0.3153866099830629,-0.26593594178615615,-0.26593594178615615,0.26593594178615615,0,1
_z_neg_target_magnitude_tail,1,0.3153866099830629,0.3153866099830629,0.26593594178615615,0.26593594178615615,0.26593594178615615,1,0
rel_magnitude_rmse_to_target,7,-0.2954745187170897,-0.2771939147750748,-0.26053946053946053,-0.2517482517482518,0.26653346653346655,1,6
_z_neg_magnitude_rmse,7,0.29547451871708974,0.2771939147750748,0.26053946053946053,0.2517482517482518,0.26653346653346655,6,1
prior_same_model_family,6,0.263595949277217,0.4034119267302506,0.250361677246875,0.3328595117244729,0.38691942564665877,5,1
prior_cross_model_family,6,-0.263595949277217,-0.40341192673025056,-0.250361677246875,-0.3328595117244729,0.38691942564665877,1,5
prior_param_tier_jump,5,0.21721131539846023,0.2963842793347454,0.2336702513966708,0.30725493389951347,0.29280149099557906,4,1
source_target_direction_entropy_gap,7,0.16110787274543323,0.08149114856000553,0.2088911088911089,0.14685314685314685,0.3927072927072927,5,2
_z_neg_direction_entropy_gap,7,-0.1611078727454332,-0.08149114856000556,-0.2088911088911089,-0.14685314685314685,0.3927072927072927,2,5
diagnostic_target_direction_std_min,7,0.09296935540345912,0.2310716452391873,0.18026101799746783,0.24030959803968135,0.3220317789828601,5,2
target_readability_z2_mean,7,0.2511454852016572,0.22004723521197328,0.17772227772227775,0.14685314685314685,0.1999000999000999,5,2
_z_neg_target_readability_z2,7,-0.2511454852016572,-0.22004723521197325,-0.17772227772227775,-0.14685314685314685,0.1999000999000999,2,5
diagnostic_rel_direction_z2_mean,7,0.24998563519571979,0.21852393078193477,0.16733266733266736,0.14685314685314685,0.2102897102897103,5,2
anchor_direction_js_to_target,7,0.10370376496120635,-0.058297875538959515,0.13916083916083916,0.06993006993006994,0.34095904095904095,5,2
_z_neg_anchor_js,7,-0.10370376496120633,0.058297875538959515,-0.13916083916083916,-0.06993006993006994,0.34095904095904095,2,5
