metric,n_compressors,mean_pearson,median_pearson,mean_spearman,median_spearman,mean_abs_spearman,positive_spearman_compressors,negative_spearman_compressors
combined_hidden_source_quality_score,14,0.7814969860182899,0.8046204786872931,0.7775261982057214,0.7915540106709996,0.7775261982057214,14,0
target_hidden_size,14,0.7812328831670007,0.8027064530255792,0.7751735410091456,0.8116794499134278,0.7751735410091456,14,0
_z_target_hidden_size,14,0.7812328831670007,0.8027064530255792,0.7751735410091456,0.8116794499134278,0.7751735410091456,14,0
prior_target_param_b,14,0.6133596978779877,0.5636369809377169,0.6634214903031769,0.681230966891627,0.6634214903031769,14,0
prior_log_param_ratio_target_over_source,14,0.5432937089341499,0.47001333320299077,0.6634214903031769,0.681230966891627,0.6634214903031769,14,0
_z_prior_target_param_b,14,0.6133596978779877,0.563636980937717,0.6634214903031769,0.681230966891627,0.6634214903031769,14,0
_z_log_param_ratio,14,0.5432937089341499,0.47001333320299066,0.6634214903031769,0.681230966891627,0.6634214903031769,14,0
target_magnitude_tail_frac,3,-0.4994318170815672,-0.542428908891418,-0.6546536707079772,-0.6546536707079772,0.6546536707079772,0,3
_z_neg_target_magnitude_tail,3,0.4994318170815671,0.5424289088914179,0.6546536707079772,0.6546536707079772,0.6546536707079772,3,0
memory_target_norm_gap,14,0.46329795300867965,0.4458260289933284,0.6377551020408163,0.6571428571428571,0.6377551020408163,14,0
combined_hidden_js_score,14,0.6236882739239344,0.6486216528487765,0.636734693877551,0.7142857142857143,0.636734693877551,14,0
source_target_direction_dispersion_gap,14,-0.4251848696749791,-0.4365623043893262,-0.5724489795918367,-0.6285714285714286,0.5724489795918367,0,14
_z_neg_direction_dispersion_gap,14,0.4251848696749792,0.43656230438932625,0.5724489795918367,0.6285714285714286,0.5724489795918367,14,0
combined_hidden_direction_score,14,0.5702740087639679,0.5559571704539922,0.5714285714285714,0.6,0.5714285714285714,14,0
diagnostic_target_direction_std_mean,14,-0.4227700538606989,-0.4647570421770776,-0.5642857142857143,-0.6,0.5642857142857143,0,14
diagnostic_target_direction_std_min,14,-0.4628023794556219,-0.424491584564103,-0.5346938775510204,-0.6571428571428571,0.5387755102040817,1,13
combined_ratio_direction_score,14,0.369029184284211,0.34934856748701226,0.5275510204081633,0.4928571428571429,0.5275510204081633,14,0
diagnostic_rel_magnitude_z_abs_mean,14,-0.31789473861836287,-0.5279003722595691,-0.5153061224489796,-0.6571428571428571,0.6459183673469387,2,12
diagnostic_target_magnitude_std_mean,14,0.28924553855043494,0.3915903627279095,0.5153061224489796,0.6571428571428571,0.6459183673469387,12,2
diagnostic_target_magnitude_std_min,14,0.2892455448792574,0.3915903567705027,0.5153061224489796,0.6571428571428571,0.6459183673469387,12,2
combined_param_direction_score,14,0.44035680215623463,0.4347299796495909,0.5153061224489796,0.4928571428571429,0.5153061224489796,14,0
source_to_target_anchor_kl,14,-0.3585504116360661,-0.3457849445738317,-0.49489795918367346,-0.5714285714285714,0.49489795918367346,0,14
_z_neg_source_to_target_kl,14,0.3585504116360661,0.3457849445738317,0.49489795918367346,0.5714285714285714,0.49489795918367346,14,0
anchor_direction_js_to_target,14,-0.3697157257122899,-0.33549562992268844,-0.48673469387755103,-0.5714285714285714,0.48673469387755103,0,14
_z_neg_anchor_js,14,0.3697157257122899,0.3354956299226885,0.48673469387755103,0.5714285714285714,0.48673469387755103,14,0
target_direction_subspace_residual,14,0.609674620571583,0.5983824709925754,0.4785714285714286,0.4928571428571429,0.4785714285714286,14,0
