target,metric,n,pearson,spearman
llama1b,source_target_direction_entropy_gap,12,0.5924711431624389,0.6993006993006993
llama1b,_z_neg_direction_entropy_gap,12,-0.5924711431624389,-0.6993006993006993
llama1b,target_direction_subspace_residual,12,-0.5227317079047263,-0.6643356643356644
llama1b,_z_neg_subspace_residual,12,0.522731707904726,0.6643356643356644
llama1b,diagnostic_target_direction_std_mean,12,0.5591045750896738,0.6608513946091237
llama1b,diagnostic_target_direction_entropy,12,-0.57156894457345,-0.6608513946091237
llama1b,diagnostic_target_direction_std_min,12,0.5393579548753648,0.6458320447316437
llama1b,target_readability_cross_entropy,12,0.4588456984455894,0.5734265734265734
llama1b,_z_neg_target_readability_ce,12,-0.4588456984455894,-0.5734265734265734
llama1b,prior_same_model_family,12,0.49239366978761284,0.563300712149108
llama1b,prior_cross_model_family,12,-0.49239366978761273,-0.563300712149108
llama1b,anchor_direction_js_to_target,12,0.46185697736025455,0.5524475524475524
llama1b,source_to_target_anchor_kl,12,0.4425092764999313,0.5524475524475524
llama1b,_z_neg_anchor_js,12,-0.4618569773602545,-0.5524475524475524
llama1b,_z_neg_source_to_target_kl,12,-0.4425092764999313,-0.5524475524475524
llama1b,combined_hidden_js_score,12,-0.46185697736025455,-0.5524475524475524
llama1b,rel_direction_rmse_to_target,12,0.38199407897995297,0.4755244755244755
llama1b,capacity_normalized_direction_rmse,12,0.381994078979953,0.4755244755244755
llama1b,_z_neg_direction_rmse,12,-0.3819940789799529,-0.4755244755244755
llama1b,combined_hidden_direction_score,12,-0.38199407897995286,-0.4755244755244755
llama1b,combined_param_direction_score,12,-0.38199407897995286,-0.4755244755244755
llama1b,combined_ratio_direction_score,12,-0.31429545934273917,-0.46853146853146854
llama1b,source_native_nll,12,-0.14189268874883323,-0.3986013986013986
llama1b,target_minus_source_nll,12,0.14189268874883326,0.3986013986013986
llama1b,_z_neg_source_native_nll,12,0.14189268874883326,0.3986013986013986
llama1b,combined_hidden_source_quality_score,12,0.14189268874883323,0.3986013986013986
