task,group,metric,n,top1_hit,regret_at_1,spearman,best_retention,prior_pick_retention
T1_select_source,llama1b,rel_direction_l1_to_target,12,0,0.18576715693938095,-0.38461538461538464,0.8109001431854552,0.6251329862460743
T1_select_source,llama1b,rel_direction_rmse_to_target,12,0,0.18576715693938095,-0.4755244755244755,0.8109001431854552,0.6251329862460743
T1_select_source,llama1b,rel_magnitude_l1_to_target,12,0,0.1539836722343959,0.3916083916083916,0.8109001431854552,0.6569164709510593
T1_select_source,llama1b,rel_magnitude_rmse_to_target,12,0,0.1539836722343959,0.3776223776223776,0.8109001431854552,0.6569164709510593
T1_select_source,llama1b,memory_target_norm_gap,12,0,0.18576715693938095,0.06293706293706294,0.8109001431854552,0.6251329862460743
T1_select_source,llama1b,anchor_direction_js_to_target,12,0,0.18576715693938095,-0.5524475524475524,0.8109001431854552,0.6251329862460743
T1_select_source,llama1b,target_direction_subspace_residual,12,0,0.08775059091342041,0.6643356643356644,0.8109001431854552,0.7231495522720348
T1_select_source,llama1b,capacity_normalized_direction_rmse,12,0,0.18576715693938095,-0.4755244755244755,0.8109001431854552,0.6251329862460743
T1_select_source,llama1b,diagnostic_rel_direction_z2_mean,12,0,0.18576715693938095,-0.2517482517482518,0.8109001431854552,0.6251329862460743
T1_select_source,llama1b,diagnostic_rel_magnitude_z_abs_mean,12,0,0.1539836722343959,0.3076923076923077,0.8109001431854552,0.6569164709510593
T1_select_source,llama1b,diagnostic_target_direction_std_mean,12,0,0.08775059091342041,0.6608513946091237,0.8109001431854552,0.7231495522720348
T1_select_source,llama1b,diagnostic_target_direction_std_min,12,0,0.1539836722343959,0.6458320447316437,0.8109001431854552,0.6569164709510593
T1_select_source,llama1b,diagnostic_target_magnitude_std_mean,12,0,0.18576715693938095,-0.06007739950992034,0.8109001431854552,0.6251329862460743
T1_select_source,llama1b,diagnostic_target_magnitude_std_min,12,0,0.18576715693938095,-0.06007739950992034,0.8109001431854552,0.6251329862460743
T1_select_source,llama1b,source_native_nll,12,0,0.051253173543178265,0.3986013986013986,0.8109001431854552,0.759646969642277
T1_select_source,llama1b,target_minus_source_nll,12,0,0.18156999239775684,-0.3986013986013986,0.8109001431854552,0.6293301507876984
T1_select_source,llama1b,source_hidden_size,12,0,0.08775059091342041,0.1577557537082382,0.8109001431854552,0.7231495522720348
T1_select_source,llama1b,abs_log_hidden_ratio,12,0,0.3013880909362312,-0.2581457787952988,0.8109001431854552,0.509512052249224
T1_select_source,llama1b,prior_same_model_family,12,0,0.1539836722343959,0.563300712149108,0.8109001431854552,0.6569164709510593
